"","miR200b","miR200a","GSC","SNAI2","SNAI1","ZEB1","FOXC2","miR101","miR34a","TWIST1","miR141","TWIST2","ZEB2","miR200c","TGFbeta"
"miR101",0.0910105359704079,0.0811016477782898,0.103764800725339,0.132967261357042,0.0383246614092056,-0.0720588386985005,-0.0962669164387726,-0.00166407885557755,-0.0570471260245485,-0.00429236848770524,0.0720216724699862,-0.00378047308608797,-0.234732798147056,-0.150134493936836,-0.103754244593106
"miR200a",0.200086825885762,0.197619171644211,0.196422225804174,0.0855185386318381,0.0194750633373174,0.189140635319961,0.066798402668034,0.033546931909509,0.107977698957685,0.0210948174547086,-0.189128601848397,-0.094214343808291,-0.207109348181701,-0.0097209782734654,-0.196335027266243
"TWIST2",0.105493266422415,0.191015239993832,0.0464241715420186,-0.0820781741205074,0.0748892939248332,0.230965449205734,0.00199253091884853,-0.0762828318964565,0.0891862847534906,0.0405393782404833,-0.230942142052637,0.0555127096519893,-0.149474996943102,0.0432524855237092,-0.046369278413846
"SNAI1",0.109102123104955,0.1162221376139,0.0504816534543381,0.0900439020461135,-0.0942684710920905,0.123801513002649,-0.080466823679912,-0.00822118538323879,0.0116807018406774,-0.010499677834874,-0.123804913564051,-0.0331974499091606,-0.103493983643315,0.0132145254547083,-0.0504550875530602
"TGFbeta",-0.0720794185889352,0.0374486269432351,-0.185298909856793,-0.101165408482432,-0.0278797406423606,0.0326610159559149,-0.0364217149465485,-0.0367962896379633,0.0814411139079003,-0.0214550817199803,-0.0326770180142189,0.070617015088272,-0.0436558405463987,-0.000686292220735116,0.0854328067400611
"FOXC2",-0.168399885259314,-0.17150000025372,0.0115488645151229,0.105532756728278,0.11260564104866,-0.168736832373393,-0.106928232757077,-0.00298140533239575,-0.197836473542497,-0.00547817099224005,0.168667418334671,0.0965191808903599,-0.0249812668599741,-0.193486449996697,-0.0115433295618932
"ZEB1",0.168445093215915,0.171550353595271,-0.0115433295618932,-0.105582878259517,-0.112639739841092,0.0687533743071953,0.106923605626669,0.00299918058213801,0.197887954170113,0.00550206728234101,-0.168736832373393,-0.0966274603040665,0.0249537239537532,0.193511337280453,0.0114806256141039
"SNAI2",-0.0301901855161223,-0.0712372646156897,-0.0025794268712033,0.000397481758955953,0.0113148407654391,-0.115188325551977,-0.0277447000738431,0.0445143627465396,-0.0728483175159833,-0.0775274278826581,0.115151819056165,-0.0704918570633842,0.0274636208394593,-0.0442001695365281,0.00261620824443159
"miR34a",-0.157089226032341,-0.205870512573944,-0.0455021925898953,-0.0781548687001093,-0.0836985498069654,-0.208581343343589,0.0887428979278451,0.00641496500972267,-0.0709006233286725,0.0208355272919375,0.208535104496352,0.0131162772999835,0.102315334045323,-0.123869429795926,0.0455149339939981
"TWIST1",-0.00377751791227008,0.0157844725797645,-0.0494969788972949,-0.0563857911128477,-0.0212849745892105,0.139329504695696,0.026129378165192,-0.0181996704674859,0.060841731311792,-0.0108956072586104,-0.139296576098895,0.061591785763461,0.1170904298399,0.131170717242758,0.0494435086802058
"ZEB2",-0.298714790915,-0.282014863767432,-0.254229485570933,-0.127546708430506,-0.074561783936972,-0.0629670739056238,-0.0405672053703766,-0.0267150387493272,-0.025474173367888,-0.0152702605176585,0.0629048634950849,0.0792791918390062,0.198470907247506,0.227072384422127,0.254029049177773
"miR200c",-0.200086825885762,-0.197619171644211,-0.196422225804174,-0.0855185386318381,-0.0194750633373174,-0.189140635319961,-0.066798402668034,-0.033546931909509,-0.107977698957685,-0.0210948174547086,0.189128601848397,0.094214343808291,0.207109348181701,0.0097209782734654,0.196335027266243
"GSC",-0.18319654300961,-0.183135457700088,-0.0890721235637174,-0.0730666137085581,-0.00809347671747005,-0.154859442048639,0.137678898770672,0.0185135185063172,-0.0686200627469371,0.117379259146684,0.154867303645231,0.0678067944337467,0.220004689059339,0.0198284905778271,0.0890942076726236
"miR200b",-0.154902985044279,-0.226006343700841,0.0171211946608163,0.114871960549873,0.07160492921452,-0.214253500337789,0.00348612527676315,0.0214812962524313,-0.204574901139841,0.0101538683951565,0.214291452055798,0.0325726952023785,0.239425551040246,0.0108568361081864,-0.0171845031883555
"miR141",-0.154902985044279,-0.226006343700841,0.0171211946608163,0.114871960549873,0.07160492921452,-0.214253500337789,0.00348612527676315,0.0214812962524313,-0.204574901139841,0.0101538683951565,0.214291452055798,0.0325726952023785,0.239425551040246,0.0108568361081864,-0.0171845031883555
