"","ZEB2","SNAI2","miR141","ZEB1","FOXC2","TWIST1","miR34a","miR200c","miR200a","miR200b","miR101","GSC","TGFbeta","TWIST2","SNAI1"
"ZEB2",-0.0870460811487707,-0.0340771182998677,-0.0299638888466053,-0.0299464699316544,-0.0240495415781457,-0.022815345470901,-0.0186016410231054,-0.0185335111110135,-0.00675831872849064,-0.0064786378258653,-0.0029809307034947,0.000996654766115465,0.0010981415474622,0.0274404612776718,0.0400081138625996
"TWIST1",-0.0822007826886248,0.00275774313342844,-0.109936716234742,-0.109970163392122,-0.200691522076686,-0.203021356331263,0.024333341160369,-0.0144165120354381,-0.0993449885219052,-0.0676666890816488,-0.0821808284418404,0.00804241784515523,0.00827367653406551,-0.0645775853175735,0.228255379518711
"SNAI1",-0.0814175334219084,-0.100305853822702,-0.0971517294729199,-0.0971273072592162,-0.0697497972029281,-0.186703485812122,0.0970166092002582,-0.00641541237951272,-0.0903352449207155,-0.0256329955218673,-0.091739282529406,0.0229064659999505,0.0229433410569482,0.00127983893652999,0.0830174685232531
"TWIST2",-0.0566885132951409,-0.0468784323937752,-0.146795281099997,-0.146718763276621,-0.0466792054959464,0.231028373004864,-0.126458440704968,-0.0451544179444972,-0.10304078557769,-0.0606953625087214,0.0599240941609177,0.00992263478448871,0.00982020533913567,0.121239624516462,-0.0890871119857473
"ZEB1",-0.0248642734959119,0.124930916314652,0.219632939917576,0.119609881464397,0.106761183535834,-0.0158433529625956,0.196485272880721,0.219725772724218,0.201878782478553,0.183318539282829,-0.0104363639984836,-0.00239827281834645,-0.00240978986998123,-0.211130223854841,-0.106410396552212
"miR200a",-0.022391151413572,-0.0595555689003515,0.215529423911839,0.215509985227004,-0.0589339208945653,-0.112375561481021,0.209570904622887,0.118740854973331,0.097724460537307,0.0930701332972095,-0.0240572440094293,-0.0844197540491927,-0.0844233375507516,-0.0682437203709152,0.10606199805546
"SNAI2",-0.0022527145061286,-0.0527648900317727,0.0965182160549657,0.096726202604499,-0.0178115121496976,-0.160581916079668,0.0962390116562416,0.0495810209272916,0.0475097579711442,0.0313107899075587,-0.0663678249415053,-0.000915937323235109,-0.00114945627419613,-0.111267330645587,0.0919017070040666
"miR141",-0.00197340358567654,-0.147179510601063,-0.201181549587235,-0.201216724350268,-0.104674832287166,-0.0983082350789511,-0.0856613896315623,-0.100217262983982,-0.101382061542927,-0.0577811572303481,-0.015297739620813,-0.0830738775595586,-0.0829006749842155,0.121643171761721,0.176796075511827
"miR200c",0.00197340358567654,0.147179510601063,0.201181549587235,0.201216724350268,0.104674832287166,0.0983082350789511,0.0856613896315623,0.100217262983982,0.101382061542927,0.0577811572303481,0.015297739620813,0.0830738775595586,0.0829006749842155,-0.121643171761721,-0.176796075511827
"FOXC2",0.0248870778376217,-0.12490343031365,-0.219614785476679,-0.219632939917576,-0.106651674782846,0.0159449121955247,-0.196514370626765,-0.219588603276542,-0.201996273608841,-0.183421871755059,0.0104778395812156,0.00219347954884958,0.00239827281834645,0.211006098673275,0.106373946118922
"miR200b",0.0288638402129815,0.070498925469331,-0.199155433715765,-0.199057314639936,0.068111763150281,0.121170924836594,-0.201034497081741,-0.113826838289703,-0.0855195781722098,-0.116512729980763,0.0248434681757997,0.0858176952447202,0.0859192277888868,0.0583202358288978,-0.119080435251569
"GSC",0.0705014334858069,0.0434993113828837,-0.165243716254506,-0.165255999999181,0.030248914815875,0.176336419643489,-0.130328724756071,-0.12466956204087,-0.0499569367676468,-0.0512503370612235,0.054077261943817,-0.0151205455734598,-0.0151893217983391,0.0450310309601446,-0.0437498590468546
"TGFbeta",0.0844852947973252,0.118930466670731,0.00104453166536436,0.00098083719799758,0.0618957127320464,0.10419534843116,-0.134043183586226,-0.0425062713800039,0.0437842008156732,-0.0779932777113752,0.01902134301705,-0.0129318976339584,-0.112862529369133,-0.0731345796656077,-0.153419717031315
"miR34a",0.0931467681678596,0.107622564224312,-0.0455741684266764,-0.0455350069540163,0.0835427171196413,-0.0528269527509215,-0.0538441511585844,-0.104850472260022,-0.0313855901660575,-0.062474565351542,-0.0235926434029813,-0.031415352234555,-0.0313334432081803,-0.181094282189436,-0.0634392797226462
"miR101",0.0942290847444695,0.0674108946650246,-0.113753565096699,-0.113755269969566,0.0550930335297169,0.194720295454529,-0.133183402780054,-0.104937638617118,-0.0101940662895169,-0.0224675326779614,0.0989047414059749,-0.0183951350703311,-0.0183951350703311,0.0653143853114158,-0.163413086752972
