"","miR200a","TGFbeta","GSC","SNAI2","TWIST1","ZEB1","miR141","miR34a","TWIST2","FOXC2","miR101","SNAI1","miR200b","miR200c","ZEB2"
"miR101",0.16841177763078,0.0409778553166379,0.0403532841595099,-0.0685546883397314,-0.295277820078029,-0.0085903435478518,-0.00881299994436431,-0.0976498032334103,-0.0537433468165221,0.160802721538381,0.252923852856945,0.338348101498029,-0.141305600137531,-0.16841177763078,-0.363683569906109
"miR200a",0.147639732132651,0.158048430910558,0.157232587055666,0.168231934586654,0.215862515693285,0.0466925992893358,0.0461186952608998,0.120198871204397,-0.0312573074801875,-0.159901165617465,-0.230742217994849,-0.299166303040155,-0.149246734610338,-0.147639732132651,-0.248926970947084
"SNAI1",0.0187740623134768,-0.0328116678235095,-0.0328049272216927,-0.150378458973542,-0.361097807897438,-0.162527784950134,-0.16231725928517,-0.144036980674759,0.0102260703461779,0.214675361958813,0.347045566116805,0.351406276756718,0.0289040145424092,-0.0187740623134768,-0.228848176975011
"GSC",0.188740291879124,0.0831501160032466,0.0824554130345114,0.0661087952000934,0.401743264671403,0.190954798830544,0.190410383266548,0.0154701443433182,-0.0303193016910932,-0.208132376211388,-0.261647085502339,-0.36714200018464,-0.183192874076242,-0.188740291879124,-0.186651336122768
"TWIST1",0.116277796449868,0.0295714273022528,0.0294497825583752,-0.111118284402265,0.244347487157333,0.106288917985762,0.106130497728712,0.0382855155230837,0.119709867150229,-0.00918909739123061,-0.055084338479841,-0.258660141091639,-0.0470300557678748,-0.116277796449868,-0.132098483030514
"ZEB1",0.0482373020859232,0.0226788504288098,0.0221375490019751,0.169683625133475,-0.0595103732329958,-0.0887261575230401,0.0109730800441928,-0.00592558124430326,-0.144812242685211,0.0423552234922305,-0.0688912254127111,0.0291506807971754,-0.0678099731896481,-0.0482373020859232,-0.0975324257947156
"SNAI2",0.00281530377871881,0.226435427464346,0.225928186666105,0.394094612520473,0.0578924862959815,0.00691144963379464,0.00624461997176441,0.110490310149212,-0.368348558267998,-0.227815908490305,-0.515119153660773,-0.34177541946273,-0.273662819031311,-0.00281530377871881,0.00647898494963504
"TGFbeta",0.0693617371293904,0.158710040998325,0.258247048161002,0.314207179564472,0.297870590978075,0.158049969119505,0.157427771440745,0.150140779354928,-0.179196290086322,-0.239642511305964,-0.389349683373547,-0.474130389027038,-0.206033550586646,-0.0693617371293904,0.0289485540290195
"TWIST2",-0.00242828970204128,-0.023666479849262,-0.0235980049161807,-0.259634850933771,-0.0437444922629002,0.0493559149244572,0.049566998575149,-0.110353159143104,0.148993169605848,0.159860233456143,0.260727556674539,0.248761872526458,0.0809175447492113,0.00242828970204128,0.051067125272076
"FOXC2",-0.0478582050891817,-0.0221375490019751,-0.0217390323694407,-0.168840182161538,0.0611383079961238,-0.0109730800441928,-0.0105427130041142,0.00639189127705688,0.144273486577988,-0.0440132785550824,0.0671930965540006,-0.0303758856838851,0.0673209891692769,0.0478582050891817,0.0974462431526697
"miR34a",0.0867988810167961,0.0153255589161243,0.0155482301211577,-0.18999763294372,0.150710945051404,0.152140616472612,0.152269896514888,-0.0315478968967903,0.244756267370971,-0.0409410644947801,0.0487139982205769,-0.1020525458286,0.0328777645836622,-0.0867988810167961,0.108587425895528
"miR141",-0.114044225105797,0.0976137866044548,0.0976317041122489,0.250657817550674,0.13781689031813,0.0321416863294871,0.0318325186754587,0.0174066297523853,-0.142001174943612,-0.136433573378392,-0.244822163429902,-0.242918554737204,0.0208377575483857,0.114044225105797,0.267493407106777
"miR200b",-0.1939882411948,-0.186837269937624,-0.185677409933085,-0.294116620842113,-0.169158578364483,-0.0662039017330013,-0.0652569600860818,-0.00589803702953801,0.171207413821548,0.168662894004105,0.287503176027896,0.289302980339467,0.243722916167387,0.1939882411948,0.327668786731566
"miR200c",-0.160392734167946,0.0688249475773888,0.06918688123483,0.124773131295214,0.184520827646931,0.0126303838858216,0.0126942538502766,0.131707463927244,-0.00205106860225184,-0.127671844991752,-0.188061205396854,-0.252781877437893,0.115313939105434,0.160392734167946,0.346235222891259
"ZEB2",-0.407786627836896,-0.139096209101254,-0.137175571764268,-0.118910416899933,-0.0783328582309356,-0.0697945655212922,-0.0687419653749734,0.0238802635649467,0.0774225695208127,0.079321938747392,0.115900450658937,0.120058292995724,0.404187164717566,0.407786627836896,0.436662734898317
