"","ZEB2","miR34a","SNAI2","miR101","SNAI1","miR200c","miR141","miR200b","FOXC2","TWIST1","GSC","TGFbeta","miR200a","TWIST2","ZEB1"
"ZEB2",-0.0716430137422598,-0.0599620816333843,-0.0361578796732551,-0.0296594276299399,-0.026986544392307,-0.0258207697724851,-0.0222472542052663,-0.00672274659073038,-0.00527882594989486,-0.00177219361998588,0.00642013803575419,0.00883552343180635,0.0100412128354097,0.0166147043331921,0.0226558521816861
"miR34a",-0.0714163824837862,0.0174485537976244,0.0850022209114148,0.0817637318909446,0.0855308181809629,-0.050000862705994,-0.0627580269204132,0.00991450372841597,0.0847827275300616,-0.0141859702930367,0.0486550017561716,0.0479639322669806,-0.105599488284046,-0.0138537305654106,0.0624683263877228
"SNAI1",-0.060921061776402,0.0307337302466267,0.0997157332415828,0.110659018772856,-0.0820924460735783,0.00473149900623284,-0.0672789522547954,0.00895712980473546,0.105830013302538,-0.0181185079164431,0.0264531922173865,0.027087205294154,-0.0653515835559831,0.0204246486557504,0.0678740505001057
"miR200c",-0.0516238547996914,0.0452221110795053,-0.0762984064275745,-0.0406680089320842,-0.00563949559106044,0.0395238117218446,0.0312653574986336,0.0374729695035596,0.0706122934961802,-0.0251660325167692,-0.105087114341969,-0.104524504597234,-0.00740784436764203,-0.0643354338839789,-0.0320095814322829
"miR141",-0.0516238547996914,0.0452221110795053,-0.0762984064275745,-0.0406680089320842,-0.00563949559106044,0.0395238117218446,0.0312653574986336,0.0374729695035596,0.0706122934961802,-0.0251660325167692,-0.105087114341969,-0.104524504597234,-0.00740784436764203,-0.0643354338839789,-0.0320095814322829
"FOXC2",-0.0223202445844276,0.00731131907651191,0.0496006056734688,0.0557932976957134,0.0631867612047096,0.015660085630286,0.0127826190913997,0.00655353286428568,0.107846091516003,-0.00817359715994522,-0.00222071855737608,-0.00317273051287505,-0.00149529800510225,-0.0298382035358543,-0.0138836325363651
"miR200b",-0.00936573468048212,0.0952989318831656,0.11017781345933,0.0831505439078142,0.0551652438871148,0.00920628086885634,0.00829162648423692,-0.0295222590182641,-0.0210914828635311,0.0192569884768017,0.0793790450420971,0.0800228808221657,-0.000674956064913597,0.00953393512273511,-0.00795839188708053
"miR200a",0.00936573468048212,-0.0952989318831656,-0.11017781345933,-0.0831505439078142,-0.0551652438871148,-0.00920628086885634,-0.00829162648423692,0.0295222590182641,0.0210914828635311,-0.0192569884768017,-0.0793790450420971,-0.0800228808221657,0.000674956064913597,-0.00953393512273511,0.00795839188708053
"ZEB1",0.0210559363408062,-0.00833570895646506,-0.0492874808385195,-0.0561168072410225,-0.0623154782670399,-0.0173541572477858,-0.0138836325363651,-0.00698439236902791,-0.108159194006942,0.00878295255751974,0.00317273051287505,0.0026071153103669,0.00199593755041737,0.0293179341578007,-0.0868386985729971
"TGFbeta",0.0522578458225426,0.00592170326350508,0.0844680376399191,0.0380163387508805,-0.00681165283895833,-0.0649431084129781,-0.0856360947888551,-0.0861470455996401,-0.0666051729605465,0.0400538529393842,0.0368454895212835,-0.063620729746962,-0.0185757557295959,0.0880984840083358,0.08469573853911
"SNAI2",0.0637726246592384,-0.0315853545035038,-0.0516209892693133,-0.0102186986546386,-0.0626225739450748,-0.0394023823178329,-0.0147369428405299,-0.0271284097803632,-0.0208822503769877,-0.0515591015560844,-0.00324328100855377,-0.00168734338291972,0.0236617307224534,0.0871747779859316,0.0150996633447885
"TWIST1",0.092624810103496,-0.00618848699603025,-0.118494337730877,-0.0735501402744161,0.00380789086521233,-0.0217080603693279,0.0581310533050308,-0.00886766838114923,-0.188155775106554,0.0937851660235524,-0.0226909428225666,-0.0227952097458903,0.0719403071337184,-0.108453991513694,-0.0580322675146278
"TWIST2",0.0942065759212117,-0.0660176062869245,0.0800583774795953,0.00166244999174007,-0.0532128553012262,-0.0878087494959799,-0.0834893176408522,-0.026712885407845,0.00915135574075459,-0.0719515695677048,0.022896077525556,0.0224235438964411,0.00247898735077874,0.118023140946892,0.0837914311159048
"miR101",0.107137991364362,0.0121108534595804,-0.101560599155645,-0.112189594216463,-0.0205949340261891,-0.0144126383862268,0.0797398080463499,-0.0711061162566633,-0.0920930014208395,0.014387982263352,-0.0520724295335748,-0.0528782142940386,0.0916963327640737,-0.0354341741177699,-0.0797135530041884
"GSC",0.147072745797118,-0.0896678122987854,-0.107540626890395,-0.161051732750776,-0.114965610886987,-0.106493191793634,-0.0768264181327465,-0.00163285094708656,-0.255177850571925,0.21597541551412,0.032393762990823,0.0322240308395153,0.032812510591831,-0.00937053252095829,0.0772430827521224
