"","miR200c","miR200a","miR34a","SNAI2","miR141","ZEB1","ZEB2","miR101","TWIST1","FOXC2","TWIST2","SNAI1","TGFbeta","GSC","miR200b"
"miR101",0.0654061938638715,0.0654061938638715,-0.0161541270414184,0.0916793412787427,-0.0898485731333741,-0.0896756990245964,-0.22230288300593,0.0280463292376774,-0.0131627657934643,-0.0527217744529475,-0.0217238942431985,-0.0448424151397075,-0.0369302562577335,-0.0366980213486042,-0.0333818483031815
"miR200b",0.100601410747026,0.100601410747026,0.00313900777988832,0.122588992733091,0.00378328651341966,0.0037305243688699,-0.196289876309644,-0.0205746093245272,0.0243170338767634,0.0124830185622146,-0.0554574234602217,-0.082688014392023,-0.13929306264599,-0.139299035148589,-0.0341699833659037
"GSC",0.0397430488384237,0.0397430488384237,-0.0444966061865148,0.0266727075013063,-0.047456904932106,-0.0476500053983969,-0.123457840158175,-0.0938006959278,-0.0690100212206137,-0.0266360361014915,0.00922343057719216,0.0609594752310652,-0.0180450903293099,-0.0182110366333765,-0.0266987024291385
"miR34a",-0.0352675919375812,-0.0352675919375812,-0.0123529789605156,-0.0765438785733185,-0.072816470794774,-0.0726612403790491,-0.119120674834922,0.0624369908662576,0.0142222180133446,-0.0828474648810542,-0.00842022870612903,-0.033454229411174,0.00436526536616612,0.00455153255947749,-0.0310139591296171
"ZEB2",-0.147020861724101,-0.147020861724101,-0.0392201861532764,-0.0278335065098995,-0.024299385305746,-0.0242262258629522,-0.0114434432519823,-0.00748609860829664,-0.00592940870097083,0.00422722967005121,0.032813130869427,0.0427407005978558,0.0508002923109443,0.0509575968220317,0.148596134282019
"TWIST2",-0.0408709752873782,-0.0408709752873782,0.0189025003219862,0.119407094908682,-0.0670646847423506,-0.0670017994047487,0.0083192503280315,-0.0134880948277385,-0.156672924510918,0.0247274724376434,-0.117876238676588,-0.097916763598469,-0.0142452154912129,-0.0141201497043453,0.0653133349034687
"SNAI2",0.00409960116249851,0.00409960116249851,-0.00557706274684742,-0.103279205604127,0.0223676988898071,0.0224772183772425,0.0153183064267794,-0.0280584503023596,0.108960567709551,0.014281647075107,0.00501439948818036,0.0580622434446145,0.0025865588032829,0.00269519216142228,-0.00565539988505933
"TGFbeta",-0.00573606895694263,-0.00573606895694263,-0.0961023745033777,-0.0793066045278104,0.0060482184584447,0.00601401798089308,0.0210935977625712,-0.00984519777722135,-0.0406305013057342,0.00802769391270188,0.117282063244893,0.0988011987491189,0.1004237205363,0.200367257995163,-0.0901480786798795
"ZEB1",-0.0221597234613987,-0.0221597234613987,0.0037946923859288,-0.0860434838006609,0.00248017304370139,-0.0976115594982926,0.0634139059400994,0.0800942870086661,0.000321081341572388,-0.0897257517284533,-0.0095982271524595,-0.0746119563117203,0.0076737675291359,0.00753812225432625,0.0185324157493156
"FOXC2",-0.0223374070919325,-0.0223374070919325,0.00427741653183535,-0.0855794554307963,0.00240007992209868,0.00248017304370139,0.0634965346587619,0.0812947088745933,-0.000413729579032188,-0.0910660771699586,-0.00891421817319105,-0.0735983991021773,0.00753812225432625,0.0075436572075559,0.0185397966401892
"miR200c",-0.0725160564323106,-0.0725160564323106,-0.0129214789443542,0.114347333094946,-0.0103312026935949,-0.0103571209400404,0.13043145671724,-0.0232792961157041,0.0219187880249962,0.0142735089537632,-0.0440356698823264,-0.068490424093194,-0.0940576527265717,-0.0940612362281305,0.108846469339102
"miR141",-0.0766288892179317,-0.0766288892179317,-0.109493821301086,-0.0678595863945613,-0.0051513606840144,-0.00516802241387222,0.145582744454976,-0.0317634692811655,-0.023699808740727,0.0198257988676735,0.0844296782978823,0.130555190233356,0.131146975874984,0.131148170375503,0.0498799895333081
"SNAI1",-0.0332826903878697,-0.0332826903878697,-0.028831720599129,-0.075543265409591,0.091128193766676,0.091324498902142,0.169187231310137,-0.0323221829473528,0.00462896542060057,0.0516600007146725,0.0612497580775732,-0.0603381085720698,0.028887659321407,0.0290537953308914,6.15532099791042e-07
"TWIST1",-0.111697894826367,-0.111697894826367,-0.0616376318237827,-0.0703145369413977,-0.073419227753242,-0.0735356446033494,0.172845544080595,0.00279868229090861,0.00382385666436722,-0.0558956678738265,0.116326050651622,0.0290804642562637,0.0305981161610117,0.0304537465748712,0.045017400202866
"miR200a",-0.0964885779614047,-0.0964885779614047,0.0934333345768435,0.0596179267564165,-0.00896312852300012,-0.00891962289503804,0.181138588571909,0.0290587824899887,0.0213015628889599,-0.0180353084761249,-0.073007924719987,-0.116357599934527,-0.0859115659555651,-0.0859103714550454,0.0931364631716972
