"","TWIST1","ZEB2","miR141","TWIST2","FOXC2","miR200a","miR200c","TGFbeta","GSC","ZEB1","miR34a","miR200b","SNAI2","miR101","SNAI1"
"TWIST2",-0.336461935196107,-0.162890738087913,0.0802410998384449,0.0222762289061676,-0.0844242898164436,0.120601237841324,0.0390908583074052,-0.0513776462302163,-0.0514574393340549,-0.0802481359601346,0.162793877185354,0.00251322668173149,-0.0788737553452053,0.108521303761108,0.316177068001761
"GSC",-0.348765239476365,-0.154048461089604,-0.0320563829123776,-0.0432077882307727,0.0131905880936552,0.0622566649914673,0.0841373119945463,-0.0603626411235856,-0.0602989126950277,0.0319831717941147,0.110819064739419,0.0852298942537563,-0.0126966023476607,0.197025888613671,0.315159476437073
"SNAI1",-0.304927189457961,-0.130790075625012,0.0818194332596914,-0.0835562256271643,-0.204258843234307,0.101894884768531,0.0249571936733672,-0.0392131718524496,-0.0393594825624728,-0.0818215972533107,0.263650753040375,-0.00465556675270738,-0.0681654872224526,0.217431711281235,0.311943303049355
"TGFbeta",-0.217591657794046,-0.107095111240348,0.0169723594974556,-0.13074583744423,-0.0757328509622721,0.0628582422772272,0.0438437225442322,-0.130702421145166,-0.0301329560874126,-0.0171370865682317,0.212132423295294,0.103575035180736,0.027899426780065,0.185224191761889,0.351013067044641
"ZEB2",-0.11276219228373,-0.0992707798624743,-0.00782339166026842,-0.00649949867261294,-0.0064425674424548,-0.00381910903827964,-0.00238362292726842,-0.000835383820189748,0.000549910745193111,0.00698280459306624,0.00906208638048939,0.0131472582308538,0.0283486292621554,0.0871929364543844,0.14662144678225
"miR101",-0.286941388320385,-0.00872658863404923,0.083756319311052,-0.0903245367289965,-0.187891825683425,0.0449746218970801,-0.0364943714146841,0.00430359883410832,0.00433526723080777,-0.0835486657957746,0.167568420148922,-0.0613814491531024,-0.051038425299428,0.209738181677973,0.376919084811665
"ZEB1",-0.00247108745650258,-0.0027513822369362,-0.00174871523414029,0.0910250592998139,0.0949820695004133,0.00136586469269295,0.00115782059853904,-0.000332202751124511,-0.000195277803910998,-0.0982176996275341,-0.00423314858721284,-0.00596988808265873,-0.0809192464616766,-0.0842589207676869,-0.0879127698638386
"FOXC2",0.00257862076195691,0.00269659258477645,0.00173056079324367,-0.0910620327581528,-0.0948879845154515,-0.00147409543832755,-0.00124637302678553,0.000195277803910998,0.000438815746015387,-0.00174871523414029,0.00413988658066212,0.0058499486059639,0.0811105705863014,0.0840041421880479,0.0879997805755627
"miR200c",0.174507458007839,0.0140370134706375,1.3992930759605e-05,0.00874718156013747,0.010398675101162,-0.00701215115665808,-0.0067139233836413,-0.0890901068047264,-0.0882240939280108,-0.000469413546873349,-0.036589331252209,-0.0345673446493038,-0.0241809428666804,-0.122889292249876,-0.224744178586175
"miR200a",0.174507458007839,0.0140370134706375,1.3992930759605e-05,0.00874718156013747,0.010398675101162,-0.00701215115665808,-0.0067139233836413,-0.0890901068047264,-0.0882240939280108,-0.000469413546873349,-0.036589331252209,-0.0345673446493038,-0.0241809428666804,-0.122889292249876,-0.224744178586175
"miR34a",0.0217479894455938,0.0204184692897301,-0.0634227439107813,-0.199380287779613,-0.117823434617188,-0.0869473072904215,0.069203562342114,-0.00950043993527566,-0.00914914122215748,0.0632948793434212,0.0273663070128682,0.0699035993308019,0.0802842086360817,0.0948442545604221,0.11718069001703
"miR141",0.12640867387751,0.0266507840825825,-0.012065315538665,0.0966262578219347,0.0429508087599196,-0.0190439302601805,-0.00636026990410307,-0.0727729429215327,-0.0728553634573857,0.0122171224107029,-0.139726346807534,-0.0351066379868019,-0.0655210325310056,-0.147016847597945,-0.228573370020375
"miR200b",0.128451952546688,0.0292320096512008,-0.0199737989504744,0.00555883520133379,0.00733226074890314,-0.023965506513273,-0.00403303102354189,-0.0729567782010576,-0.0728289666454596,0.0201098697443133,-0.0393241679797662,-0.0604651562545648,-0.0146419187164801,-0.0930634370608227,-0.171006456272565
"SNAI2",0.10819121892954,0.0643301217175397,0.0117866851196367,-0.0785978201461652,-0.0170052630702183,-0.0260212648950424,-0.0371273446471455,0.0217231710982122,0.0211184168918773,-0.0116282670231323,-0.0088861519791134,-0.0174299145050355,-0.0349538860597242,0.014320174772206,-0.0368932309734374
"TWIST1",0.137654915216726,0.105973219774851,-0.000298181535598662,0.116448121991977,0.0485658501043373,-0.063040204506477,-0.0422737250120198,0.0434653053778494,0.0428664389464517,0.000540608606535157,-0.120209113464454,-0.0335359772679171,-0.0303215702620179,-0.114719972616079,-0.268921279602752
