"","miR200a","miR200b","TGFbeta","SNAI1","miR141","ZEB1","ZEB2","FOXC2","miR101","TWIST2","TWIST1","SNAI2","GSC","miR34a","miR200c"
"miR200c",0.182936598810314,-0.0651187600550367,-0.0921154240291654,-0.0793615349785693,0.225808290129266,0.22573701495154,-0.134879648992493,-0.0552817890442515,0.00909929758104595,-0.0859066639243391,0.123891250639712,0.0609077278651924,0.0921405085400771,-0.122084446000639,-0.182936598810314
"TWIST2",0.0837031584527878,0.0395413362597706,0.0229644042376868,0.140426898515789,0.0633206912912068,0.0632019567376927,-0.100946507517542,0.0173188281454671,-0.0236443416813143,0.0626830685743248,-0.243836865633601,-0.0960565130282258,-0.0229649701462246,-0.0884891526325397,-0.0837031584527878
"SNAI1",0.0149057044427829,0.073686482871208,0.0204428744604329,-0.0659475589324226,-0.0687100218158424,-0.0686596316787071,-0.0910394221050946,-0.0380054131279983,-0.0314431149856907,-0.00326129634157147,-0.0236099848374263,-0.0709457372552216,-0.0204464430143359,-0.0340221434832453,-0.0149057044427829
"FOXC2",-0.152570230219078,0.208696938192445,0.00620091137087979,-0.0873424997461686,-0.174706888789894,-0.174592622603074,-0.0808624962995252,0.0968568185723547,-0.00429370550721201,0.0995751316424139,-0.00813036452397677,0.0972098226692847,-0.00615663174504263,0.192927337160116,0.152570230219078
"GSC",0.154179802310302,-0.0528863111961729,0.0133927353477861,-0.0843708495077821,0.210750699096661,0.210823910214924,-0.0787767225105119,-0.139761117459173,0.106888888908383,-0.0217663707597338,0.194700432132018,-0.0268072323791766,-0.0133794848824424,-0.0795967418782645,-0.154179802310302
"TWIST1",0.136542020293483,-0.0425463060617873,0.0129648499863909,0.0225414474541813,0.195765770953011,0.195739065083165,-0.0522158634356729,-0.0909146607852898,0.0224816253176238,0.05530551610298,0.000327176534665103,-0.0673989358547803,-0.0129688602526726,-0.103605793579988,-0.136542020293483
"miR34a",-0.0759415530516255,0.00984756194531243,-0.0137801754098666,-0.0353448239200671,-0.0793939912301337,-0.079230739789888,-0.0259086294941825,0.0840524978746833,-0.0120345877551184,0.0364767237269158,-0.0235156246455685,0.084505093257807,0.0137552993351899,0.0603984888409859,0.0759415530516255
"SNAI2",0.0122900438817731,-0.0131123174392077,-0.0045436271407996,-0.092627686342085,0.00134706878269845,0.00120673647310997,-0.0231883305758215,0.00966399334634581,0.00156766278243255,-0.0803173681020412,0.15032278929397,-0.00856887404690192,0.00457356546784589,0.032578487506002,-0.0122900438817731
"ZEB2",-0.156875676550084,-0.131242993265264,-0.0513474820391938,-0.0494724126316586,-0.0491360719069947,-0.0490858058952792,-0.0140659835569181,-0.00442612212915324,0.00193689919286749,0.00350140625095925,0.0441084663020095,0.0458242564675842,0.0513347961915255,0.0580071661356151,0.156875676550084
"TGFbeta",-0.0624956208430508,0.139812147266407,0.0994955116420027,0.134763466169022,-0.118167385640739,-0.118297598468114,0.00566403870324162,0.0433106043824651,-0.0180530863718379,0.0821138916444742,-0.158671740784715,-0.100237906301055,-0.19950680415023,-0.0524678650792865,0.0624956208430508
"miR101",-0.122392291424511,0.0649099228084851,-0.00434686312444897,0.00949663017647844,-0.189045673638223,-0.189050788256826,0.0515420069746402,-0.0256878893912706,-0.0316760449602124,0.0323369622718026,-0.0170639738657104,-0.0465377658680641,0.0043820502318928,0.0903152385393794,0.122392291424511
"ZEB1",0.152471259858096,-0.208659111126718,-0.00625209826703437,0.0874977080427576,0.174592622603074,0.0745740755863871,0.080868715665446,-0.0966485977039966,0.00441576222210885,-0.0997256664370792,0.00815127377781511,-0.0972168289048344,0.00620091137087979,-0.192799754735155,-0.152471259858096
"miR141",-0.182936598810314,0.0651187600550367,0.0921154240291654,0.0793615349785693,-0.225808290129266,-0.22573701495154,0.134879648992493,0.0552817890442515,-0.00909929758104595,0.0859066639243391,-0.123891250639712,-0.0609077278651924,-0.0921405085400771,0.122084446000639,0.182936598810314
"miR200a",0.00534804268532137,-0.196551112927508,-0.137571212220829,-0.0966077806769171,0.202838327778368,0.202725398275999,0.191177051274612,-0.0571176591923829,0.00993323506841093,-0.0847965886169952,0.141418675747178,0.0754207089554304,0.137574795722388,-0.0995838167072501,-0.00534804268532137
"miR200b",-0.0231672554190695,-0.109351238634992,0.0868133561620189,0.136364484695565,0.153565777943543,0.15353800839378,0.196779171292421,0.0179842276209604,-0.00575281110423031,-0.0142612918052607,-0.116875469479021,-0.12511019796894,-0.0868766646895581,-0.175093233027784,0.0231672554190695
