"","miR200c","miR200a","TGFbeta","TWIST2","miR34a","miR141","miR101","FOXC2","TWIST1","SNAI1","ZEB1","SNAI2","GSC","ZEB2","miR200b"
"GSC",0.0737501838616771,0.146451076951012,-0.0207827390838022,0.0629946918947469,0.0184314394047688,-0.0759643867555233,-0.0458026114915697,0.176920293690622,0.0255463544363175,-0.102045824597011,0.0760248227793243,-0.109433680861357,0.0209461614897082,-0.239879886622583,-0.034810328494005
"miR200a",0.117807748765379,0.108860952103393,-0.0468668120136196,-0.0141047526084845,0.0351265817730967,0.00926192180625729,-0.0420219857519691,0.0707235490394967,0.0240773914457705,-0.0059669526305137,-0.00963681072805824,0.07991629765534,0.046887118522453,-0.228823531871992,-0.141127564181033
"TWIST1",0.0796272327161407,0.110281148972395,-0.0122445119060147,0.152071354412607,0.0235119120864763,-0.0403959818944647,0.0842349055992137,0.142597674635047,0.0123351097703936,-0.0174454085171123,0.0404729881405269,-0.186213020907384,0.0123447685630568,-0.211002672985482,0.00025467981357725
"miR101",0.106595483668427,0.00564543805537609,0.0769570420181808,0.0109814099335654,0.0360783533383885,0.100992388773854,0.0273392151321067,-0.0397984758712688,-0.0167961009054223,-0.00226221903778055,-0.101118890340632,0.0465181553241736,-0.0769112987785038,-0.113697310787165,-0.115196576640448
"ZEB1",0.018308617083028,0.0455947301906897,0.00125451986549181,-0.156745904560036,-0.0471392271101141,-0.022608557171136,-0.0229107687336243,-0.0803175796010043,0.0179266698677555,0.124090507384254,-0.0775182643213475,0.163569573079745,-0.000727294835099586,-0.0760482739336645,-0.038030378088344
"SNAI2",-0.0152189601131281,0.0763760723194342,0.160395197226926,-0.233811651469454,-0.0630559508506356,-0.0914193746938516,-0.193650678277302,-0.0687156935591633,-0.135310560993151,0.0264066776888803,0.0912616264413071,0.112650079738883,-0.160108644668054,-0.0625371427754633,-0.190014312833615
"miR34a",0.0778314980883701,-0.116191510611379,0.045704993986565,0.29474365441804,0.114632585586104,0.0969117702229402,0.0218607887066335,0.134690498448348,0.0318978522529515,-0.144225101085389,-0.0970415220901876,-0.176185286262572,-0.0456170176249033,0.0434527014429076,0.0365136193032017
"SNAI1",-0.0150185611854783,-0.048585338132857,0.0214689803919395,-0.0862807559185886,-0.0474654664440711,0.0452991382866611,0.0201686624660351,-0.0541853468550431,-0.00509000441179188,-0.0641781277881163,-0.0454354698846777,0.0977199486168379,-0.0213528041370971,0.0544448982592115,-0.0224116535432627
"FOXC2",-0.01835202513609,-0.0451183991550893,-0.000727294835099586,0.157189586060102,0.0468340738246801,0.0221290663498077,0.0229214338834696,0.0801371215150939,-0.0185778437730067,-0.124051705310107,-0.022608557171136,-0.16384712779575,0.00100404249658185,0.0760704859548103,0.0380875799926138
"TGFbeta",-0.0115857408596628,-0.0556326590628339,-0.0962823260922411,0.180386294676768,0.0816682730020348,0.0386999991074517,0.0747333037743889,-0.051706751658579,0.00537565547936236,-0.0236856867740295,-0.0387103533804719,-0.17369117192475,-0.0035611920080364,0.0767923454661312,0.135823945797558
"TWIST2",-0.0343906998627145,-0.0499880669401452,0.00377091794449897,-0.0323294087311827,0.0561633448391873,0.0141245639812213,-0.071649478133034,0.0728101081014866,-0.0235667283585786,-0.121105950955825,-0.014251653929242,0.0323913646862631,-0.00362547945026841,0.0865083969892233,0.00753892743419921
"ZEB2",-0.275798931042744,-0.230839179208698,-0.102380267183564,-0.0736180785640288,-0.0590756111074428,-0.0489519507441507,-0.0210307812628582,0.0153117346037328,0.0324578265528125,0.0434959224753288,0.0489186059641019,0.0848374976661325,0.102669504510402,0.195800543389752,0.25546827636621
"miR200b",-0.125654438781316,-0.108208481684859,-0.120877157893695,-0.0416270917704461,0.0106386041875724,-0.0157149050716417,-0.0499104214567021,0.0771358635212764,0.0373429483799909,0.00964229085665065,0.0154557226071867,0.109771216676159,0.120694399314195,0.235360931148582,0.0558629597601009
"miR200c",-0.132573410331853,-0.152523909363439,0.0631472242660831,0.165206242280904,0.111045054178702,0.0186666242907273,0.0616003837409509,-0.0480178602636908,-0.0388268057860796,-0.077345183267032,-0.0187073529637131,-0.200585080034056,-0.0629286306709949,0.291368649868279,0.139723943937875
"miR141",-0.132573410331853,-0.152523909363439,0.0631472242660831,0.165206242280904,0.111045054178702,0.0186666242907273,0.0616003837409509,-0.0480178602636908,-0.0388268057860796,-0.077345183267032,-0.0187073529637131,-0.200585080034056,-0.0629286306709949,0.291368649868279,0.139723943937875
