"","miR200c","miR200a","miR200b","TGFbeta","GSC","miR34a","TWIST1","TWIST2","ZEB1","miR141","SNAI1","FOXC2","miR101","SNAI2","ZEB2"
"miR200a",0.204540785515857,0.204540785515857,0.217711935969553,-0.0383960221361426,-0.0385668357104465,0.0334131127419779,0.00415076281403992,0.0769106766786015,-0.0305706151129607,-0.0307798123878422,0.0195366899304962,0.0450378974537663,0.0611624458855167,0.103574412710007,-0.388524555405315
"miR101",0.234010728801853,0.234010728801853,0.221387345537043,0.0512128525280994,0.050695602048675,0.0398289243998685,-0.0430730404500016,0.0249729054322192,-0.121179653510384,-0.121032693469194,0.0392579911820359,0.123942293843719,0.101245099287595,0.0615057318538214,-0.361870560014477
"miR200b",0.137730332214689,0.137730332214689,0.0817974284445423,0.119646909344931,0.119576433814274,0.100299938820332,0.00607090492001824,-0.0733130764081878,0.00528768987087764,0.00530435160073546,-0.0941981162865319,-0.104705101456078,-0.158623399760051,-0.223432740110779,-0.286723111151296
"miR200c",0.0945589959444088,0.0945589959444088,0.0240719655634123,0.112865336686957,0.112689745110575,-0.0105817224848199,-0.00250287054812694,-0.0865092440851231,0.00896891477631954,0.00916607857963707,-0.0376408963904446,-0.0677607163192942,-0.0869629751509815,-0.137097912535873,-0.200593488120328
"SNAI1",0.154817800237872,0.154817800237872,0.144308911453578,0.0364614426689717,0.0365355892889564,-0.0142649406767704,-0.0542837984625796,0.0280589202268581,-0.120175756133201,-0.120392464637078,-0.0396598207842098,0.15213879533967,0.134580505287081,0.103695382438391,-0.197678634394695
"TWIST1",0.0800258761935129,0.0800258761935129,0.0835411574194116,0.0298590306650493,0.0300381558922978,0.0215603628812224,0.00463723940904726,0.102502182833576,-0.0216623613447221,-0.0218907872800109,-0.0246727474132488,-0.207022570536606,0.00136698473932476,0.0640660685503784,-0.162282118005058
"SNAI2",0.123080333416727,0.123080333416727,0.282925774214013,0.213137463111943,0.212938159391892,0.0277904264251733,-0.218117426012699,0.182388436192548,-0.116676961200767,-0.11671011847678,0.110963950051338,0.127771512732749,0.229827306103596,0.0514873825453926,-0.135014602705589
"FOXC2",0.0451782779583575,0.0451782779583575,0.0255684716290003,0.00647617371560364,0.00659794268665584,0.00935295576027576,0.00919955048686091,-0.00753174279701978,-0.00466426721064667,-0.00487250932681373,-0.0833424409219058,-0.0959630069894156,-0.105195246523592,-0.123295348725872,-0.10377888860283
"ZEB1",-0.0449473471160676,-0.0449473471160676,-0.0253267474528922,-0.00663101407647126,-0.00647617371560364,-0.00905974001168028,-0.00895162647706343,0.00742346338331319,-0.0952545269325062,0.00466426721064667,0.0836904837688023,0.095881261018875,0.10510874030818,0.123248460841809,0.104115622843401
"GSC",-0.0394249028012835,-0.0394249028012835,-0.0293235552155707,-0.0192887477942912,-0.0193070460559563,-0.0297215210743962,-0.216740416167233,-0.0114467717042516,-0.0669281278412387,-0.0669409029357007,0.13732005666021,0.0672532509332542,0.11891343272232,0.00346549371117218,0.147469410244378
"TWIST2",-0.0489243248280887,-0.0489243248280887,-0.077215421538458,-0.0359429763731189,-0.0358926105132492,-0.0240543325830125,-0.153002014396004,-0.12497413962859,-0.0609783235008476,-0.060982281319298,0.0997157901303493,0.125544699138664,-0.015929758037716,-0.125156106838591,0.160848025080399
"TGFbeta",-0.116734906885721,-0.116734906885721,-0.215946539024527,-0.135044923735654,-0.0345254683571938,0.042236900058528,0.0249922168808314,-0.146769710516176,0.0457883699611394,0.0455947764322463,-0.048718454249808,-0.0910864243476534,-0.120651603413236,-0.189226510502523,0.193173621505639
"miR34a",-0.185750773969474,-0.185750773969474,-0.198055828008533,-0.0548844394214944,-0.0544797481578505,-0.0271453364370185,0.0258279273327445,-0.0611727884961546,0.101592582671351,0.101479816503089,-0.0484182482052043,-0.0897295656266103,-0.135851016364165,-0.185452043637953,0.204603536878981
"miR141",-0.161369449245578,-0.161369449245578,-0.159986473088423,0.0451775947941162,0.0454535244141456,0.0774685485631741,0.00442301265410526,-0.0637145090016662,0.0268893902075188,0.0269180854089406,-0.0760939098265836,-0.0819822825905505,-0.132822870494586,-0.189909240284913,0.302394932374348
"ZEB2",-0.38656716947485,-0.38656716947485,-0.349872422267105,-0.107806206602702,-0.107402796646849,-0.0551344174218451,-0.00379262425259543,0.0252200611912173,0.0406528982475425,0.0406812661947483,0.0493704875088952,0.0554631307212557,0.0714194035097673,0.0937228290897087,0.422225442160578
