"","miR200c","ZEB1","miR141","miR34a","GSC","TWIST2","FOXC2","TWIST1","SNAI1","miR101","SNAI2","TGFbeta","miR200a","ZEB2","miR200b"
"miR200c",0.26084449993767,0.271531804475383,0.271295763302397,0.169990410588318,0.14572295941403,0.00948622342201723,0.0947386669313766,-0.0431061601297973,0.00589115328493689,-0.064109489124933,-0.133047807441015,-0.145948720012236,0.015405189644772,-0.248959175212531,-0.180291316266009
"miR101",0.089219218944231,-0.0558547627368642,-0.0559587599817897,-0.00273857152704809,0.0273960208940156,-0.00117309211184334,0.0120848283491171,-0.00451537767159028,0.00858948397931054,-0.0227393884614208,0.0449831149820549,-0.0274980635056027,-0.140813656474459,-0.23355397248622,-0.0836540740894746
"miR200b",0.0539017285743127,-0.122666558673816,-0.122816514242536,-0.141298335043913,0.140061584711207,-0.0909515975279174,0.0682968196899182,-0.12212065283221,0.0715393562043365,0.00601857242474695,-0.0592497364520315,-0.140258677296942,-0.171270871264407,-0.226773431736377,-0.0179102362722752
"miR141",0.0539017285743127,-0.122666558673816,-0.122816514242536,-0.141298335043913,0.140061584711207,-0.0909515975279174,0.0682968196899182,-0.12212065283221,0.0715393562043365,0.00601857242474695,-0.0592497364520315,-0.140258677296942,-0.171270871264407,-0.226773431736377,-0.0179102362722752
"TWIST2",0.0517577699406865,-0.108681237257032,-0.108732688896888,-0.0465477501529271,0.0359045342930396,-0.111625364312263,-0.0767741477312521,0.0855681051625158,0.015769403326707,-0.0449749004592128,-0.0896859452159848,-0.0359854592139539,-0.158293107390124,-0.211241717711682,-0.0104346384473514
"GSC",0.213420262813814,0.243628143027519,0.243503340181621,0.205933745778339,0.0200901013059477,0.100116299613954,0.172808054295878,0.0507112919080881,-0.12288508613552,-0.107663497198711,0.0127032150127468,-0.0201260668547378,0.0505457281704826,-0.172316718607203,-0.196315940003527
"miR34a",-0.0699880121957939,-0.12627781192142,-0.126251389722998,-0.0288941002772006,0.0279739482487922,-0.00330153568968527,0.0366322802206164,0.0374296253769677,-0.0592608952818717,-0.0707005120723979,-0.0858223698109909,-0.027966060712919,-0.162306642816408,-0.114148417426747,0.0720821821197279
"TWIST1",-0.0460386683786793,-0.170927331716297,-0.17089025463486,-0.140969813221899,0.0216295136152677,-0.126341393202858,-0.11796145435146,-0.143222955087207,0.0413656070150006,0.0155418432933054,-0.0427981666458439,-0.0216201563272771,-0.141815500455072,-0.0954993050851688,0.0557007518060683
"SNAI2",0.0244970645344514,-0.0184839541458877,-0.0184260126433607,0.00448161510981531,0.00625442701690047,0.00783709829395651,-0.0112169437971283,0.104726694478466,-0.0390002064224745,-0.0149315058214271,-0.0888341075272537,-0.00619369498203515,-0.0426081011711379,-0.0671635762360505,-0.0241320901562478
"ZEB1",0.208504391801658,0.0928416634100127,0.192835648161357,0.210983469968503,0.00645605764174276,0.100428126147328,0.0843901866064341,0.0991090358052266,-0.100629446681102,-0.104271376640567,-0.108289882510108,-0.00646629502097368,0.183376015448083,-0.0284269714129403,-0.195935129672209
"FOXC2",0.208401948796432,0.192835648161357,0.19273633269057,0.210943926877725,0.00642284792236489,0.100166670977646,0.0845552209243179,0.099144880240378,-0.100630622501531,-0.104414763655155,-0.108116882386152,-0.00645605764174276,0.183370806481715,-0.0284166058030722,-0.195816112806873
"TGFbeta",-0.025244327967164,-0.0484883337788595,-0.0484848823545194,0.0252952843464938,-0.195523861941216,0.0770412747440254,-0.0855608144091921,0.0701156355344879,-0.0130425872999911,0.0258765032495949,0.0629970848895933,0.0954819183392284,-0.0294095177510406,-0.00490342768685521,-0.0698285926320972
"SNAI1",-0.111672010269657,-0.104516446132639,-0.104481513092785,-0.109445158542088,-0.010847936792826,-0.0493630898882465,-0.0252060938414453,-0.0286098266265789,-0.0770789510182653,0.0486444142843473,-0.0210508458661843,0.0109093952211555,0.00685123856744954,0.120963648264087,0.0852708405906027
"ZEB2",-0.379648594642921,-0.243595359755347,-0.243366923127848,-0.19695493179707,-0.089421388374916,-0.0503745461022068,-0.0347884598439067,0.00511394977157736,0.00620835556718225,0.0408222679452737,0.0755606070744681,0.0895634698688014,0.156205905348729,0.227492767414531,0.347445204781649
"miR200a",-0.26084449993767,-0.271531804475383,-0.271295763302397,-0.169990410588318,-0.14572295941403,-0.00948622342201723,-0.0947386669313766,0.0431061601297973,-0.00589115328493689,0.064109489124933,0.133047807441015,0.145948720012236,-0.015405189644772,0.248959175212531,0.180291316266009
