"","ZEB2","TWIST1","SNAI1","miR200c","miR141","miR200a","TGFbeta","GSC","miR200b","ZEB1","miR34a","miR101","TWIST2","FOXC2","SNAI2"
"miR34a",-0.11071184188063,0.0935789152360447,0.245778283374641,-0.0295363739087317,-0.0560164838100875,0.118502007382642,-0.0120038963461792,0.0120481878937744,-0.00482976494225769,0.05598062511223,-0.0820546936316222,-0.129262467967204,0.102306045722282,-0.206236435389082,-0.0144207871734305
"ZEB2",-0.0924680409817641,-0.0314910715748332,-0.0213971059686731,-0.00599399827096905,-0.00563391098677334,-0.00249074985022108,-0.00065276189958123,0.000693356612119921,0.00125819689139552,0.0056105198724107,0.024415498701803,0.0269353662461076,0.0290671249853363,0.0322094105428522,0.032575126613395
"TWIST1",-0.081332507851257,0.249402577203481,0.231747953816166,0.0770206338957053,0.0757531839409506,0.00696307181137465,0.0128430036725063,-0.0128536977159241,-0.00789134717523947,-0.0757352936009563,-0.115676314493157,-0.172358822978789,-0.186519485947133,-0.358545491822429,-0.147212347692558
"SNAI1",-0.0806105166211573,0.312216223015453,0.172317519657764,0.0942705982858055,0.104829435264517,-0.0111333156086542,0.0180071553425487,-0.0180043798006242,-0.0109056777359133,-0.104826962128952,-0.230031307884505,-0.269699466009251,-0.189560086014778,-0.310610564125073,-0.167399383901537
"GSC",-0.079999317041293,0.0274159649820969,0.132281823753975,0.0210589708746684,-0.0475773017719272,0.0610405836914921,-0.00227915748964139,0.00229240795498511,-0.0129018393918189,0.0475522429327902,-0.0430242572133105,-0.126545138928633,-0.0316189764069315,0.0367352894927335,-0.0218612755436477
"TWIST2",-0.0795169803915041,0.0463092709608969,0.127762678079804,0.00825888651062462,-0.0620358659489644,0.0698030751714282,-0.0149927528346206,0.0149672869504169,0.0190979944046703,0.0620292695848803,-0.0310444890297164,-0.102578346665439,-0.102970130214109,-0.0629394993872022,-0.084647028970384
"ZEB1",-0.0436984128240184,-0.00679510304367358,0.0935682400631448,0.0128520896574392,-0.00475525844438314,0.0183933853136579,0.00365471307312285,-0.00369694226245038,-0.0191069023009575,-0.0952091513344061,-0.00873297495225387,-0.0106174227163998,0.0819940346265423,-0.0845012137785622,0.0747112884259215
"miR200b",-0.0229404178229288,-0.1304740779253,-0.0774901595208471,0.00702216133422226,-0.00802972530265423,0.015413050007578,-0.087407010540604,0.0874129830432021,-0.0436905521106259,0.00801398922445518,0.103158365295323,0.103585338750506,0.119408201222899,0.13411913097852,0.130016260574579
"miR141",-0.019562900653341,-0.143255998482896,-0.0843547372324061,0.00132563242795944,-0.0163700408114949,0.0180568773537774,-0.0929701385909079,0.0929116080654472,-0.00746465099034436,0.0163904051479878,0.114380211994955,0.112204004989917,0.130052073409938,0.147214992325262,0.140225807012277
"miR200c",-0.0158450631219646,0.125128532238312,0.140049121538966,0.0101678988558458,0.00441936153725485,0.00572978666356245,0.0856366223870751,-0.0856760409042222,0.0561435679996388,-0.00445083369365296,-0.0133538973071381,-0.112429107563696,-0.0360186487780824,-0.160946915020277,-0.0846391999600433
"SNAI2",-0.00229053929514736,-0.0620750309261754,-0.00617123518474931,0.004879116337797,0.00727605431701219,-0.00292379480459776,0.00360414814133002,-0.00368198779165036,-0.0078922901148392,-0.00723351922556174,-0.00373880142000317,0.00767853836065361,0.00244155087557837,0.0182799517258292,-0.0914601668806018
"miR101",0.00662422454368824,-0.263932017753852,-0.266347137091049,-0.00171550697184833,0.00175974025128832,-0.00375711879169266,0.0112328453897034,-0.0112046957037484,-0.0438666149430878,-0.00175053393780311,0.115027243021217,0.250420625551513,0.0977701196030143,0.280302138574488,0.133882227044698
"TGFbeta",0.00742356198386955,0.173074343302095,0.128689538678068,0.0364799824845752,0.0819762679827973,-0.0430475160844309,-0.0836411845136836,-0.0163910797955375,0.0841922320495895,-0.0819577557977005,-0.149870578924697,-0.129494933750231,-0.169332618231011,-0.189869696008124,-0.129997877590508
"miR200a",0.0158450631219646,-0.125128532238312,-0.140049121538966,-0.0101678988558458,-0.00441936153725485,-0.00572978666356245,-0.0856366223870751,0.0856760409042222,-0.0561435679996388,0.00445083369365296,0.0133538973071381,0.112429107563696,0.0360186487780824,0.160946915020277,0.0846391999600433
"FOXC2",0.0437259557302392,0.00686679191397646,-0.0935764708061457,-0.0127345985271514,0.00480972176707299,-0.0183349291355344,-0.00369694226245038,0.0037356869350579,0.0190109507196016,-0.00475525844438314,0.00866508021148494,0.0105759471336679,-0.081972906936063,0.0844688238657065,-0.0747075158375486
