"","miR200b","miR200c","TGFbeta","ZEB1","FOXC2","miR34a","TWIST2","TWIST1","miR101","SNAI2","SNAI1","miR141","GSC","ZEB2","miR200a"
"TWIST1",-0.00358004577753872,0.148802833097592,0.0105274226280529,-0.10180516865282,0.0695184416778369,-0.107960004255668,0.168320774486146,-0.177499415677962,0.0126924852806472,-0.126032453126813,-0.130986457386444,0.10188528626236,-0.0105902501331326,-0.214148861613003,-0.043518062743165
"miR101",-0.00492755762751469,0.174592380488851,0.0196650204678872,-0.157151502757351,0.145752432947622,-0.143712673586808,0.123010993799009,-0.181098438216182,-0.0463654361103545,-0.115514182137715,-0.105691852976845,0.1572268581381,-0.0197969721208015,-0.19603448588379,-0.0217888423102832
"miR141",0.181250095607338,-0.00907669784466813,-0.0644920359043631,0.183462600880993,-0.0542313980025879,0.168591344606853,-0.142312647963892,0.00879368150202246,-0.0464671895305868,0.125557442122439,0.0307744150615005,-0.183546835181941,0.0645505664298239,-0.161846948310257,-0.173426763727317
"TGFbeta",-0.0568211415210052,0.0671633798828717,-0.0841912843563544,0.000204924078726632,0.0760381920231647,-0.0856504005372252,0.135303882240243,-0.0174474064995343,0.0227558420096709,-0.109172886721376,-0.060880214027959,-0.000107970431355519,-0.0158006495663403,-0.139403955601529,-0.0671196115024302
"TWIST2",0.00177573122057034,0.0621309528922904,0.00743940630135029,-0.0567063340743752,-0.093896305535445,0.059316707378407,0.0340559156029678,0.0431812605259424,0.079320919860426,-0.0221719173513007,0.173391262271658,0.0566078283707191,-0.00740262224638926,-0.0690916168937229,-0.00668096279820025
"FOXC2",-0.17402975100766,0.164136672502093,-0.00137412737703486,-0.135857714195765,-0.117756947509095,-0.126602095911067,0.15980825256365,0.0103254439275987,0.106341634549498,-0.0855082064167507,0.129956152923016,0.135867325370357,0.00121361373337515,-0.00380708155978073,0.160703705264204
"ZEB1",0.173925495924072,-0.164163874882011,0.00138692410107351,0.0359504492792011,0.118094728028876,0.126487943215049,-0.159280060301666,-0.0105733679373962,-0.106321489266456,0.085368620646954,-0.12977977985871,-0.135857714195765,-0.00137412737703486,0.00383284750430991,-0.16066608495155
"miR34a",-0.0268191486274544,0.103316161227621,0.0119776512950372,-0.115054894884868,0.134411714804706,-0.135337290298531,-0.117707406708258,-0.0360252076137573,-0.0918463014603154,0.0480755782498458,-0.160737261060613,0.11508933810781,-0.0120510660520101,0.0148046837274566,0.116293893054645
"SNAI2",-0.0176716974304306,-0.0496399285889289,-0.00823412932366517,0.014691285291413,-0.00292026986768917,-0.00322857954807408,-0.0730443632727834,0.0680727134216658,-0.0361566987737053,-0.047091817314483,-0.0263293601726026,-0.0147117155321884,0.008306836689349,0.0848550879499693,0.0355196212095529
"SNAI1",0.0256840600345227,-0.0854692105883539,0.000384461209344019,0.0802443172854371,-0.133804250136377,0.14899852484296,-0.107365026371369,0.166382066998044,0.052035834372284,0.092271634959159,-0.0085338217064444,-0.0801967094258123,-0.000349172176303175,0.0923692026085175,0.00779760698367556
"ZEB2",-0.213405048639826,-0.170808607416665,-0.0633530827802159,-0.0581777230545616,-0.0477500043148858,-0.0347944772927047,-0.000300035194827555,0.00517384595113922,0.00706815985438546,0.0350927137482262,0.0494678585950043,0.0583006508257865,0.0633505456106822,0.0937050237531916,0.221345672661126
"GSC",-0.109765100201347,-0.0316537101913876,-0.0199024664835918,-0.0846848558370559,-0.0347430138072958,-0.0684773712660836,0.0342734747495559,-0.170655414737155,-0.064210098634014,0.00313549080843796,-0.0198454338030519,0.0846622537468539,0.0198551433930785,0.153006917239395,0.113855444550022
"miR200b",-0.181250095607338,0.00907669784466813,0.0644920359043631,-0.183462600880993,0.0542313980025879,-0.168591344606853,0.142312647963892,-0.00879368150202246,0.0464671895305868,-0.125557442122439,-0.0307744150615005,0.183546835181941,-0.0645505664298239,0.161846948310257,0.173426763727317
"miR200a",-0.181250095607338,0.00907669784466813,0.0644920359043631,-0.183462600880993,0.0542313980025879,-0.168591344606853,0.142312647963892,-0.00879368150202246,0.0464671895305868,-0.125557442122439,-0.0307744150615005,0.183546835181941,-0.0645505664298239,0.161846948310257,0.173426763727317
"miR200c",-0.0364421979545217,-0.159969327204228,0.0659292929421018,0.15544776243634,0.109518441421255,0.0647067622793031,-0.00258077003809715,-0.0179526490947012,-0.0243443934790294,-0.0715836348238185,-0.119382905612123,-0.155371859000321,-0.065849261407288,0.165163782649581,0.00737972018038506
