"","ZEB2","SNAI2","TWIST2","miR34a","miR101","miR200c","miR200a","SNAI1","TWIST1","miR141","ZEB1","GSC","TGFbeta","miR200b","FOXC2"
"GSC",-0.108155820504068,0.0817585423364308,0.0119247789672418,-0.0525059390621587,0.118731286974608,0.0352431130911228,0.0352431130911228,-0.052689505379059,0.0246698388305926,-0.04500947179546,-0.044973111911222,-0.00333671564960524,0.00334870416586861,-0.00811207908983493,-0.1086381163248
"TWIST1",-0.0849864044593235,0.1525877877794,0.107908601659663,0.00170818710577167,0.0994961828470111,0.0521344882135938,0.0521344882135938,0.0182356557934357,-0.0913116557274718,-0.00240397641946363,-0.00236430653512857,-0.00469652693829901,0.00470187396000792,0.0171597701606041,-0.0181344600644907
"ZEB2",-0.0845914234451733,-0.0362949466088986,-0.0290854093796336,-0.0195094700200552,-0.0147734765144003,-0.00911224064725337,-0.00911224064725337,-0.00698709695832743,-0.00582834402522545,-0.00392725260635777,-0.00392675492307345,-0.00100489211859245,0.000949074388851744,0.00297850027532606,0.0194198427744391
"miR34a",-0.0682156725431238,0.0747304723111009,0.156159264522753,-0.0640730707847906,0.0721627678711097,-0.0504476014410074,-0.0504476014410074,-0.0649644020875292,-0.100291821185233,-0.060696562769839,-0.0606677814465587,-0.042805411900685,0.0428157263706729,0.0689932529983834,0.124500701736197
"TWIST2",-0.0494435364813828,-0.167321898567791,-0.155626402844046,-0.0190183205760328,-0.0789018589095097,0.0117333492599638,0.0117333492599638,0.00188766701118103,-0.0752115397084974,-0.0254696896410899,-0.0254556173977105,0.0175894971455816,-0.0176025130419525,-0.0553194710387574,0.0283904349591248
"miR200a",-0.0248861409168586,0.157918747843683,0.129803174901509,0.0898985981094622,0.073211219451772,0.0155682761659026,0.0155682761659026,0.0122746636604572,0.00700368604673802,0.00813524330415913,0.00812598678757146,0.094520573699629,-0.0945026561918349,-0.00136780273204353,-0.0797224494562445
"miR141",-0.0248861409168586,0.157918747843683,0.129803174901509,0.0898985981094622,0.073211219451772,0.0155682761659026,0.0155682761659026,0.0122746636604572,0.00700368604673802,0.00813524330415913,0.00812598678757146,0.094520573699629,-0.0945026561918349,-0.00136780273204353,-0.0797224494562445
"SNAI2",-0.0181703552012734,0.0441920105296902,0.178052423820898,0.0272478840786243,0.169422597314424,0.0314074534198097,0.0314074534198097,0.00158736322717931,-0.136799188595921,0.0443662384229092,0.0443565256854914,-0.18105310406691,0.1810094796475,0.162149242916867,0.0540395183211338
"ZEB1",-0.0160225291806981,0.114188275277741,0.113524078344693,0.0143831530856802,0.0943062833834387,0.0164956686279853,0.0164956686279853,-0.0706626809833323,-0.0780176798813275,0.0152627690235615,-0.0847071547331619,0.002971772612903,-0.00295513687165276,-0.00180888229004057,0.0812478748388221
"miR200b",0.00622886507148859,-0.0676987810803294,-0.00629757128128209,0.0335742708029797,-0.00586097204302193,0.00791625706580381,0.00791625706580381,-0.0562223371957814,-0.0661069544705568,0.021487458568566,0.0214930124785186,-0.0778052685817895,0.0777706280667209,-0.0717537302358654,0.0960730818330271
"miR200c",0.0138523322035031,-0.0795333318928358,-0.0169891343546651,0.0245493516141823,-0.0111498114610349,0.000733637460380283,0.000733637460380283,-0.0576915834075128,-0.068578956038815,0.0140574272951226,0.0140398399136061,-0.0834818559353412,0.0834734944317039,-0.0347033571272954,0.103557066475869
"FOXC2",0.0160506644074828,-0.11418989210133,-0.113495027770284,-0.0144197117922481,-0.0942174071347275,-0.0164719388923114,-0.0164719388923114,0.0707238236456249,0.0779997576637518,-0.0152937383639145,-0.0152627690235615,-0.00298284251936229,0.002971772612903,0.00181534056955491,-0.0811722983754921
"SNAI1",0.0206467573774849,-0.0574970440313754,-0.00663646284860729,-0.00397846621928097,-0.0731863304075036,-0.0660409757999546,-0.0660409757999546,-0.107594021858759,-0.00580334591243494,-0.0946261911728867,-0.0946036238108568,-0.0202715586964063,0.0202703691784386,0.0222459618723522,-0.0599895304530814
"TGFbeta",0.0390461631434409,-0.127438882706984,-0.128207941730428,-0.0187051621156948,-0.0605973419493508,0.0167919191654582,0.0167919191654582,-0.00739212194650631,0.00875378352795244,0.0707586183979674,0.0707739929245732,0.015240094619936,-0.11521589638802,-0.117175441995774,0.0676859919090898
"miR101",0.0762277637720521,-0.0442004357889747,0.0304815102683868,0.0010914417598878,-0.056599009415723,-0.0349302896549657,-0.0349302896549657,-0.0290583771267727,-0.030082921932467,0.00847031436286509,0.00842701059202728,-0.00326622570034998,0.00325918827886121,0.0160110908544859,-0.0465887631143611
