"","miR200b","ZEB1","miR141","miR34a","TWIST2","TWIST1","miR101","SNAI1","SNAI2","FOXC2","TGFbeta","GSC","ZEB2","miR200c","miR200a"
"miR200c",0.19337421362769,-0.289419950678424,-0.288877518806386,-0.169939221026513,-0.0381313811066785,0.0102709195092563,0.0809623747515965,-0.0758607041050806,-0.086120477265446,-0.0198522820083995,-0.120863121081943,-0.120704252512835,-0.256069237188797,0.0214290607605269,0.0214290607605269
"miR200b",0.19337421362769,-0.289419950678424,-0.288877518806386,-0.169939221026513,-0.0381313811066785,0.0102709195092563,0.0809623747515965,-0.0758607041050806,-0.086120477265446,-0.0198522820083995,-0.120863121081943,-0.120704252512835,-0.256069237188797,0.0214290607605269,0.0214290607605269
"miR141",0.19337421362769,-0.289419950678424,-0.288877518806386,-0.169939221026513,-0.0381313811066785,0.0102709195092563,0.0809623747515965,-0.0758607041050806,-0.086120477265446,-0.0198522820083995,-0.120863121081943,-0.120704252512835,-0.256069237188797,0.0214290607605269,0.0214290607605269
"miR200a",0.226408209925173,-0.248494362028137,-0.248107439634772,-0.211163246494671,-0.0908301406927899,-0.0952740900403942,-0.00504771179398332,-0.00112640475096261,0.01110964433199,0.0702992591220443,0.0586187418708045,0.0587441644253633,-0.237707299136826,0.00838931590633095,0.00838931590633095
"miR101",0.140434111777266,-0.13339909479313,-0.133192805176147,-0.0883805184310428,-0.0387289290553315,-0.0188874547731565,0.000188948247377531,-0.0128857120748778,-0.0866135048732601,-0.0703725844175928,-0.0226727751321474,-0.0225830480081656,-0.209323003407663,-0.0359248869017344,-0.0359248869017344
"FOXC2",0.329595355512075,-0.392858802082177,-0.391492947381779,-0.32609757781293,-0.14997720986993,-0.118054609676047,0.104379757947803,-0.106707708467638,-0.102984250413333,0.122412567598382,-0.013069258452088,-0.0126264621937164,-0.135472450964903,0.251443448068864,0.251443448068864
"SNAI2",0.0437533586765734,-0.0369274169993851,-0.0367870846897966,-0.0140366174624027,-0.0822375800131021,-0.0852145617737471,-0.0163938233252238,-0.0204065159476341,-0.0443892163813933,0.0316831919307924,-0.009716573564807,-0.00960109716048561,-0.052196804016933,-0.00679037873409308,-0.00679037873409308
"SNAI1",-0.0542929500623879,0.129576909314419,0.129426357186904,0.0147169622177989,0.0100539119609163,0.0164323813436451,-0.0309025911069997,-0.0786474766410672,-0.0569322968034894,-0.0969092572758627,0.00264346133743973,0.00259072604087307,-0.0312798918341317,-0.088130836458062,-0.088130836458062
"TGFbeta",0.0306782645449578,0.108853770329165,0.108716027121411,0.00359932748235452,-0.0574056938482671,-0.0796583754570612,-0.0221824794775764,0.0108284748660376,0.0357991959224827,0.0631105733140652,-0.0880121175633927,0.011950778481003,0.025963930410216,-0.043380632885726,-0.043380632885726
"miR34a",-0.106675221392407,0.25409591284036,0.25366796759093,0.124548434281607,0.0613040308070062,0.0457507040045912,-0.0488234748060938,0.0372072795624532,0.0601114027438501,-0.114936993920819,-0.00285104957451732,-0.00300940702550842,0.067140014266863,-0.159984539930231,-0.159984539930231
"ZEB2",-0.146398265980377,-0.0893780340369013,-0.0890878846821476,-0.0773526401324744,-0.0430029045305456,-0.0279800106148774,-0.0150395849746612,0.012249448967948,0.0175747530883069,0.0217931825632153,0.061021819738803,0.0610776374685437,0.0686979846712549,0.225855296669443,0.225855296669443
"TWIST1",0.0189208530280901,-0.103513673574118,-0.103333473772727,-0.0751229173622065,-0.114816998335611,-0.00908815397712837,-0.0127404702159256,-0.00714365225884505,0.0337706990148153,-0.168145422299005,0.00623674398538765,0.00630224500132178,0.0825460232115558,0.092494444636934,0.092494444636934
"ZEB1",-0.330515199037189,0.293537021368067,0.392858802082177,0.326969764098193,0.150471069634885,0.118380196628673,-0.104601356061256,0.106875850788942,0.103189587009057,-0.122682483538846,0.0132074630717054,0.013069258452088,0.13597148103998,-0.251725311026746,-0.251725311026746
"GSC",-0.116667649512432,0.112344049529702,0.112250693070172,0.103009449627974,0.046634938179892,-0.167592256046922,0.0833555088708,-0.0738441000972802,0.00851936737708709,0.208754523338869,0.0180122202403077,0.0179573254553122,0.136896940197405,0.00903424696924959,0.00903424696924959
"TWIST2",-0.110312527540165,0.0912533420544414,0.0911719868974039,0.0585870103951323,0.0914817881371384,0.0897974577572536,0.0201964597155426,-0.00186446128598252,-0.0364504234879601,-0.0528751204389547,0.0283579280700604,0.0283403849053867,0.211037287688503,0.0581159901870348,0.0581159901870348
