"","miR200c","miR141","GSC","TGFbeta","FOXC2","miR101","TWIST1","SNAI2","SNAI1","TWIST2","ZEB1","miR34a","miR200b","ZEB2","miR200a"
"miR200c",0.14547516849312,0.0261793778517758,-0.085863986554024,-0.0861566391813279,-0.120408907738219,-0.037764790415852,0.0111477269221793,0.0583748589485354,0.133735993146176,-0.04126094222405,-0.0260118349015388,-0.0144865130587977,-0.0543111692211556,-0.267891013523712,-0.118166705822862
"miR200b",0.141192510585263,0.0225887448803316,-0.0773971080473338,-0.0780624448367553,-0.0686563845030479,-0.0235971208097751,0.0103787201745167,0.014897399534338,0.0622917624986212,0.0393266437907983,-0.0224702614680093,0.0708051047301233,-0.0901653964957749,-0.262827325103102,-0.117830841526074
"TWIST2",0.0908711067316564,0.0237691880534582,0.00324616697226569,0.00352515988143171,0.0237335812855809,0.0796775790932683,0.026831563871389,0.0855975743746118,-0.0777204017968848,-0.116393931581907,-0.0237260918081087,-0.0505656527315565,-0.0174785019387801,-0.158141911579173,-0.0647488736149938
"miR101",0.0254119160575685,-0.0715120854813692,0.0320034981286982,0.0314017985914087,0.113012765546802,0.100405506815254,0.0192487767441218,0.0773666801320724,-0.0249729760699493,-0.0212579380492876,0.0719113667069682,0.00374719844449143,-0.0780770933020926,-0.121316474352946,-0.0935744707459508
"SNAI1",0.0817263704442101,0.0658009695700426,0.0100475130577236,0.00998367559345868,-0.0898692325627684,-0.089330795870317,-0.0235245786041066,-0.0791617040236224,-0.0975758440140232,0.063488898152462,-0.0654553488748442,0.0175008618719758,-0.0456124711974939,-0.107718362300652,-0.0250174046305467
"SNAI2",0.000435904739905916,-0.0281818390416916,0.00932579478742359,0.00935060082983337,0.0129923253132412,0.00393599548424169,0.0644140057702522,-0.0859085128477477,0.0101736126300821,0.00423920195105748,0.0287314460107481,0.0241901201253832,-0.0164319250110894,-0.0304174644789705,-0.0291658075381265
"FOXC2",0.00541077835309279,0.00485180090797144,-0.00133391345347007,-0.00090218710155774,-0.11376687458481,-0.0176968537446414,0.00119897593720214,0.0724025385767182,0.107134302545599,-0.078388397320976,-0.00479520176870552,0.0146955397353917,0.00228901310525409,-0.0056841043411104,0.000244500287723154
"miR34a",-0.0748306933171322,-0.060258822023241,0.0368201323210534,0.0362443422023156,0.109291067776387,0.0538842192125869,-0.0095154461017802,-0.0202253107479353,-0.11028715313305,0.143491169125767,0.0605527689806777,-0.0276957698194688,-0.0533783654003267,-0.0032198783268543,-0.0776923466954425
"ZEB1",-0.00541830241562354,-0.00479520176870552,0.00090218710155774,0.00116707928915771,0.1136450268174,0.0178876414252084,-0.00135131478659577,-0.0725496695232606,-0.107149588211172,0.0781876842614223,-0.0953441514918099,-0.0146709185656623,-0.00212017522652212,0.00569802387436179,-0.000175626176864774
"TWIST1",-0.00379425364478544,0.0993783789934798,-0.0430637872300769,-0.0423793684513367,-0.00706477995158141,-0.0337021992351687,-0.0234183320932181,0.0218959899544485,0.0249094528952356,-0.0654736814307461,-0.0999417950631536,-0.016486190007007,0.0774461498223555,0.110170477464348,0.105204407545536
"TGFbeta",-0.0578261463106009,0.00867156437068782,0.170437078968653,0.0698256703089126,0.0954263444041155,0.0429188649115068,-0.00883196230762288,-0.00899761042008121,-0.0960954284625336,0.00377758596031295,-0.00822758569421492,-0.101669352078886,-0.0224707576911601,0.129554466519611,0.0681423221734085
"GSC",-0.0558909168013048,0.0423434851330809,-0.033036940486954,-0.032848279099441,0.103571693548883,0.0982805113806373,0.00245720752491905,0.02476101806004,-0.0666419427384004,-0.0416555019682395,-0.0422530767722729,-0.052906161044298,0.0964368059217347,0.153528726153743,0.0901238622103789
"miR200a",-0.123361255924488,-0.0383186997739392,-0.122903752015815,-0.123366023716903,-0.0764227093319846,-0.0236647843057992,0.0109282653282437,0.0166234218695839,0.0639803189520029,0.0588747721603658,0.0381937368000056,0.11943409034645,0.0768281715740379,0.206711878664026,0.0826965173027573
"ZEB2",-0.309109353067993,-0.114004545076016,-0.0552860854196733,-0.0551922101469276,-0.0213725634192955,-0.00155598358913808,0.00198167303790025,0.00623777488163355,0.00951060457114068,0.0551006195122491,0.114259856600868,0.114935976057008,0.207548059555794,0.208119403598847,0.208766366274617
"miR141",-0.14547516849312,-0.0261793778517758,0.085863986554024,0.0861566391813279,0.120408907738219,0.037764790415852,-0.0111477269221793,-0.0583748589485354,-0.133735993146176,0.04126094222405,0.0260118349015388,0.0144865130587977,0.0543111692211556,0.267891013523712,0.118166705822862
