"","miR200a","miR200c","GSC","TWIST1","miR141","miR34a","TWIST2","SNAI2","miR101","FOXC2","ZEB1","SNAI1","ZEB2","TGFbeta","miR200b"
"miR101",0.0860596982063107,0.115095422164105,0.0138044957134343,-0.0426774177018316,-0.0258391073380997,-0.0158010902798309,-0.0410465720645569,-0.0575120202607443,0.0701733736758539,0.0140910121729356,0.0266571053399887,0.0188010901029408,-0.201573933219661,-0.0130444541926475,-0.0838339084777989
"miR200c",0.100605925076451,0.0836904761273238,-0.0495036171064792,-0.042729198968645,0.0159320988522838,0.0942753843448598,0.0235862484033683,-0.0559328656123711,0.00811752834690491,0.0463237134822676,-0.0161088983191084,0.0393973796215112,-0.183538502336028,0.0490843474240969,-0.1254685123595
"miR200b",0.100605925076451,0.0836904761273238,-0.0495036171064792,-0.042729198968645,0.0159320988522838,0.0942753843448598,0.0235862484033683,-0.0559328656123711,0.00811752834690491,0.0463237134822676,-0.0161088983191084,0.0393973796215112,-0.183538502336028,0.0490843474240969,-0.1254685123595
"miR141",0.104143726099433,0.0696101889507794,0.138135701576609,0.174782123036228,0.0333670771545529,0.0162386346403316,0.0189248067810479,0.020550052104996,0.062534467767547,-0.042284712024922,-0.0340733493701927,-0.145778257845031,-0.172114162737088,-0.13901365945852,-0.0763810517042699
"TWIST2",0.0929221192379468,0.0192325846497219,0.0484592537044329,0.178292918124443,0.0730626526174525,0.0156446728352428,0.0743062661881343,0.0439279759446945,0.0119296216312674,-0.0785211720338215,-0.0729307253357702,-0.0319918056298956,-0.109808111930565,-0.0482515652710375,-0.0531598406294296
"miR34a",0.135596181118917,-0.0736012954914939,0.106712746355147,0.0830309493152745,0.106239232205413,-7.44573925356781e-05,0.00379526976798182,-0.0859757537996415,0.0927135368522261,0.0474417643246771,-0.106023608193296,-0.107295309014037,-0.0794168091954829,-0.107176897504604,-0.110938575231697
"FOXC2",-4.43390103554353e-05,0.0292766444737958,-0.00970457410387765,-0.132294718669673,-0.0237865208137852,0.00346826670150167,-0.0129882661991568,0.0691192370654951,-0.0963380993392704,-0.0651819570090952,0.0246504586188066,0.12923715092981,-0.0374562683121656,0.0111270570838965,-0.00369309005482401
"ZEB1",-0.000391024660810641,0.0298664152213982,-0.0111270570838965,-0.132085626131289,-0.0246504586188066,0.00293630021613634,-0.0128245265979419,0.0688729409388655,-0.0962278927908684,-0.0655629240793505,-0.0757224867978246,0.12924655749324,-0.037277683662153,0.0102556001768647,-0.00350395472618984
"TGFbeta",-0.028067443913351,0.0452343680417556,-0.0455601161656293,-0.103875110357475,-0.0763953531572011,0.0582971949773355,-0.0231533054913476,-0.013052794761212,-0.0369577489202868,0.0608455546662642,0.0760668403131961,0.0857298233071961,-0.0191937877651461,-0.0550835568033324,-0.0535568928891927
"SNAI2",0.029204576498846,-0.0145910922720506,0.0217453259767981,0.0771637678733655,0.0423446356558093,0.0333734776251651,0.0917722062807236,-0.0430453361236444,-0.0288505306921721,-0.0239226647185822,-0.041936365762281,0.0052681540082371,-0.0139125561406341,-0.0221208381360358,-0.0131231626951039
"ZEB2",-0.20470762084259,-0.169907456170866,-0.0817794130084219,-0.0598266893877987,-0.0394653701442514,-0.0223025545846935,-0.0205882861629479,-0.0193579257580089,-0.0163847465302067,0.0122569518454319,0.039261817680968,0.052164126050548,0.0753682693555705,0.0815358447331898,0.201768744614282
"SNAI1",-0.0502407539260636,-0.0394885586031602,-0.0257775789066252,0.0119041477534764,-0.0271903383274605,0.0425141515151976,0.0619494302022791,0.068624030496433,-0.088629921446315,-0.0292922044765629,0.0277727617530005,-0.0933227691970728,0.0878457971746731,0.0265733664269957,0.0549115148238691
"GSC",-0.036365537306509,-0.115965881824676,0.0306469134369741,0.112891857787531,0.0825256392637188,0.0103628757047866,-0.0264490083459275,-0.065862700903721,0.098810563801111,-0.155046294176508,-0.0821497566766639,-0.0377699675175984,0.161540876338279,-0.0305743513648537,0.0129948423936402
"TWIST1",-0.117260769554828,-0.0504156905061354,-0.0501636407561389,-0.110010975107651,-0.0728354481396603,0.00187996252789082,-0.0735713258619462,-0.0376956307911347,-0.0260215919084997,-0.105129909289045,0.0727988896188025,0.0229616140707311,0.186292101136325,0.0500660576099513,0.0680749908710261
"miR200a",-0.101081682375467,-0.113627997449702,0.0747077641911152,0.150512798819646,0.012449271064404,0.00599125559810211,0.0111830391285422,0.0145705878777993,0.0565337999534658,-0.0368400658189213,-0.0130213237895224,-0.127311504643525,0.215318541297717,-0.0755164410428896,0.0935370106184434
