"","ZEB2","miR200b","TGFbeta","miR200c","TWIST1","miR101","FOXC2","miR200a","GSC","ZEB1","miR141","miR34a","TWIST2","SNAI2","SNAI1"
"GSC",-0.121185344903917,0.0431563526606946,0.00666654941130867,0.0840074497908808,0.0100106038991379,-0.140132529734377,0.0212107032097056,-0.0840074497908808,-0.00704828900811594,0.0557489717193322,0.0555180373194423,-0.0330966422821499,-0.0482860283913743,-0.0686978268813126,0.115058636974873
"TWIST1",-0.0921172624313147,0.0415920075876911,0.00818794364125714,0.0766094218840294,-0.0255790866286795,-0.0737786929088011,-0.14574275604734,-0.0766094218840294,-0.00828953705372639,0.0665038007855628,0.0663168596966375,-0.00918760850702259,-0.0874048857184898,-0.0769274850062281,0.0355781513733205
"ZEB2",-0.0879430038798602,-0.0225692576405067,-0.00671530784660811,-0.00480587595927669,-0.00312141695861172,-0.00134954692655981,0.00399223915037035,0.00480587595927669,0.00683455481469052,0.00844045099063782,0.0085693509612745,0.00864857716817271,0.0152275866825336,0.0201210244361035,0.0229531783973049
"miR101",-0.0279925940842731,0.0256049455217953,0.00642569838914339,0.00410436767120652,0.00662951012919897,0.0923320554189195,0.0329777308176094,-0.00410436767120652,-0.00602984343040028,-0.0147383483635841,-0.0143683909513083,0.0307090925567432,0.0130784130727893,0.0525050503352347,-0.0328905725344649
"TWIST2",-0.025817917916484,-0.0115249881518152,-0.0139312384238725,0.0477384487260571,0.00806642870127094,0.0578964171312694,0.0728293061780652,-0.0477384487260571,0.0139895270032723,0.072004115918362,0.0720239050106143,0.0877661313608518,-0.0136667373410164,-0.0158148328427935,-0.113500955602867
"SNAI1",-0.0229400104839213,0.0662105244099486,0.0362114173085528,-0.0229200036732571,-0.0117140319885311,-0.11585296023241,-0.0634988889428956,0.0229200036732571,-0.0359723241970514,-0.0894418106336083,-0.0892411775109037,-0.117294980411279,-0.0886427915630544,-0.0760393786569322,-0.0458330830081764
"miR141",-0.0211423329169555,0.0331003518631436,-0.0938758530043134,-0.000474706859105008,-0.0122853175526753,-0.0636990558524649,-0.0254329206337888,0.000474706859105008,0.0942999006887741,-0.0212578835365879,-0.0209792623872988,-0.121590620492438,-0.068869832146126,0.00111197748951838,0.128895974588939
"miR34a",-0.0103254698035177,-0.107786666018214,-0.0685643151942257,0.128836060752497,-0.0141304679268806,0.119863611275092,0.145947116059022,-0.128836060752497,0.0683477113244793,0.141265016194114,0.141283889192986,0.140903946338225,0.256479262260079,0.0996923900162383,-0.146780879076496
"ZEB1",-0.00491838921033278,-0.0229949828775634,-0.0112862280786258,0.0194497587441092,-0.00279156098475127,0.0889633171275545,0.104331654712612,-0.0194497587441092,0.0116151038864191,-0.0717258284083758,0.0283894638575183,0.0299437886310342,0.113234625912728,0.0976712048109371,-0.077979397156767
"SNAI2",0.000747048640820314,-0.0228045547800422,-0.0119680365964214,0.0114690224538205,-0.0347608362195919,0.0531414011214221,0.0650895444312879,-0.0114690224538205,0.0120202148235592,0.0250012183271766,0.0248240445997964,0.0354702176477493,0.0373098954651073,-0.060986670230062,-0.0586555531605226
"FOXC2",0.00493349338471195,0.0228353711124233,0.0116151038864191,-0.0192824930463103,0.00271688507818576,-0.0888673307789463,-0.104172789901939,0.0192824930463103,-0.0108457453874984,-0.0283894638575183,-0.0279783191666243,-0.0294953849035384,-0.113786586826501,-0.0975574882185545,0.0782827588273727
"miR200b",0.00520853895964687,0.0716822455696391,0.122479974798316,-0.0132733224364484,0.0155366990083721,0.00602303820027535,-0.020084763812278,0.0132733224364484,-0.122223157186601,-0.0210214835301057,-0.0208576431865038,-0.0173896084887271,-0.050590146731278,-0.0720183994862043,-0.0844520926327679
"miR200c",0.0211423329169555,-0.0331003518631436,0.0938758530043134,0.000474706859105008,0.0122853175526753,0.0636990558524649,0.0254329206337888,-0.000474706859105008,-0.0942999006887741,0.0212578835365879,0.0209792623872988,0.121590620492438,0.068869832146126,-0.00111197748951838,-0.128895974588939
"miR200a",0.0211423329169555,-0.0331003518631436,0.0938758530043134,0.000474706859105008,0.0122853175526753,0.0636990558524649,0.0254329206337888,-0.000474706859105008,-0.0942999006887741,0.0212578835365879,0.0209792623872988,0.121590620492438,0.068869832146126,-0.00111197748951838,-0.128895974588939
"TGFbeta",0.0814465875403608,0.0395805365054778,0.0768197214821635,-0.0405313717589414,0.0172745761658591,0.0543602362099489,0.00793733462114654,0.0405313717589414,-0.176760032510104,0.00265450736687936,0.0026617239814086,0.107820044050376,-0.000421508936861389,-0.00669522049732173,-0.117920446073634
