"","ZEB2","SNAI2","ZEB1","miR101","miR200c","GSC","TWIST2","SNAI1","TGFbeta","TWIST1","miR200b","miR200a","FOXC2","miR141","miR34a"
"TWIST1",-0.106058511081709,-0.179249702677468,-0.0640548672435908,-0.0740824663973892,0.0236460040375052,0.0155456138609713,0.118114626186847,0.000412834403745341,-0.015950650755421,0.0950964615128167,-0.0643370920413946,-0.0236460040375052,0.194173131938065,0.0645498333167649,0.0496735978027262
"TWIST2",-0.0811070333725157,-0.246518564085025,-0.0822984227771249,-0.154079749579017,-0.00254152638984284,0.0166466501022815,0.177567079547159,0.0200592732231459,-0.0171146564630935,0.1135954776185,-0.07411938693836,0.00254152638984284,0.0467221858135034,0.082870107664415,0.026300491428632
"GSC",-0.0809659752568381,0.119768795269644,0.085333432072906,0.121568858062576,0.0860758602444528,0.0299777237990412,-0.0512313287612859,-0.0233586172875544,-0.027329523653917,-0.108401673045905,-0.0645894238762287,-0.0860758602444528,-0.145267725675689,-0.0886785414228011,-0.0239921646449939
"ZEB2",-0.0731572831608216,-0.0677107703020603,-0.0368238403813881,-0.0325950256566985,-0.0253812783647232,-0.0071347155336654,-0.00023881362605335,0.000557881102927247,0.0121938315837999,0.0153711876275543,0.0245981130152621,0.0253812783647232,0.0257633424181519,0.0303116546061717,0.0679477736881327
"ZEB1",-0.0391046108440049,0.13584472488417,-0.0713098889837792,0.101687478454413,0.0296675090456936,0.0064414911270843,-0.00127314760499402,-0.0642234000994388,-0.00992092039319218,0.0506303383077939,-0.0158462117622437,-0.0296675090456936,0.0671093052857224,-0.0242082494972702,-0.036916209842888
"FOXC2",-0.0367776795087662,0.137246510935294,0.0242082494972702,0.103098833283948,0.0347034219749269,0.0115391830515875,-0.00151347508419645,-0.0602503028708475,-0.0064414911270843,0.0552662185873805,-0.0203836144267453,-0.0347034219749269,0.0701246519349088,-0.0306253104000799,-0.0396640816038985
"miR101",-0.0353639975082656,-0.0255129940309736,0.114179374247603,-0.0611328553476907,0.0759821668768612,0.0426869954549653,0.0494903185507634,0.000657917279786645,-0.0403259405454842,0.0204027110877939,-0.0906951023018123,-0.0759821668768612,-0.0823273186380923,-0.117144830113559,-0.0829155197710803
"miR200c",-0.0352698164029868,-0.0765629760166204,0.0249096288393695,-0.00653833002013606,0.0324043785256967,-0.0682242109724895,0.0614322447495899,-0.0623910723042161,0.07120687876995,0.107039925499912,-0.0961847321035794,-0.0324043785256967,0.106406244749305,-0.0286909158654359,-0.0374706826845031
"TGFbeta",-0.0108949825003644,-0.193740820936768,-0.0912293412104148,-0.0854816173821952,-0.0386063423715021,-0.0121297468427982,0.125993432685113,-0.0223524528365947,-0.0862860755744439,0.0927812176871667,-0.0980754798876748,0.0386063423715021,0.113420210210388,0.0891707234744865,0.103587499287374
"miR141",-0.00788047906960504,-0.10149164754591,-0.00805738086653048,-0.0191214175775964,-0.000846551021415454,-0.0859346054661069,0.0610699850869072,-0.0646209341698175,0.0856706208512736,0.111649394916616,-0.0357882928028432,0.000846551021415454,0.115660434674019,0.00834063027411342,-0.00226732851286522
"miR200a",-0.00346503952632754,-0.175298605943727,-0.0167408128541043,-0.0771679256239372,-0.00835123330498544,-0.0901397721992405,0.0423823859187454,-0.0232922749232601,0.0887219000824661,0.0649724424125391,-0.03900383610548,0.00835123330498544,0.0924456862992335,0.0185217666455735,0.104583551213041
"miR200b",0.0239242978070543,-0.200227277473016,-0.0497078225600043,-0.0897510131813975,-0.0416021628520976,-0.107850166692858,0.0420201262560628,-0.0255221367888614,0.10318564216379,0.0695819118292425,0.0213926031952562,0.0416021628520976,0.101699876223948,0.0555533127851228,0.139786905384679
"SNAI2",0.0506957037681624,0.280989891797295,0.0453620763196415,0.292553878828237,-0.00227714640758666,-0.210011156203297,-0.336632421122626,0.000970076551122778,0.210147161746165,-0.151643454574957,0.246272907460989,0.00227714640758666,-0.0342550389412038,-0.0454870022181534,-0.027648378855386
"SNAI1",0.0857286913678491,-0.0635651807135884,0.0621429024199137,-0.0860039418731998,-0.0157960164849196,0.0116807530341406,0.0655425679129267,-0.0913622872847855,-0.0110895626042092,0.0152259264446834,-0.0109642032622536,0.0157960164849196,-0.078838464778002,-0.0629315235231794,-0.079677746975104
"miR34a",0.0936356989004343,-0.129299003781346,-0.0368266173233239,-0.0887561399463263,-0.0995068250753483,-0.00784841342083279,0.0148669682575657,0.0212671530559218,0.00627272644679492,-0.00860643480646316,-0.00862162777107663,0.0995068250753483,-0.0948294415580802,0.0388262115538482,-0.00165185789673755
