"","ZEB2","TWIST2","miR101","miR200c","miR200a","miR141","TGFbeta","GSC","ZEB1","miR200b","miR34a","SNAI1","FOXC2","TWIST1","SNAI2"
"SNAI1",-0.228429925863816,0.229458973169193,0.441383502405577,0.19464560413569,0.19464560413569,-0.16973782773206,-0.000392634580202338,0.000376377834644196,0.170320560299546,0.0647370559385453,-0.157202949315175,0.415299448563638,0.511287886531956,-0.469958493841283,-0.277434690880317
"TWIST2",-0.197451241971651,0.196275336138273,0.29395274648734,0.177057893335445,0.177057893335445,-0.161019629959441,-0.00145679656050285,0.00144264884705629,0.161490170597441,0.0609078018328317,-0.0533575540330449,0.383243043171241,0.380201032582733,-0.437806060890719,-0.226671425692109
"GSC",-0.18587499282399,0.120750586989043,0.301760624916123,0.088072223762732,0.088072223762732,0.0106925438556047,-0.0173117279862338,0.0172896438773276,-0.0102183913111498,0.0493747161187374,-0.124592718281168,0.403394984616847,0.296758428617903,-0.461104560901447,-0.110000876567118
"miR101",-0.169386916257388,0.185819052439674,0.382245764711756,0.102369731337761,0.102369731337761,-0.0389823815222204,-0.00701236820393294,0.00698597787335006,0.0395712446106999,0.0356541331429669,-0.100514677899144,0.426477753565112,0.418638510996164,-0.397338455413428,-0.244498327159278
"ZEB2",-0.0846274222535324,-0.0232897908473599,-0.0111128720879848,-0.00764097405067386,-0.00764097405067386,-0.00306266009557243,-5.82013299501791e-05,6.32756690175155e-05,0.00301338945042559,0.0033247898795981,0.00718771240475072,0.0129126274066399,0.0141518063971746,0.0148626113206695,0.03553777538223
"miR200b",-0.0159878934005897,0.091113565785923,0.0526871243109455,0.00882618021944938,0.00882618021944938,-0.00328196334893522,-0.0855100306036237,0.0854849460927119,0.00338841328969351,-0.0656372515508034,-0.0125044120894827,-0.036813976322904,-0.0455994890323742,-0.0737745324010023,-0.143939090053747
"miR200a",-0.0159878934005897,0.091113565785923,0.0526871243109455,0.00882618021944938,0.00882618021944938,-0.00328196334893522,-0.0855100306036237,0.0854849460927119,0.00338841328969351,-0.0656372515508034,-0.0125044120894827,-0.036813976322904,-0.0455994890323742,-0.0737745324010023,-0.143939090053747
"miR141",0.00979528767469554,-0.0295333641062531,-0.0508865466183111,-0.0155354011469561,-0.0155354011469561,0.0214072952692773,-0.0875433313031516,0.0875516928067888,-0.0215350351981873,-0.0377577302478227,0.0935407886524735,-0.147483923621623,-0.133014178668482,0.0371736823718509,-0.0449095218503583
"miR200c",0.0159878934005897,-0.091113565785923,-0.0526871243109455,-0.00882618021944938,-0.00882618021944938,0.00328196334893522,0.0855100306036237,-0.0854849460927119,-0.00338841328969351,0.0656372515508034,0.0125044120894827,0.036813976322904,0.0455994890323742,0.0737745324010023,0.143939090053747
"TGFbeta",0.0180366233196236,-0.0817209062149321,-0.00849542979366431,0.0335062553396695,0.0335062553396695,-0.0845239305792569,-0.098053272891025,-0.00195640640174134,0.0844765519360432,0.121080800906549,-0.0551170031832648,0.0824299216639657,0.076701075523311,0.0376594018845297,0.101050118938687
"FOXC2",0.0325904421107752,-0.123637613918343,-0.14357318041025,-0.0257194617362806,-0.0257194617362806,0.0185336982872742,-0.0020694681582707,0.00210821283087822,-0.0188038790841474,-0.00494606206738049,0.0106257786099858,-0.151598801792149,-0.15402214521607,0.135070275973104,0.137909799729805
"ZEB1",0.0328815676679268,-0.124231830213074,-0.144655100611229,-0.0260696200309808,-0.0260696200309808,0.0188038790841474,-0.00206306979625138,0.0020694681582707,-0.118952756488367,-0.00506138848727937,0.0108533379059696,-0.152437161757815,-0.155325453614311,0.136157557172698,0.138404008806653
"TWIST1",0.101577386269937,0.0955596836405515,-0.0453694017333934,-0.115861345945908,-0.115861345945908,0.12477513763091,0.0250556011034667,-0.0250582746143211,-0.124844884028859,-0.110213131361711,0.0135198060867792,-0.225420663448638,-0.318607363631531,0.121525386221484,-0.100988363468605
"SNAI2",0.188814996476442,-0.406302810450298,-0.497840453216535,-0.141573671491353,-0.141573671491353,0.09751554752231,-0.195059476172755,0.195082571453619,-0.0982440028286464,0.147804538830888,0.0682602789139663,-0.373749787341494,-0.365304925198478,0.409979605098952,0.335955360411092
"miR34a",0.196044202765391,-0.357966836632602,-0.372600445085088,-0.225888523380185,-0.225888523380185,0.176104801520401,-0.0226433540366311,0.0226645897101357,-0.17677243385551,-0.0246987284317074,0.0630654106570288,-0.434075484343423,-0.429454579333453,0.389383063893985,0.322810703898543
