"","ZEB2","SNAI2","miR141","ZEB1","TWIST2","miR200c","miR200a","TGFbeta","GSC","SNAI1","miR200b","miR101","FOXC2","TWIST1","miR34a"
"GSC",-0.0882601354875123,0.00409774432458583,0.206929636293581,0.206826452838311,0.03828241066345,0.155898468825828,0.0657679749027433,-0.012650774760162,-0.012682954461711,-0.084583089571143,-0.0532211147069151,-0.094590025099414,0.216724730359531,0.178695910979434,-0.0800840468575496
"ZEB2",-0.0857890406923694,-0.0324719219224902,-0.0317097882547544,-0.0316326473456861,-0.0304854053990363,-0.0211582714676573,-0.00577319362974822,0.000116633104244821,0.000159764986317181,0.00130140929085206,0.0130595104094391,0.0168382654769151,0.0176551675867371,0.0226305001137681,0.0281315257123102
"miR34a",-0.0721854837361702,-0.114144182296467,-0.110652282104968,-0.11073626694995,-0.261886120410924,-0.0795061924699976,-0.135371285391586,-0.0254054791030661,-0.0255140844047037,-0.159218684679488,0.117362365779215,-0.0232727482137333,0.215095380668483,0.188019011464767,0.124082060914916
"ZEB1",-0.0349161797130074,0.123196626933134,0.258039664333657,0.157892290741601,0.245667021131523,0.247483356388913,0.220354727349864,0.000256441047660079,0.000198855789486171,0.143124760936429,-0.228164522093445,0.00860339540905422,-0.154645208872813,-0.152996461200366,-0.272076231125694
"FOXC2",-0.0348933753712976,0.122964343277604,0.258185967769118,0.258039664333657,0.24607372917325,0.247637889057813,0.22035877876815,0.000198855789486171,0.000209925695945462,0.143008354713987,-0.228278925901985,0.00846000839446666,-0.154776310901038,-0.153083085251982,-0.272267977811162
"miR200c",-0.0165273861717984,0.139663585737685,0.209820794225681,0.209807835102459,0.138151277291116,0.113174185320154,0.0971708296594831,-0.0900027275279579,-0.0899370299993795,0.0170691475252955,-0.102077636657104,-0.0620211396343517,-0.0940445900783562,-0.12037737034046,-0.133273091708116
"miR200a",-0.0165273861717984,0.139663585737685,0.209820794225681,0.209807835102459,0.138151277291116,0.113174185320154,0.0971708296594831,-0.0900027275279579,-0.0899370299993795,0.0170691475252955,-0.102077636657104,-0.0620211396343517,-0.0940445900783562,-0.12037737034046,-0.133273091708116
"miR200b",-0.00894818592998943,0.129648830867402,0.192473756952172,0.192450615660703,0.12678796265811,0.100598128585003,0.0915911585416865,-0.0863487307135937,-0.0863093121964466,0.0161426348932719,-0.127655707839617,-0.0571622037339326,-0.0864905497085727,-0.111270463005835,-0.120361487983157
"TGFbeta",-0.00634470744264676,-0.0790075523901103,0.125240111500378,0.125230384759056,-0.0440711576513473,0.0669084431942087,0.0611951387744884,-0.0988655296245401,0.00116512146921995,0.00522934102980367,0.0525078099934787,0.0422701151316161,0.0652875585508319,0.0782397875968865,-0.118685091363692
"SNAI2",-0.00418773250346805,-0.0365253444876619,-0.0343561677734119,-0.0344837730477632,0.0832071020024238,-0.01575874150665,-0.0195312519179757,0.00290086901339431,0.0027682849936179,0.0771469236903359,0.0051613662277979,0.010198893062911,-0.0872668200497102,-0.123449532546442,-0.00704610817143666
"TWIST1",-0.00252858766872451,-0.0415140404582305,0.17212484661805,0.171924422954057,-0.0510345361656229,0.0826565667795786,0.100289515827392,-0.00177828787836891,-0.00192666773079112,-0.0163188054163691,-0.0592522548257373,-0.0225869029832055,0.215546162438308,0.0916194303858384,-0.0749524386420446
"miR141",0.0165273861717984,-0.139663585737685,-0.209820794225681,-0.209807835102459,-0.138151277291116,-0.113174185320154,-0.0971708296594831,0.0900027275279579,0.0899370299993795,-0.0170691475252955,0.102077636657104,0.0620211396343517,0.0940445900783562,0.12037737034046,0.133273091708116
"miR101",0.0252132760806938,0.00726055978063318,-0.211312720972804,-0.21137034567573,-0.116844640472925,-0.117527214088731,-0.0950282382282947,0.00659025638398616,0.00646886086330494,-0.067366519736002,0.068598469064183,-0.0876703545396636,0.15826775028378,0.0752117408149862,0.158040421869449
"SNAI1",0.0624000490716028,-0.0354371710159007,0.0617942463170436,0.0616916111910991,0.0440291973432236,-0.00810950150599381,0.0628366620185543,0.00393592603365916,0.00383323098245041,-0.062726107524621,-0.0278494326620951,0.0891847792603554,-0.125311643178694,-0.0412368859998825,-0.0931294325149758
"TWIST2",0.0804468447927326,0.0801049307461758,-0.182318120209972,-0.182216536203077,0.0695530521603361,-0.133140537305414,-0.0540215413182633,0.0188983623810056,0.0189589145945569,0.112092812998215,0.0146957532858198,0.0184421129541335,-0.148030537290746,-0.22672653912655,0.0520423461408185
