"","ZEB2","miR141","miR34a","TWIST1","miR200c","miR200a","GSC","miR200b","miR101","FOXC2","TGFbeta","SNAI1","SNAI2","TWIST2","ZEB1"
"GSC",-0.140872222595247,0.137621762087776,0.1445045878273,-0.245087487501624,0.0036906059817697,0.0036906059817697,0.0305503961744118,0.0328399141304739,0.0622010446090837,0.0893928649573742,-0.0304134746991933,0.167854618229782,0.136472954615117,0.00135402545369613,-0.137526931578885
"miR101",-0.112905868270083,0.133791283190721,0.114526046316941,-0.0752970605024541,0.0128948641709178,0.0128948641709178,0.0319909956865061,0.0391399566491087,0.0259336990568434,0.175545355939503,-0.0316795897856281,0.0939886292263856,0.142417674285703,-0.0169391303814395,-0.133536575184297
"miR34a",-0.107598126897929,0.099320977601685,0.116621356171214,-0.112243842768543,0.0547601244530262,0.0547601244530262,0.0495126429594341,0.0757195345947045,0.00835831931328259,0.18077140373907,-0.049592125051694,0.145042781574206,0.128902861391254,-0.0274050588879056,-0.099596995210193
"SNAI1",-0.103470575151829,-0.0244765079181777,0.072630508099515,-0.0294776851470592,-0.05667610957643,-0.05667610957643,-0.00220414899617595,0.000995937911859282,0.0205295372832944,0.14529439161322,0.00163119784174876,-0.0476274500581137,0.115402825291437,0.00965746201093795,0.0241324329327073
"ZEB2",-0.0899129232460325,-0.0269190393990566,-0.0217932059719208,-0.0103361784053899,-0.00536272554778656,-0.00536272554778656,-0.00337750842663388,-0.00279974536446062,-0.00122717674410149,0.00143489311518086,0.00353481293772131,0.0162220696222805,0.0184496450628221,0.0199482559977583,0.0268299540911648
"miR200b",-0.0357745242109316,0.224251598153592,0.236318456676466,-0.149859510022038,0.0962729363404145,0.0962729363404145,0.170919092624322,0.11016489625388,-0.00404844035381016,0.0848553714303111,-0.171116185210057,0.168876226524144,0.174627486325019,-0.0115342442168558,-0.224303434646483
"FOXC2",-0.0313803185969437,0.189580212701882,0.227964836837543,-0.148893449299914,0.179984583778808,0.179984583778808,0.0995929433664069,0.205490714600588,0.00158090839163755,0.142625557038708,-0.099919505606956,0.160964076742672,0.151430662094367,-0.083562041831425,-0.18951079866316
"miR200c",-0.0110004454367006,-0.16786029199019,-0.0898828167085661,-0.0270920855065081,-0.0881534762405522,-0.0881534762405522,0.0633832079484059,-0.0623906228788257,-0.00499712642914229,0.00740141279757029,-0.0632983984115137,0.0528033296964657,0.0638647100242922,0.0742520080000678,0.167748288139479
"miR141",-0.00602742299424422,-0.183292140507683,-0.100006800523803,-0.0312400509105245,-0.0939145562920514,-0.0939145562920514,0.0638011034965863,-0.032880924511089,-0.00543111385732033,0.00786623284382904,-0.0637043489544981,0.0573320850029944,0.0694483061170761,0.0816570908062258,0.183173657095361
"ZEB1",0.0314813092530868,-0.18951079866316,-0.228113309951972,0.149455012117287,-0.179858989811949,-0.179858989811949,-0.099919505606956,-0.20546488148253,-0.0017029651065344,-0.143040456398622,0.0998555219867627,-0.160979362408245,-0.151592883394401,0.0833164324296028,0.089537867282109
"miR200a",0.0357745242109316,-0.224251598153592,-0.236318456676466,0.149859510022038,-0.0962729363404145,-0.0962729363404145,-0.170919092624322,-0.11016489625388,0.00404844035381016,-0.0848553714303111,0.171116185210057,-0.168876226524144,-0.174627486325019,0.0115342442168558,0.224303434646483
"SNAI2",0.0408086938738051,0.0288639593627213,-0.0054041672395048,0.111861118154616,0.0344711020950189,0.0344711020950189,0.0156635406282589,0.0342971518647277,-0.0588580224877637,-0.0953651048397748,-0.0150536541372875,-0.0658678212980334,-0.0462253693339384,0.0788044198404506,-0.0280537830932833
"TGFbeta",0.102545653156574,-0.0528444963919736,-0.145283447745021,0.0953894861968213,0.0214803570019692,0.0214803570019692,-0.20698939707767,-0.101808889362946,0.0117327407720339,-0.0677922555326779,0.107058765342496,-0.13150143947833,-0.154449411669469,-0.0832961932586966,0.0530757418227584
"TWIST1",0.103195711842142,-0.168806528546167,-0.14057112015868,0.0565650914271114,-0.0382761327495663,-0.0382761327495663,-0.0479771163936633,-0.0725210529755301,0.0343123221835127,-0.224076618291188,0.048051974697588,-0.0540415749712347,-0.154978540861202,-0.0665982999827983,0.168804713584139
"TWIST2",0.13705878430255,0.0951764898256255,-0.0131446921347751,0.226799997668308,0.114005749799511,0.114005749799511,0.0404282756376478,0.0768752006504674,-0.063699854840401,-0.168342857028555,-0.0408283729739164,-0.125718327068461,0.0209865883182549,0.061026210535779,-0.0954245131151883
