"","ZEB2","SNAI1","miR141","SNAI2","TWIST2","miR200a","TWIST1","miR101","GSC","FOXC2","miR200b","TGFbeta","miR200c","miR34a","ZEB1"
"TWIST1",-0.0951328926249835,-0.186125784279943,-0.0382374383456934,0.00483017172801526,-0.0225827376252299,0.0339509695621102,-0.166657811855254,-0.0961182782707753,0.0100035412835773,-0.175685748630668,0.0342434722964708,-0.0100636952778025,0.0618730324221144,-0.0673487501669649,0.038420749510562
"ZEB2",-0.091491771580683,-0.0298101283893994,-0.0250470467473381,-0.0189241465119348,-0.0182749044194063,-0.0148693455779847,-0.0090308143987751,-0.00545599958889372,-0.00284367764492621,-0.00113060192836212,0.00239892343650695,0.00285636349259455,0.00519449569732855,0.0171334153468027,0.02491914214327
"TGFbeta",-0.0792643615597534,-0.0895832562566399,-0.0118925061716553,-0.017658074443665,-0.0182283063071952,0.0342875647547456,-0.00217328315708814,-0.0357224311484987,-0.178993185097023,0.00773665641592471,-0.0397582411845266,0.0789657604341848,0.0476931062708779,-0.0870195942078782,0.0119743990582697
"miR34a",-0.066390359720893,-0.0399956087958922,0.18436362788124,-0.0563184188793629,-0.124932417880863,0.176831949448716,-0.0680268262379532,0.0027583397306399,-0.00858635807221487,-0.0140310772035489,-0.10169900798915,0.00854934732696408,-0.126245337194964,-0.128891008183299,-0.183875289035418
"SNAI2",-0.043320656061365,-0.121010800017825,-0.0124588798461817,0.0165363767364284,0.126597923574723,0.0158392019749962,0.00549507126961308,-0.11834721590766,0.0147233465530801,-0.0953137117054068,0.0470787509695107,-0.0147755247802179,0.0275443388358536,-0.0395914972020152,0.012341992075188
"FOXC2",-0.0130941378070612,-0.0877063251622155,-0.118938613984338,-0.088004698212633,-0.162260570945764,-0.147365212273805,-0.0970360162058592,-7.50579679311167e-05,-0.00062646410930416,-0.0755920804529091,0.158685769884967,0.000654138875452386,0.158450954996092,0.128554504879786,0.118273307120892
"ZEB1",-0.0129925548303542,-0.0873194802411718,-0.118273307120892,-0.0878349317358532,-0.161547511392087,-0.147013896431023,-0.0967402996158598,-3.8322451797115e-05,-0.000654138875452386,-0.0750599604559939,0.158450503988373,0.000633664116990552,0.158081118384003,0.128209062407522,0.0184096527570793
"miR141",-0.0103097349199356,-0.0623292599173648,0.165307044800953,-0.00979977176892956,0.0803534795749689,0.0864708136396392,0.0315900825770731,-0.0260117730048543,-0.106097078210252,0.01251756092951,-0.0698883193156972,0.106079160702457,-0.0762865052019219,-0.166079390717816,-0.164878468082943
"TWIST2",-0.00753846563389982,-0.261743964173911,-0.106728044271561,0.138818411213526,0.147667599155039,-0.0486617307923228,-0.0632386978451024,-0.187126630693508,0.013666838838902,-0.162807492176475,0.0716280311201,-0.0137104137963174,0.0554579990422293,-0.0561382986899145,0.106606231414808
"miR200c",-0.00600752166847786,-0.0718857465455053,0.150809873320705,-0.0155402511367646,0.0736220404434058,0.0769655828434844,0.0282670981048925,-0.0277662059282789,-0.11076574833409,0.0122507491284212,-0.0996346443749368,0.110754997829414,-0.0707149529707803,-0.157950688900458,-0.150459976993691
"miR200a",0.0103097349199356,0.0623292599173648,-0.165307044800953,0.00979977176892956,-0.0803534795749689,-0.0864708136396392,-0.0315900825770731,0.0260117730048543,0.106097078210252,-0.01251756092951,0.0698883193156972,-0.106079160702457,0.0762865052019219,0.166079390717816,0.164878468082943
"miR200b",0.0149041624898373,0.12599246013941,0.174084747127851,0.0717379055393779,0.0734346017075118,0.0789282611185677,0.0482357648341233,0.0273516158146819,0.111720607642638,0.00604118349018923,-0.030973202286309,-0.111733747148354,-0.0933255922571365,-0.0770379516090903,-0.173857962471453
"GSC",0.0677297304508476,-0.0854531131795866,0.166518434233245,0.125112091238349,0.13337340600636,0.052340291590648,-0.14185247641901,-0.15692314046497,-0.00181881003796293,-0.0651713406908936,-0.0917201935728066,0.00175886745664609,-0.124605337823245,-0.14007980516681,-0.166058039482827
"SNAI1",0.102061981865722,0.133555198394505,-0.111640352890602,-0.185581115309386,-0.193607560438934,-0.108870354550604,0.159496294074832,0.259752635372195,-0.0327017924426457,0.118276900023456,-0.0511712880684485,0.0327386674996435,0.00690944116891314,0.214616477275637,0.111485163633903
"miR101",0.105245482670932,0.229606045364186,0.066181189009562,-0.14554873409157,-0.0872677401317848,-0.0212339802936108,0.196007418735722,0.238001099526179,-0.0242608768881876,0.110639782129495,-0.114610601140331,0.0243294917477031,-0.0835567677905062,0.066512826151206,-0.0662326761701644
