"","miR200b","miR200c","miR141","GSC","TGFbeta","SNAI2","TWIST2","FOXC2","miR101","SNAI1","TWIST1","miR34a","ZEB1","ZEB2","miR200a"
"miR200b",0.309446446796827,0.0627838558533794,0.234385146247687,-0.19977751261742,-0.200055831238488,-0.270256240382419,0.252244204890451,-0.0558966237177861,0.076931649376239,0.118082149678588,0.197303840506279,-0.22793984444246,-0.234455495773753,-0.375466424164926,-0.0627838558533794
"SNAI1",0.224401310088043,0.0499290438368709,0.146037324042866,-0.0729729851110534,-0.0730027230602451,-0.28311211894333,0.26719485779625,-0.274641124000595,-0.0211114530679259,0.130520317203769,0.3173673391419,-0.246497648463179,-0.146167781943916,-0.274574603527219,-0.0499290438368709
"miR141",0.0392513591787663,0.20244956501072,-0.188060725939725,0.0188691214162856,0.0193505051256875,-0.0798851009519531,-0.0179118691313032,0.0100197080277373,0.0299142401845366,0.0159615158499307,0.0224643085870648,0.115500258655859,0.188132001117451,-0.218153696456003,-0.20244956501072
"miR101",0.071781365113421,0.00503130500134727,0.0967637795649839,-0.0301764977155258,-0.0303049306576958,0.16297413413187,-0.0844390969816366,0.228384692739624,0.0668614424166695,-0.195484344518576,-0.215177707823752,0.0328272113833026,-0.0967893526579984,-0.107658586354187,-0.00503130500134727
"TWIST2",-0.0103662535782745,0.0299763963268031,0.0455633050673019,0.0120186999772501,0.011981915922289,0.190106457371898,-0.18130042929209,0.123602538331045,-0.0153798634418133,-0.188535190213805,-0.117527792563115,0.0716639784750655,-0.0455061365785729,-0.100280002004764,-0.0299763963268031
"TWIST1",-0.0136834028125689,0.0959643491633239,-0.119927905112212,0.0658416739409579,0.066183883330328,0.0388661679702907,-0.0576826570044891,0.181379672427145,0.104892011203913,-0.287687729628589,-0.209947489723442,0.164397086706265,0.119885642424979,-0.0642284959402967,-0.0959643491633239
"GSC",0.113358819147145,-0.138697377664372,0.220932014832555,-0.145715835445362,-0.146216198255722,-0.184880451928508,0.216711415332581,-0.30869457493481,-0.0983129246035354,0.299545648331958,0.243876121046465,-0.240370497325459,-0.221074506270785,0.0341517517605804,0.138697377664372
"miR200a",0.0998596982118432,-0.152872210586167,0.197157614538208,-0.242734610432838,-0.243005762050789,-0.282281166006426,0.24876773863019,-0.0533752355466262,0.0816243074546268,0.121624827448256,0.205649826175359,-0.202622835300097,-0.197023395047687,0.100964093564242,0.152872210586167
"miR34a",-0.0770871940813992,-0.130911950732048,0.0452697182885437,-0.0390139406338671,-0.0391528826119398,0.132439413048486,-0.225319277772297,0.109276360295133,-0.0488441652051785,-0.0372441731180102,-0.099130820818246,0.0143188656702503,-0.0452470706898969,0.151502238210874,0.130911950732048
"FOXC2",-0.321083242906297,0.130188600991325,-0.22626776123736,0.20565671535899,0.206536772922504,0.244232374208631,-0.302750318666779,0.129383145055539,-0.0539541182462855,-0.148384010503907,-0.208202439502593,0.250043795618123,0.226431151205429,0.194085891922815,-0.130188600991325
"ZEB1",-0.321344341920948,0.12984886062936,-0.226431151205429,0.206536772922504,0.206613553266736,0.244208121854805,-0.302327764857192,0.128891126855492,-0.0535263272358218,-0.148795547653953,-0.208139711741078,0.250183315579923,0.126459222365821,0.194417295278311,-0.12984886062936
"SNAI2",-0.317467443287235,-0.0287544253557089,-0.137431242632256,0.243574102281416,0.243621148223917,0.0683022596793654,-0.186449103059936,-0.122687596220685,-0.270857649619393,0.180905985506741,-0.0300043959117019,0.012374760996665,0.137509949297539,0.198799048757029,0.0287544253557089
"TGFbeta",-0.219369990267966,-0.0909222567105243,-0.0143840259624564,0.199140290620585,0.0990128465991613,0.230739339989981,-0.215091109555116,-0.00290831646723337,-0.10390632594391,-0.0183313250663604,-0.115555105682572,0.0844913986778547,0.0142946026954636,0.210672835535727,0.0909222567105243
"miR200c",-0.0392513591787663,-0.20244956501072,0.188060725939725,-0.0188691214162856,-0.0193505051256875,0.0798851009519531,0.0179118691313032,-0.0100197080277373,-0.0299142401845366,-0.0159615158499307,-0.0224643085870648,-0.115500258655859,-0.188132001117451,0.218153696456003,0.20244956501072
"ZEB2",-0.285953072128509,-0.228285974124144,-0.08190262714757,-0.0457075765430108,-0.0455198259975194,-0.0399258398727749,-0.00785734747953557,0.00536791812858835,0.0115316266550295,0.016502261557707,0.0221740675044783,0.0608480203580658,0.0821579386724219,0.223749343389709,0.228285974124144
