"","ZEB2","TWIST2","TWIST1","GSC","miR101","TGFbeta","FOXC2","ZEB1","miR141","miR200b","miR200c","miR200a","SNAI2","miR34a","SNAI1"
"miR101",-0.106621456991775,-0.0145131139392499,-0.250606005101852,0.0221419479565198,0.229738836543205,-0.0229969946674049,-0.295001708898103,-0.0175524195094646,-0.0172056483681886,-0.0537429469264915,-0.0626131393591592,-0.0626131393591592,-0.0883716060642219,0.104429072170068,0.270459987201259
"SNAI1",-0.105392454437694,-0.0774406591484605,-0.296638805032415,-0.0264551230539134,0.228222273068463,0.0269083293995952,-0.32481120969149,0.0711180212112199,0.071083397313311,-0.0746848579951673,-0.0199436067259509,-0.0199436067259509,-0.0477221569205135,0.22158619614503,0.212624426336775
"ZEB2",-0.0901826317872451,-0.0233342844578973,-0.00539767430208063,-0.00195597314293604,-0.000141611537717015,0.00150181979640943,0.00170975558231534,0.00389109283109282,0.00415635802163086,0.00620751915976737,0.00647507961120405,0.00647507961120405,0.0234888886055718,0.0235499974477099,0.0235536496690357
"TGFbeta",-0.0797069431630451,-0.0928692930958738,-0.0409667219478349,0.00144251417037661,0.0359720543315732,-0.101773223339893,-0.0178763308200688,-0.000656628208605214,-0.000756719514467302,0.050085658443378,-0.0416501951796941,-0.0416501951796941,0.0368138679837376,0.100967081233463,0.107435388623631
"TWIST2",-0.0608886753245305,0.170268493319262,0.3589686327031,0.0401114681916889,-0.070571141430517,-0.0403599020398104,0.282703604889955,-0.0847992132728843,-0.084508093737972,-0.0209071731070779,-0.0739478128145344,-0.0739478128145344,-0.112137007657238,-0.155056203541731,-0.27282511100249
"miR200a",-0.0179848907959954,0.0209772447995799,-0.0154907027881774,-0.0763976660795303,0.0528630471985511,0.075835056334795,-0.0216271783030051,-0.00714300234087606,-0.00691066377452535,0.017210002521751,-0.0120355476074848,-0.0120355476074848,0.00407021633482998,-0.00835363395115106,0.110614760894414
"miR141",-0.0119126418511819,-0.0908921827185056,-0.0270544203979795,-0.0904048403665778,0.000290298622330938,0.0912326292266659,0.00848612119747058,0.00131620313688311,0.00124585361081676,-0.00365190439044274,-0.00489064177461236,-0.00489064177461236,0.0855705875118819,0.0995150559266197,0.0869021082067063
"FOXC2",-0.0103931499989456,0.11195084680468,0.0131765031224285,0.000103959847196681,0.0832992115837008,-0.00171463123702344,-0.0886985108979159,-0.0101910378476286,-0.00984183183744073,-0.0155997774193049,-0.00977401125262572,-0.00977401125262572,-0.118206478295455,-0.013620981787629,0.0427159919519455
"miR200c",-0.00714108584022599,-0.0998896825892681,-0.0293268952000457,-0.0979858190329807,0.000312417582941152,0.0990501189959512,0.00907696746421848,0.00881329487210384,0.00847913462328868,0.0295334100965794,0.000873138148556156,0.000873138148556156,0.0932722304211619,0.110177868706861,0.0946226033145705
"TWIST1",-0.00304073279244019,0.119465867817462,0.236883059118281,0.00573064593471254,-0.107519107314531,-0.00491121485782237,0.376344894429471,0.00573244985736664,0.00568189020086117,-0.00963063148092157,-0.0181839475874951,-0.0181839475874951,-0.0425658791624957,-0.112102379659765,-0.257472938947644
"ZEB1",0.0105729192900859,-0.111765979512986,-0.0130122161279844,-0.00171463123702344,-0.0837507029271542,0.00109910881076456,0.0888234434189308,-0.0899578395565911,0.0101910378476286,0.0154659987722222,0.00994359204658795,0.00994359204658795,0.118609067368961,0.0136336654205199,-0.0421668838117407
"miR200b",0.0132133347850395,-0.0119797449288174,0.0177631775902436,0.0839786447459332,-0.0528851661591614,-0.0836525461040803,0.0210363320362572,-0.00035408939434467,-0.000322617237946566,-0.0503953170087732,0.0062717676843163,0.0062717676843163,-0.01177185924411,-0.00230917882909017,-0.118335256002278
"SNAI2",0.0256076934855418,-0.108102481982108,-0.0986372872280632,-0.0195225934401417,-0.0401518867122056,0.0195816147134615,-0.0386475645845803,0.040436744501723,0.0409876911586993,0.0109957848435894,0.0339571142800302,0.0339571142800302,-0.0125820967035007,0.029722198856776,0.0066759602294261
"GSC",0.0534822619686642,-0.0980508528709527,-0.375242587801371,-0.0675129639222257,0.171556279636084,0.0678909176717919,-0.390657046133132,0.106530346566464,0.106395716724826,-0.0116369150006741,0.0837485978911035,0.0837485978911035,0.037013417351649,0.161923718404201,0.287448512468697
"miR34a",0.097990283488588,-0.179491535651986,-0.0293553263349595,0.064041840620624,-0.112544911475143,-0.0644052740043162,0.0882701562340486,-0.0485410811059951,-0.0485887354281477,0.112145065715109,-0.0306522173893325,-0.0306522173893325,0.115785356569175,-0.0692464889933722,-0.10417299693731
