"","ZEB2","ZEB1","SNAI2","miR101","miR200a","TWIST2","TGFbeta","GSC","FOXC2","miR200c","miR200b","SNAI1","TWIST1","miR34a","miR141"
"ZEB2",-0.0876949251711084,-0.0367856472789175,-0.036686169063942,-0.0299076196759448,-0.00934848051543709,-0.00483326354219754,0.000437022371119486,0.000576566695471239,0.00690440231414931,0.00934848051543709,0.0142874397586962,0.022227672511705,0.0236727082114141,0.026402153277594,0.0366836222056337
"GSC",-0.0582166770525275,-0.0365303269570333,-0.0232878554695603,0.116253352430722,-0.0460052343289739,0.0240824811464303,0.0111012388631639,0.0109655793370258,-0.089454436851864,0.0460052343289739,-0.0183492332425161,-0.161298317451296,-0.25205771349568,0.071563624853324,0.0366325277127293
"TGFbeta",-0.0518367628814563,0.00304284896769568,0.0702260906730193,0.12019550119281,-0.0273483053910904,0.127426006763027,-0.0905745902368413,0.0090463041298103,-0.131361362885837,0.0273483053910904,0.0747073122048925,-0.169191521859729,-0.190565029693768,0.124778583297789,-0.00272688675765454
"TWIST1",-0.021043454291747,-0.123085319506508,-0.102472707827818,-0.0947209345232802,-0.0835741992476685,-0.0939249045009349,0.0172262508087054,0.0176219304151646,0.254214225552931,0.0835741992476685,-0.00375102809196712,0.0503616794761795,0.12953767693465,0.0295210856735538,0.122779109484288
"miR200b",-0.00223622760207036,-0.216317398978031,-0.14907429244177,-0.115248087321703,-0.109154338603591,-0.023689285691959,-0.0830073338494835,-0.0832139824393756,0.0326098325360259,0.109154338603591,0.0335747716253295,0.0825034838196049,0.0896543791621229,0.112941252084694,0.216484016276609
"ZEB1",-0.00129735293558813,0.152668736165769,0.177484469369923,0.0278586640040632,0.230445245798236,-0.0854034776079421,-0.00869930585260434,-0.0087837642312594,0.133613709304427,-0.230445245798236,-0.199517798709519,0.127973048221256,0.112675523847579,-0.263875947567481,-0.252641166276098
"FOXC2",-0.00116733857181446,0.252641166276098,0.177695195377609,0.0276868365898881,0.230437721735705,-0.085313684923405,-0.0087837642312594,-0.00870073993281472,0.133831184433601,-0.230437721735705,-0.199643273854369,0.127727301751656,0.113022020054043,-0.264155733587133,-0.252815235327048
"miR141",0.00336508971382233,-0.235611992986348,0.0160758529652674,0.0922274424358298,-0.117791775854566,0.110736973791486,0.0905275128549836,0.0906624914136993,-0.102195692927895,0.117791775854566,0.133492450518492,-0.172212960008356,-0.181142023220601,0.247167605320992,0.235596256908149
"miR34a",0.00395932781488413,0.190577191860556,-0.171941403264431,-0.0520851266570709,0.153664648075181,-0.0684139179536213,0.0319683047370696,0.0318584859683746,-0.122235179440389,-0.153664648075181,-0.167265133597476,-0.0839753385825011,-0.0367077322655754,-0.0633064561179506,-0.190551713312078
"miR200c",0.00443146637559893,-0.236019383802996,-0.161150481310674,-0.124895316629191,-0.116377551820105,-0.0254639148947592,-0.0863596516903815,-0.0866785833291167,0.0354708999717109,0.116377551820105,0.0754958899989225,0.0901143989344284,0.0989964148234585,0.125322146033537,0.236277640615792
"miR200a",0.00443146637559893,-0.236019383802996,-0.161150481310674,-0.124895316629191,-0.116377551820105,-0.0254639148947592,-0.0863596516903815,-0.0866785833291167,0.0354708999717109,0.116377551820105,0.0754958899989225,0.0901143989344284,0.0989964148234585,0.125322146033537,0.236277640615792
"miR101",0.0178558661642981,-0.109147052435788,-0.151758212519925,0.0132165980503293,-0.0470095144091331,0.00282529544667278,0.00710441300929158,0.0066381838356608,-0.16571785872741,0.0470095144091331,0.0423917056410488,-0.0753200865651955,-0.0548870224900645,0.0914236795894934,0.109521101542946
"SNAI1",0.0290436810317313,-0.128137877146793,0.103102164147645,-0.0200208165014646,-0.042884000423386,0.0323829750786349,-0.0184214636305419,-0.0189246297308659,0.132961104516092,0.042884000423386,0.0952353522693302,-0.0588649063549201,0.0167412081341222,-0.00246345109500063,0.128539452534148
"SNAI2",0.0303971794072544,-0.142190633011624,0.00908016462074448,0.216479384680663,-0.0566901978914658,0.202135626154154,-0.196508162005777,-0.196266089247088,-0.166079263005553,0.0566901978914658,0.243116548235345,-0.132308218686973,-0.207902678701328,0.134797049636184,0.14207642461647
"TWIST2",0.0702505383320589,-0.0529556898750036,-0.148862395754295,-0.020550371124382,0.00917181950259537,-0.0990616747823166,0.00901941730812411,0.0089181196798468,-0.138880907037871,-0.00917181950259537,-0.0076893405497564,-0.115586384323815,-0.180433691590853,0.0743571527279294,0.0530234125462672
