"","ZEB2","TWIST1","miR34a","miR101","miR200c","GSC","TGFbeta","ZEB1","miR141","miR200b","miR200a","FOXC2","SNAI1","TWIST2","SNAI2"
"TGFbeta",-0.0896664148639315,0.0588320562909641,0.0695264101656981,0.0586046140724736,0.0895270751606849,0.03862175524894,-0.0610233373496274,0.0894273991221479,0.0893317005381732,-0.0879818455858695,-0.0895270751606849,-0.065590107896127,-0.140249559304412,-0.228885351125032,-0.255911121000795
"ZEB2",-0.0773970131011605,-0.0514148972549677,-0.038180905677764,-0.0271143797671064,-0.0142065343695441,-0.00307373565447157,-0.00291389397385047,-0.00288930761500788,-0.00263897292299918,0.0135944437727823,0.0142065343695441,0.0225458625296146,0.0794617386494232,0.0877820672380129,0.133679382037247
"GSC",-0.0663140813494872,0.191007899556669,0.0125364143747716,-0.0274060807594391,0.0822070383023559,0.0471060346233868,0.0473476978722747,0.093835638282745,0.093906392652073,0.0515743488986018,-0.0822070383023559,-0.040669102312607,-0.125868195885239,-0.0911703815078644,-0.165147622170103
"miR34a",-0.0246106202294344,-0.0704841476905075,0.00394982362808824,0.034818783545112,-0.0618795856257566,-0.0312497232380366,-0.0316337855617047,-0.053342100189936,-0.0533307763906126,-0.054581882265621,0.0618795856257566,0.1057292573202,0.022536411211443,-0.161108338230829,-0.0373848222374621
"miR200c",-0.0173689314571354,0.0272183784972882,0.0903348422306991,0.0521170689778997,0.0106954800837239,0.085109408672276,0.0849338170958937,0.00389537573463004,0.00393147614932198,-0.0630814971347345,-0.0106954800837239,-0.0195897408332546,-0.0717982437802128,-0.142489329734464,-0.176773144559272
"miR200b",-0.0173689314571354,0.0272183784972882,0.0903348422306991,0.0521170689778997,0.0106954800837239,0.085109408672276,0.0849338170958937,0.00389537573463004,0.00393147614932198,-0.0630814971347345,-0.0106954800837239,-0.0195897408332546,-0.0717982437802128,-0.142489329734464,-0.176773144559272
"TWIST1",-0.00796237143923191,-0.0368386391189409,0.0566173690899527,0.0968080615938966,-0.0391980519468295,-0.0434342909644532,-0.043256502492632,-0.0712378166979903,-0.0713500850634614,-0.0847043052195184,0.0391980519468295,-0.186609574170187,-0.00991236341401571,-0.191793791275518,-0.205842428931431
"miR101",0.00610019655167033,-0.0495506331545873,0.012911970105258,0.0137546169566219,-0.0132474197466152,-0.0193857810303914,-0.0189688138071819,-0.0188960693801619,-0.0189727886592052,-0.0514208435092399,0.0132474197466152,-0.0687358361035709,0.0117870143364143,-0.0830592783464342,-0.117456832491311
"miR200a",0.0144417005507515,-0.126945662345953,0.00182231620391228,-0.0218634263541007,-0.0178436870762324,-0.101168361260154,-0.100999936686889,-0.0216572976830639,-0.0218192867233482,0.00481832589438428,0.0178436870762324,0.0718546075826187,0.161322871926457,0.0989539350359823,0.202379039122649
"FOXC2",0.0154744460151093,0.0998915609967358,-0.00542867625299275,-0.066851430104379,0.00421379024051423,-0.00163244527186264,-0.00162691031863299,0.0149329472194592,0.0149361509443233,-0.00214956780526626,-0.00421379024051423,-0.102923405042162,-0.0942680393922011,0.0718839358412126,0.0421906503583495
"ZEB1",0.0155416743991107,0.0999244183956246,-0.00546523495956063,-0.0667507036891729,0.00431970588998552,-0.00162691031863299,-0.00173952149017308,-0.085065548968377,0.0149329472194592,-0.00208037195332693,-0.00431970588998552,-0.102897184636517,-0.0942845008782029,0.0718179118084646,0.0421319057679717
"miR141",0.0298120949310535,-0.0473114572644799,-0.10555271080065,-0.0616533366697258,-0.0145753379373254,-0.095903995832875,-0.0957307932575319,0.000248708745251037,8.94966599429805e-05,0.0374229849294326,0.0145753379373254,0.0290504245824907,0.0981719611075298,0.173955687149182,0.220108310414879
"SNAI2",0.0512591862905415,0.0951238805164539,0.00590915393985133,-0.153824660999893,-0.0542113668268931,0.163417810358412,0.16360684950919,-0.0565820544900767,-0.056678846942275,0.155537894289539,0.0542113668268931,0.0227438516761596,0.0659418789111385,0.185608425315605,0.0778595743808399
"SNAI1",0.0651901422971887,0.0106414048241136,-0.0326285905336679,-0.00186454906474581,-0.0603616784423232,-0.023611943566788,-0.0233538181678039,-0.0577596173056367,-0.0577317945305313,0.00497162357192164,0.0603616784423232,0.0936472206066335,-0.0651310777770667,0.107121526397206,0.136978259851232
"TWIST2",0.100732235030155,0.000629201700599937,0.0422906453433156,0.0840511907186523,-0.110622505043434,-0.0831043962805003,-0.083548634482722,-0.11849485213298,-0.11849793043622,-0.112514539114177,0.110622505043434,-0.0322562728599565,0.0211067716972474,-0.127983331249239,-0.12229910637005
