"","ZEB2","FOXC2","TWIST2","miR200b","TWIST1","miR34a","TGFbeta","ZEB1","miR200a","miR200c","miR141","GSC","SNAI1","miR101","SNAI2"
"GSC",-0.130191133605924,-0.135089177195297,0.020117119060807,0.0923498805434792,-0.00678298872886382,-0.0231311035359478,0.0538256586240901,-0.0540672765285753,0.039462581437121,-0.0863482769303101,0.0536864804436504,-0.0537606682464518,0.0675141281088782,0.0759077723173051,-0.016840207034453
"ZEB2",-0.0971887274321657,-0.0770760626766296,-0.0350238922420351,-0.0203203843065967,-0.0186427345653866,-0.0121924153623122,-0.0102592780904952,-0.00582500966591129,-0.00572156428730784,0.00107874003325238,0.00635305163056583,0.0099370575597193,0.0714043485070025,0.0753216767629276,0.0775167928876412
"TWIST2",-0.0712481410045195,0.0785870540300505,-0.070676322637313,-0.0177831027900142,0.119426140405884,-0.03311911190653,0.0176529986806673,0.0570042172104967,0.0629093334621688,-0.00763659758417764,-0.0567166157364292,-0.0175913146500403,0.00341032819901314,0.0465773643344156,0.0770445092192715
"SNAI1",-0.0597246159428164,-0.0151658740915218,0.0884470048677642,0.0399026444536527,0.0488808978005561,-0.0815926757285636,0.0377677783574127,0.0558463568441587,0.0565368097057895,-0.0118148291439928,-0.0552546591602502,-0.038002906409022,-0.0784099639714987,0.0132781943419328,-0.0946801252010825
"miR141",-0.0339639581480753,-0.0937124780994377,-0.0178870424690936,-0.0151777364244692,0.00708877033509945,-0.0871588779566567,-0.0938594632881545,-0.00798484525256769,0.0125705015499504,-0.0199892276215249,0.00773214234972408,0.0938009327626937,0.102560501812999,0.111597572600697,0.120377191881508
"SNAI2",-0.0337790375210804,-0.030156322486304,-0.247596663861239,-0.188210382330936,-0.206064872239573,0.0461141389799635,-0.191506686323344,-0.0330305040556143,-0.000266191696603281,-0.0329625331373498,0.0339512045784275,0.191380945349749,-0.0671334980063006,0.191133322649408,0.148162871409611
"miR101",-0.0224530763883716,0.0177144539383252,-0.0484262795753218,-0.015838553840213,-0.0145108798347019,0.0297492427430407,0.00446299190969489,0.0118114542441986,0.0164668977412893,-0.00338072740332253,-0.0117995201341252,-0.00462309324856433,-0.0105717074741872,-0.00239727873726484,0.103942259090787
"FOXC2",-0.0141702704608677,-0.076167298843853,0.00339546314731921,0.00236976461168233,0.0666249890717161,0.00366985059057203,0.00246611738332393,0.0071059771782982,0.00729911066144804,-0.00432254841947015,-0.00635523765180873,-0.00248272224301287,0.0714012536065208,0.079897976676022,0.0888146146227882
"ZEB1",-0.0141125192058885,-0.0760485358300487,0.00236020631383183,0.00209667164936177,0.0670999278374727,0.00287078171844543,0.00220762355774328,-0.0922819712710208,0.00791087482260188,-0.00412055627922163,-0.0071059771782982,-0.00246611738332393,0.0703453668615445,0.0806220218488567,0.0881921375412625
"miR200c",-0.00860470948357015,-0.105017576189819,-0.0524774761018595,-0.0310058977695913,-0.051002578429564,-0.000405352812154813,-0.115050509305286,-0.00337077237401462,0.00204585285989951,-0.00606905879300363,0.00279224008728477,0.115123373836982,0.0828572179480598,0.0856992409971945,0.0881507216245356
"miR200a",0.01832447599797,0.124595523529306,0.0313296166048272,0.0589644478396371,0.000507355794800896,0.0882195349875294,0.113672071695441,0.0160743305318911,-0.000359252015658062,0.0162595565717186,-0.016146531361275,-0.113730602220902,-0.125633698870697,-0.135240701084109,-0.145239470685227
"miR200b",0.0242441916336755,0.0741345307599515,0.0390349019661259,-0.0127808136455765,0.0434064522996636,-0.000655304218717841,0.0952379008979997,-0.00471871290530878,-0.0142571023941918,0.00979872984280992,0.00562214892426612,-0.0951937043787742,-0.0597840208903613,-0.0620561125137826,-0.0632884428208171
"miR34a",0.0889052294479629,0.0361900899395999,0.00580708992080926,0.0189223491052559,-0.0392786295484486,0.0344350590974212,-0.000621685034044494,0.0204715123900303,0.015842428046194,0.0862889195330672,-0.0197222543347985,0.000384452224322196,-0.0642740064008777,-0.0999588473649416,-0.128561236983602
"TGFbeta",0.104266333221526,0.0980900755592267,0.0777687138944858,0.0624470141303769,0.0385199904829396,0.0865319023911037,0.0616935039218146,0.012460775883481,-0.0447055073041633,0.0589417253240583,-0.0124454013568752,-0.161829014020543,-0.085293797319319,-0.0971507677424713,-0.110267803150118
"TWIST1",0.106538530102675,0.104041137091537,0.0827054736678653,0.0132332278186827,-0.00353197787123178,0.0367859379945796,-0.0265332074527254,-0.0558724259540579,-0.0763119454742644,0.0292613535754557,0.0557440822106209,0.0264476551053829,0.0158289564924009,-0.0651252865716001,-0.113929951616663
