"","ZEB2","miR101","GSC","TGFbeta","miR200b","miR141","ZEB1","miR34a","TWIST2","miR200c","miR200a","SNAI2","FOXC2","TWIST1","SNAI1"
"ZEB2",-0.0851760246572063,-0.0293056352542561,-0.000693430690360877,-0.000569109383211134,-0.000316277201651165,0.00169589978376361,0.00171033259900865,0.00299200459144766,0.00369986001752548,0.00664829215290625,0.00693839593320522,0.00878288422930333,0.0271186131741526,0.0406107559897461,0.0502441651988974
"GSC",-0.0591496351217429,0.111388212952737,0.0195155430067312,0.0195982006714944,0.051352397080127,0.0887489660989313,0.0887799211355123,-0.14387146390626,0.14229920033557,0.0105798088566978,-0.0763346761985613,0.141574751657988,-0.161248938649347,-0.294632704891497,-0.272281571949417
"SNAI1",-0.0389174445876435,-0.126633636284871,-0.0116560754601656,-0.0116707461817668,0.0872532131934855,0.0756383810250592,0.0756445638639715,0.152652771862885,-0.160055947046785,0.0098219654788696,-0.0601913489725154,-0.156910982079064,0.157842006504211,0.223248461579525,0.214817674034905
"miR101",-0.0153636736945569,0.105608367291901,0.0113849439834396,0.0113743878512064,0.00284016181042037,0.0104804810659017,0.0104603635660636,-0.0920422357730807,0.130501522041192,-0.00102524190032818,-0.0126844090574077,0.149006371034237,-0.12763940419086,-0.19568042307713,-0.262135713430749
"TWIST2",-0.0151881509977385,0.0751688185624319,-0.00535289859614447,-0.00542024171215006,0.0336736527513184,0.0222928558792964,0.0222418439970459,-0.0606093734222892,-0.0376094026593432,0.00554787926377563,-0.0191500634306951,-0.0450881068713131,-0.0690941833715556,-0.0178742686854755,-0.114244802787083
"TGFbeta",-0.00752558231304435,0.114454766574341,0.018835966560673,-0.0811479012847164,0.0581352442087946,0.0123341378020062,0.0122779737150178,-0.190107989733119,0.0760361143708589,0.00374369812619423,-0.0104180125806752,0.0653542252393703,-0.135778505863015,-0.214624532531275,-0.298744761937897
"SNAI2",-0.00736276421811327,0.00668367169421944,0.000271095242874756,0.000278793669829515,-0.00245623486796007,-0.0198383941427513,-0.01984408781641,0.0085368851389852,-0.00502086635272776,-0.0132113230592259,0.0064535798421497,-0.102608884108153,-0.033024065017473,0.0488089651519212,-0.0107128844147046
"miR141",-0.00727442548463394,0.124775647530746,0.0920783815073883,0.0920724090047903,-0.0081872383705021,0.00246885091586638,0.00245496614098487,-0.0337846697333876,7.64364992841236e-05,-0.00297443379538137,-0.00530850498512213,-0.0215666790506318,-0.121425750726832,-0.19319064230543,-0.230166662602323
"FOXC2",-0.00108143877013062,0.07626892675179,0.00123077478897702,0.00125844955512525,-0.00591596213353057,-0.0165928954075836,-0.0165982349490237,-0.00243090855478633,-0.0760859436981946,-0.00876615311969607,0.01034355920975,-0.0577102847626773,-0.0866108313257645,-0.0908400225900717,-0.0967633503543171
"ZEB1",0.00115695964202649,-0.0759738576060685,-0.00125844955512525,-0.00133650957176099,0.00619274554128789,0.0165982349490237,-0.0834438717915636,0.0023883810797992,0.0758561800642318,0.00853869492165117,-0.0105768051482032,0.0578315465318057,0.0863347458780896,0.0906578133780518,0.0968456577843264
"miR200b",0.00197967734473383,-0.133736292031522,-0.0942402947971053,-0.0943466053433504,-0.0178366694296828,0.00382337911261024,0.00379375825952967,0.0328264934839193,0.000997419099968011,0.00290620252293455,-0.000926509912577581,0.0228375099773642,0.131882307818357,0.209212795239282,0.247652011976044
"miR200c",0.00727442548463394,-0.124775647530746,-0.0920783815073883,-0.0920724090047903,0.0081872383705021,-0.00246885091586638,-0.00245496614098487,0.0337846697333876,-7.64364992841236e-05,0.00297443379538137,0.00530850498512213,0.0215666790506318,0.121425750726832,0.19319064230543,0.230166662602323
"miR200a",0.00727442548463394,-0.124775647530746,-0.0920783815073883,-0.0920724090047903,0.0081872383705021,-0.00246885091586638,-0.00245496614098487,0.0337846697333876,-7.64364992841236e-05,0.00297443379538137,0.00530850498512213,0.0215666790506318,0.121425750726832,0.19319064230543,0.230166662602323
"TWIST1",0.0147080018183245,-0.0415759345033318,-0.0182220734639408,-0.0181899913336874,0.0337389830566453,-0.00959747984767068,-0.00957907094709689,0.0719276167506713,-0.163647857134869,0.0213154451348454,0.0119491999293725,-0.133226406293096,0.0332914005717387,0.113699374614626,0.251304636555229
"miR34a",0.0719091270923769,0.0487072447957895,-0.0112579731113816,-0.0113629380118469,0.0175014254323783,0.0243558046654438,0.0242751225952646,-0.0652842788402868,-0.102093414107712,0.0815763399316144,-0.0260618001196987,0.00933640860114086,-0.0651683258962372,-0.115307632429091,-0.128961250424256
