"","miR200b","miR200c","miR200a","SNAI2","miR101","TWIST1","FOXC2","TWIST2","SNAI1","miR34a","miR141","ZEB1","GSC","TGFbeta","ZEB2"
"miR101",0.278078641386184,0.273565566289118,0.273565566289118,0.194344769718187,0.168329700258545,0.0339640002715977,0.0636978513266403,0.0155783610738846,0.0370023103355814,-0.188222651203681,-0.266401482796751,-0.26670597309091,-0.123634724673136,-0.124305039069941,-0.282845076669495
"miR200b",0.247609370148324,0.242834820140437,0.242834820140437,0.172725988370496,0.0419845322715522,0.029317871920949,0.0168503725016219,-0.0331611665922168,-0.0905737771953419,-0.122540294240729,-0.234673765069337,-0.234777438055119,-0.212945856097111,-0.213228952720258,-0.252207456345775
"miR200a",0.247609370148324,0.242834820140437,0.242834820140437,0.172725988370496,0.0419845322715522,0.029317871920949,0.0168503725016219,-0.0331611665922168,-0.0905737771953419,-0.122540294240729,-0.234673765069337,-0.234777438055119,-0.212945856097111,-0.213228952720258,-0.252207456345775
"miR141",-0.0295893248897883,0.0131170446419036,0.0131170446419036,-0.148931721474901,-0.0369095145082104,-0.025648584676779,-0.0149582191164876,0.0290591831891958,0.0757214244041098,0.0997692714172762,0.196044526258874,0.19603249278731,0.137680294433637,0.137659987924804,-0.223553004639376
"SNAI1",0.158365233381638,0.163220695557914,0.163220695557914,0.14767995907983,0.145054562247756,0.0364126769208091,0.0487139701520648,-0.00796343869587216,-0.0613509517958521,-0.14568089825048,-0.141025375112829,-0.14117407238867,-0.0750552871536564,-0.0754149180858816,-0.196031144430993
"SNAI2",0.30113467085196,0.122781084045251,0.122781084045251,0.138872980169289,0.255577191434601,0.192613016709202,0.00650196770263061,-0.181191779122938,0.0676805859749976,-0.100343191790696,-0.117659617634579,-0.1179245409207,-0.249798449520358,-0.25035872392651,-0.129132784172283
"TWIST2",0.11759297176815,0.090796499747243,0.090796499747243,0.180940371675756,0.0833873260909645,-0.0825907509156669,0.0744202897944847,-0.135826948145809,-0.00360110291460808,-0.0352713331701009,-0.0898032569653183,-0.0898929675168623,-0.054091217458107,-0.0543543649282129,-0.0919308690112995
"TWIST1",0.0225093017688485,0.115575546483219,0.115575546483219,-0.165587500378938,-0.136796994510886,-0.138966134809182,-0.119384446702456,0.145723307937744,-0.042537618535364,-0.0452672172196004,-0.142130160754734,-0.142134049959081,-0.0274349498547854,-0.0274336130993582,-0.0790567121170099
"TGFbeta",-0.0405892432294861,0.0652023922483825,0.0652023922483825,-0.0373378326030072,0.0383969430175561,-0.029131936092266,0.0184766606858259,0.119399649282282,0.11296789079532,-0.16794718327511,-0.120927854675546,-0.121114545355759,0.163747434766589,0.0634022066579233,-0.00808429922497074
"FOXC2",-0.293279324153522,-0.269612366474163,-0.269612366474163,-0.221201760599569,-0.149131225856666,-0.0191279741628425,-0.105416457325041,-0.062934724312149,-0.0683307403193639,0.267608266510558,0.288746266431072,0.289133917139629,0.142473917485906,0.14335951000265,0.0423698926459986
"ZEB1",-0.293767385562534,-0.270085224865518,-0.270085224865518,-0.221542910376716,-0.149378894336408,-0.0193251185561755,-0.105550644106872,-0.0628132400918928,-0.0682014000722064,0.267855224303904,0.289133917139629,0.18935798515204,0.14335951000265,0.143863700929772,0.0426539103563835
"GSC",0.0708695300493838,0.0409317493628181,0.0409317493628181,0.186506791730955,0.213148479899507,0.0341056120781662,-0.00671623288907954,-0.0194942332042592,0.137475087738839,-0.163531563955575,-0.179250700412879,-0.179471807817029,-0.0486234889627075,-0.0490695879626128,0.109958357412325
"miR34a",-0.0973435231806671,0.0139523892240788,0.0139523892240788,-0.20937475673731,-0.149279273237762,-0.0240824909967251,-0.0842347414246827,0.0613054349138637,-0.0516165589688651,0.00574854822188785,-0.0549898877076996,-0.0548686286899448,0.0220068068839087,0.0222573878312625,0.144450476798887
"ZEB2",-0.30540028307308,-0.304566763348456,-0.304566763348456,-0.0676092644288625,-0.0131707642263679,-0.00890920748702053,-0.00464699204501094,0.0104569932259147,0.041953789250335,0.054885632709037,0.0849749240354972,0.0851207452378004,0.110215453416112,0.110547822625022,0.221747221358686
"miR200c",-0.247609370148324,-0.242834820140437,-0.242834820140437,-0.172725988370496,-0.0419845322715522,-0.029317871920949,-0.0168503725016219,0.0331611665922168,0.0905737771953419,0.122540294240729,0.234673765069337,0.234777438055119,0.212945856097111,0.213228952720258,0.252207456345775
