"","miR200a","miR200b","miR200c","SNAI1","ZEB1","TWIST2","miR34a","TWIST1","miR101","SNAI2","miR141","FOXC2","GSC","TGFbeta","ZEB2"
"TWIST2",0.189782007551913,0.0445272546158181,0.062266731578699,0.10541905728206,0.128254457867999,-0.0395710656851903,0.0132415656427121,0.183936518882193,-0.0455260729682269,0.00556228240525247,-0.128396059817005,0.019078395542341,-0.0638336441809464,-0.0640435962484933,-0.258277812345564
"TWIST1",0.150973200983257,0.0838089413590319,0.067092628552138,0.0466919150638082,0.0882562347353621,0.102283250386253,0.00277694166837566,0.124946225734197,0.0128866425528998,-0.104346001731998,-0.0881828584133567,0.0642465088619433,-0.0357209339555938,-0.0357262809773028,-0.242822139013442
"miR200a",0.105278914357598,0.108536322274632,0.0694558961679961,0.127176698708331,0.0347247806410773,0.0262557381145188,-0.0764394029411572,0.0223069255582974,-0.000373483732013303,-0.126793607275633,-0.0345100294562432,-0.112097069322961,-0.116470852046454,-0.116295260470071,-0.173873151780592
"SNAI1",0.130360251939621,0.0533021024323797,0.0274833508531733,-0.0612113258400865,0.102713057859344,0.0263563111519893,-0.0151515177953603,0.0317157573263876,-0.020645045358009,-0.0992868594747772,-0.102689563071478,-0.0453128865358511,-0.0331241678213597,-0.0331626289023144,-0.170242833936524
"GSC",0.009662933302779,0.096806458857878,0.0943080461058521,-0.0269277151309222,-0.086751223364283,-0.00133627491912065,-0.017083242881232,0.0850493003174023,0.0692377585418121,-0.0128120694825166,0.0868465452229609,0.144482294685396,0.0104038692293864,0.0104675976579443,-0.104208710506102
"ZEB1",0.0396879538113962,0.0318070467438557,0.032266459720692,-0.0457213225010531,-0.0911248040260911,0.0148624880299946,-0.00679495601106706,0.00446148777099011,-0.00745634328186034,0.06679865777322,-0.00882506890178109,0.0616662854360373,-0.0113054986521094,-0.0112351166698968,-0.0913754249138432
"miR34a",-0.0889846289415324,-0.0201046782275175,0.0779324514665723,-0.0311076970885194,-0.072950925724443,-0.0052214031135045,-0.0138243352274089,0.0117210083402079,-0.031526514388443,0.106868125278813,0.072914123376642,0.0769436665914288,0.0112072134499778,0.0111617084353252,0.0126701674510905
"SNAI2",-0.0433621130612737,0.00485726803965246,0.0186703260991944,-0.051682140296292,-0.0621548220360928,-0.0212112142570113,-0.017554807524083,-0.114204429962055,0.0136991927089396,-0.0738824469728044,0.0622576430839297,-0.00263535759616248,0.0158510132908031,0.0160571600570361,0.026614943752605
"TGFbeta",-0.0716949811001099,-0.0737224612724154,0.0428408426463331,-0.113497539377026,-0.112907448291405,-0.0858540166812451,0.0491412322208874,-0.0405242009104226,0.00533245164209122,0.103925171145715,0.112752134196102,0.0997846572861346,0.0321513784863866,-0.067922829424822,0.0322478120667287
"miR101",0.0216623721645172,-0.0568027236569152,-0.0701474411044247,0.0270780726083004,0.0927329546286809,0.0305052918192398,0.0202888516809561,0.0252552533651241,-0.0203287512775084,-0.0856611612252451,-0.0928730951784001,-0.0347114566780118,-0.0127315214207801,-0.0128757885612998,0.0420007337477015
"FOXC2",-0.0396931627777637,-0.0316612741491035,-0.0320181656571773,0.0458365529030661,-0.00882506890178109,-0.0149549216758416,0.0066196234387517,-0.00435992853806102,0.00730347613407691,-0.066862791775559,0.00905894081686102,-0.0617511161601832,0.0109623315518714,0.0113054986521094,0.0913076042092779
"ZEB2",-0.214868075091878,-0.190332334401392,-0.18256759671771,-0.0410708239244664,-0.0367179680870949,-0.0301645359166836,-0.0216888077747027,-0.00722419825506348,0.00213066614177909,0.0366167109435508,0.0367284194360655,0.0427516650469089,0.0731848174551927,0.0732533210326018,0.0991147168584586
"miR200c",-0.0702731601320859,-0.0550364033252607,-0.0854954187823629,0.0861109260637244,0.0136385426410394,0.0482565775087491,0.0062470173514055,0.0228786821034827,-0.00450756790026991,-0.0762310275637315,-0.0137385130201863,-0.0874158965295433,-0.0746646981119968,-0.0747925096675948,0.153016997140231
"miR200b",-0.105278914357598,-0.108536322274632,-0.0694558961679961,-0.127176698708331,-0.0347247806410773,-0.0262557381145188,0.0764394029411572,-0.0223069255582974,0.000373483732013303,0.126793607275633,0.0345100294562432,0.112097069322961,0.116470852046454,0.116295260470071,0.173873151780592
"miR141",-0.139508621043184,-0.105463434128343,-0.103906900296293,-0.100692785584472,-0.0331475865007286,-0.0593341538494447,-0.0162360712315155,-0.0259129523194582,0.00547384814437681,0.0881411414685124,0.0331355530291646,0.104891812467314,0.132702702447533,0.132823347000013,0.246023215756931
