"","TWIST1","SNAI1","ZEB2","miR34a","miR200b","miR141","miR200c","miR200a","ZEB1","TGFbeta","GSC","FOXC2","TWIST2","miR101","SNAI2"
"TWIST2",-0.194481079106321,-0.172575045861573,-0.104924943186934,0.100224791484933,0.162901124920746,0.30136125814435,0.205913870464781,0.205913870464781,-0.300742079435654,-0.20285174920692,-0.202095129491798,-0.00754237525618469,-0.0972868680652262,0.0659727144817328,-0.0339963092769001
"ZEB2",-0.15061903703544,-0.14433454399268,-0.0743643041589183,-0.0738393012313491,-0.0555391806777515,-0.0235731672736061,-0.0231882545260004,-0.0231882545260004,0.0228838759248346,0.03518734165231,0.0354765789791482,0.0809555798964798,0.112016917719774,0.146238170828726,0.147753270803835
"FOXC2",0.157122586397982,0.0339941912803418,-0.0732580491911718,0.347051766070601,0.305454436976163,0.359875592169222,0.322355092178612,0.322355092178612,-0.357933066993284,-0.322676234565732,-0.322637489893124,0.00426923248556921,-0.195599065482498,0.00821980848057696,0.0400353899155474
"miR200b",0.287468017945888,0.236230083254418,-0.0496775775317458,0.270538574556101,0.194257009725967,0.237622037106183,0.143237216110411,0.143237216110411,-0.235643919511396,-0.27432185134701,-0.276700101881549,-0.132542416948971,-0.239745690809618,-0.226860060032223,-0.220225685766688
"miR141",0.287468017945888,0.236230083254418,-0.0496775775317458,0.270538574556101,0.194257009725967,0.237622037106183,0.143237216110411,0.143237216110411,-0.235643919511396,-0.27432185134701,-0.276700101881549,-0.132542416948971,-0.239745690809618,-0.226860060032223,-0.220225685766688
"miR200c",0.225947007170562,0.184233336479631,-0.0224040011193705,0.240467526799297,0.129580012875376,0.222132273963903,0.121806148829572,0.121806148829572,-0.221102949319354,-0.239453813183738,-0.240386718089552,-0.0999774660073202,-0.197976289405125,-0.17599314182695,-0.16946073459957
"TWIST1",0.217592162347373,0.210653011121847,-0.00716317297446557,-0.0642591311999125,-0.0100442861570082,-0.228522883088538,-0.109156388033286,-0.109156388033286,0.228646559786759,0.0886372643484521,0.0869141866027564,0.0278418436447433,-0.157575234542133,-0.23441546058967,-0.254908745104465
"miR34a",-0.022493107671726,-0.0740721965506126,-0.00264924848572193,0.074198768290779,0.00266579590009075,0.201218070364006,0.158849589421613,0.158849589421613,-0.201033114975057,-0.103646457311853,-0.1030027130379,0.0652789053715108,0.0383037664070915,0.153233502515163,0.208956580246707
"miR200a",0.14931496114089,0.189227570588121,0.0106536556550082,-0.159881559509135,-0.064698482433314,-0.313463999784326,-0.165624066725328,-0.165624066725328,0.313758357011814,0.0495502177974743,0.0471385212483863,-0.0885888021738794,-0.0562400809777926,-0.214287608721298,-0.234384383793198
"TGFbeta",-0.274719156058031,-0.248985420685259,0.0158688134863528,-0.0837173808323267,-0.105779287631248,0.124864416812487,0.0624810199864821,0.0624810199864821,-0.125519873671251,0.0542789406045502,0.156764905630039,0.0832803581951227,0.244745903760422,0.270007616671752,0.287532139048235
"SNAI2",-0.189739505108664,-0.0638212686980488,0.037590229814254,0.0437703248905069,-0.185858123573805,0.103887270587465,0.034292548436752,0.034292548436752,-0.104359845501139,0.164168037508864,0.165686338380497,-0.00814465606138514,0.216256611690205,0.2603839621544,0.156365597567081
"ZEB1",-0.160602483643935,-0.0352111654240505,0.0734271567121622,-0.346643651529935,-0.305299438267819,-0.357933066993284,-0.321333555996553,-0.321333555996553,0.256666355880614,0.322699268669001,0.322676234565732,-0.00312324652119811,0.197791063369729,-0.00501907851032088,-0.0385225819780215
"SNAI1",0.211525133173431,0.0894421058443233,0.0747362219208202,-0.00439422692620245,-0.0798178393101187,-0.254000086292639,-0.179341273357732,-0.179341273357732,0.253658793584679,0.153739539033875,0.152856520195876,-0.0497792071788115,-0.0903070571328122,-0.221569799109301,-0.150636308274793
"miR101",0.242235775625773,0.197772719602033,0.0847472341983688,0.115620243904713,0.0177715943200347,0.0745894295593106,-0.00706321695926209,-0.00706321695926209,-0.0742481140112111,-0.0131708243727765,-0.0140663362572221,-0.0705754451947104,-0.118302433819468,-0.208946811062227,-0.120818734272503
"GSC",-0.384437055541056,-0.242626852127471,0.0869824920824625,-0.0756800087216404,-0.0891050594860711,0.00199992865827138,-0.0371731814174796,-0.0371731814174796,-0.00282932709872716,0.0493081330851358,0.0516383220620106,0.12460039354054,0.137235901557609,0.265782839037284,0.184628226265881
