"","TWIST2","ZEB2","TGFbeta","FOXC2","miR101","SNAI1","TWIST1","miR200a","GSC","SNAI2","miR200c","miR200b","miR141","miR34a","ZEB1"
"TWIST1",0.083140458746523,-0.137616021534558,0.0707244246749777,-0.362624961337176,0.123940361222322,-0.274408443624547,0.16959363554055,-0.0307365539014388,-0.0708875088370994,-0.0404192936742392,-0.164390950351941,-0.12841376453905,-0.183353464563239,-0.0159746715462139,-0.183210601123575
"TWIST2",-0.0157870878087426,-0.0794148559143548,-0.0408107344429995,-0.0402060647970627,0.04263663218721,-0.099559469239144,0.00605840576388167,0.13985231671739,0.0402804781430227,-0.00488530015310281,0.0615670673060999,0.0400413139059069,0.201175093495539,0.159540818574459,0.201467972060873
"ZEB2",-0.101967089074327,-0.0635101522469372,-0.0458374623101264,-0.0310486925602507,-0.0270397159070075,-0.016185612330453,0.0120227187265756,0.0389092338419122,0.0448631892091978,0.0688756412307112,0.0804971070160692,0.0997705000682556,0.133047363115856,0.133211286449227,0.133600289244727
"miR200a",0.0366306411903685,-0.0350487691627332,-0.0317267431811421,-0.16717128835772,0.0775108239076969,-0.211984633861286,0.0732367043990409,-0.118620753802437,0.0315009825829362,0.0567404872148125,-0.152699947191705,-0.118258455306218,-0.267407610576187,-0.126388891372369,-0.267236365019315
"miR141",0.00119340230663924,-0.0126699094884074,0.0636332090611605,0.179731305881204,-0.0672553675493159,0.216525087468066,-0.0783720758829106,0.105284137380532,-0.0641599837903075,-0.0815568407461422,0.0916140792224203,0.0241891669651002,0.196777133314331,0.0694431207952142,0.197034464475468
"TGFbeta",0.171603790779998,-1.04798505256121e-05,0.0946620257292403,0.196668061307546,-0.0361886290127543,0.214926598875821,-0.129489230996277,0.0176513514848589,-0.194952404512231,-0.141639339284813,0.0174657092096553,-0.0975175175298004,0.0316521934135262,-0.132721367913624,0.0317315761733479
"miR101",-0.178188753830854,0.0230020180562004,-0.0746641816189728,-0.255584534364244,0.0789813383690195,-0.215982134882249,0.255327994630671,0.0995212563334365,0.0750160526934111,0.156431754606109,0.120334086344969,0.149319639355876,0.217573956956334,0.217900379887399,0.21746041242335
"SNAI2",-0.0442761496122821,0.0285632826441592,0.00900116504185075,0.0379217736342384,-0.0590714301948091,0.0738834092083373,0.0118651707665185,-0.0436705147273919,-0.00961789457900421,-0.0523099767197146,-0.0160242049734225,-0.0029586677088115,-0.0601997108965014,-0.0634134744907727,-0.059992394190928
"ZEB1",-0.225081801625643,0.0290216556943254,-0.121564239227608,0.092493915856971,-0.129076212188943,0.121631410602668,-0.0118979219564873,0.210931167046697,0.121539925451934,0.135683827052508,0.236630041670225,0.248298040679884,0.239973241308362,0.211455741368803,0.139974243849804
"FOXC2",-0.224910139140498,0.0290728914231018,-0.121539925451934,0.0924954582337737,-0.128966005640541,0.121656102831671,-0.0119188312103257,0.210916697695676,0.121246572930763,0.135642328580406,0.23645120049161,0.248122744521637,0.239794900624259,0.211347557441204,0.239973241308362
"miR200c",-0.203546640414378,0.0352769172774122,-0.190194833150906,-0.146211935622725,-0.0235342922893981,-0.132174029226681,0.0679167663807017,0.106285961219373,0.190468373769896,0.178597535814274,0.140518383648331,0.18438208355512,0.2447471400993,0.242243081585531,0.244644392765177
"miR200b",-0.203546640414378,0.0352769172774122,-0.190194833150906,-0.146211935622725,-0.0235342922893981,-0.132174029226681,0.0679167663807017,0.106285961219373,0.190468373769896,0.178597535814274,0.140518383648331,0.18438208355512,0.2447471400993,0.242243081585531,0.244644392765177
"GSC",-0.037474878136598,0.0871923739310782,0.00932259913149584,-0.160493839446288,0.0789836762985201,-0.127473992760183,0.03504806685585,-0.0933975558509382,-0.00924498926305403,0.070454789657844,-0.00465726517382897,0.014339224814511,-0.0984356380319636,0.00773598797961122,-0.0985054097017176
"miR34a",-0.0680466295956228,0.104075858905498,0.0534561379408314,0.197056006349662,-0.106068690036941,0.223691663207778,-0.0857749769752602,-0.214289538363702,-0.0536606071400039,0.0191147336641681,-0.130835372116101,-0.0439624553162273,-0.221944788997428,-0.22238170689218,-0.221967908421047
"SNAI1",0.145446756508903,0.113132135513414,0.0130212397100621,0.288863700701224,-0.109920508306884,0.150967009935335,-0.281282153416868,-0.0817996926886051,-0.0131255207852277,-0.128306991969441,0.0296757464138011,-0.0160249899006498,-0.0567858744727907,-0.189930744255489,-0.0567790733499871
