"","miR200c","miR200a","ZEB1","miR34a","TGFbeta","GSC","SNAI1","miR101","SNAI2","TWIST1","FOXC2","TWIST2","miR200b","miR141","ZEB2"
"miR141",0.205896453826692,0.205896453826692,-0.0845114004626447,-0.102778294410769,-0.0456320874924388,-0.0455568339597035,0.0150626192502643,0.00119879603363,-0.012155132345311,-0.0391866206729168,0.0125136433401948,0.0520247571573598,-0.196415001578226,0.0845465752256779,-0.344568518801968
"GSC",0.177048990991993,0.177048990991993,-0.127106390632907,-0.0774258372038489,0.0297510835328938,0.02980850221605,-0.00836072285232491,0.0517951322630843,0.0104618001152154,0.127935707337911,-0.0783484456735953,0.0466214937310685,-0.158373640702421,0.127104916583546,-0.240915463276141
"miR200c",0.00702656648173284,0.00702656648173284,0.186311839771859,0.176492733151811,0.116811069896029,0.11674776136849,-0.0110309019897454,0.000591110077793131,0.0121980356783444,0.0391489075620854,-0.0199497773110345,-0.0832783920886931,0.0195694819561628,-0.186277590660484,-0.19891436099189
"SNAI1",0.105298541763992,0.105298541763992,-0.0407141528626501,-0.0567195278235855,0.0105690077754255,0.01057178331735,-0.117516192287815,0.0890519118538366,0.0937685821300866,0.0401478449282609,0.0204308408182615,0.0778924057731074,-0.0387396065652516,0.0407565053091995,-0.195211576939892
"miR200a",-0.0141244268349888,-0.0141244268349888,0.220852910787302,0.114137242702996,-0.0628010500331292,-0.0628452465523547,0.08551184999932,0.0105699156711966,-0.0643526895445752,-0.124764179419921,0.0411748849349333,-0.084372458973895,-0.0180488354693105,-0.220766825183036,-0.19335946994536
"miR101",0.109375934454768,0.109375934454768,-0.0573140588435516,5.31254302645877e-05,0.0287676713504887,0.028779986838094,-0.0123916456077627,-0.0969749412983912,-0.0811481304113037,0.00125037913761251,-0.0329641933685825,-0.02362953873592,-0.125168312438751,0.0573328124450955,-0.173508707519459
"miR34a",0.174187733954486,0.174187733954486,-0.15104335829182,-0.123762952972381,0.0237824443396314,0.0238364436236858,0.090264178225594,0.0297838735921834,-0.040233736524113,-0.097027224010108,0.0439304966800459,-0.118315848266277,-0.129394770350678,0.150976830970795,-0.0932645902600849
"TWIST2",-0.0443596524926504,-0.0443596524926504,0.114125253907755,0.100649506463784,0.00262698599987695,0.00255624743264419,-0.081812260427873,-0.0493010700871042,0.00408933913012948,0.184824349879054,0.0415826103485025,0.00466636343921219,0.0312021442213941,-0.114056211963675,-0.0189881796967973
"TGFbeta",0.0259447604609543,0.0259447604609543,-0.0405580133293013,0.039542716484325,-0.0879805581883163,0.0120129889498395,-0.0309805632179462,-0.010925273547917,0.0124274721040987,0.0720544543447651,-0.0296305775529998,0.031422333570374,0.0511957756458292,0.0405150274079749,-0.0060257508801761
"SNAI2",0.0120014184520858,0.0120014184520858,-0.0194144314337967,0.00705115348910669,-3.74695351612089e-06,7.23819352587172e-05,-0.0546762190878089,-0.0141432159214942,-0.0628634378412934,0.099744710851548,-0.00125581809427226,0.0609738249255921,-0.00668315350258083,0.0194140965118167,-0.00544258468572424
"FOXC2",-0.221525643058076,-0.221525643058076,0.0963272207703072,0.107892806968625,-0.0196721626401265,-0.0198105364708676,0.105943094779111,0.0111460019607656,-0.0834630674109938,-0.106861877930096,0.0871007044567669,-0.150110482843101,0.213206073453668,-0.0962684858144652,0.193497384000752
"ZEB1",-0.221658182313426,-0.221658182313426,-0.00374997492076971,0.107853263877848,-0.0196516878816647,-0.0196721626401265,0.106018347286548,0.011230138142879,-0.0834194131741076,-0.107145646375045,0.0871423486304385,-0.150266299560386,0.21329464414415,-0.0963272207703072,0.19363569085242
"miR200b",-0.00702656648173284,-0.00702656648173284,-0.186311839771859,-0.176492733151811,-0.116811069896029,-0.11674776136849,0.0110309019897454,-0.000591110077793131,-0.0121980356783444,-0.0391489075620854,0.0199497773110345,0.0832783920886931,-0.0195694819561628,0.186277590660484,0.19891436099189
"TWIST1",-0.0674533446037432,-0.0674533446037432,-0.0888174673782557,-0.0188332890095042,-0.0152556469715264,-0.0152516367052447,0.0125685384829451,-0.0614556069382435,-0.102952953232602,-0.00777019216110782,0.0879309654285473,-0.0949485176879596,0.0157696365198324,0.0888052812046365,0.243553497326072
"ZEB2",-0.222597909727522,-0.222597909727522,-0.221170657027248,-0.18454515109553,-0.100079591778733,-0.0999933280145885,-0.00583341246265542,-0.00404291556193474,-0.00222203878550362,-0.00134388986999086,0.0183303830753353,0.0870427731313955,0.218549610617632,0.220994974827886,0.323685842862547
