"","ZEB2","ZEB1","miR141","TWIST2","SNAI1","TWIST1","TGFbeta","miR200a","GSC","miR101","SNAI2","miR200b","miR200c","FOXC2","miR34a"
"TWIST2",-0.11476259979206,0.139670216788905,0.139695282972425,-0.135936547430942,-0.260127693035896,-0.249601494181451,0.0665365243064011,-0.0118170485611729,-0.0665597265564535,0.190800193465249,0.137977778238222,-0.130115724711139,-0.12852834754218,0.24642102850468,0.0323619066075013
"GSC",-0.0904889692180981,-0.13213923565533,-0.132146114552348,0.00458801928501549,0.144920265984112,0.0221355513933529,-0.0257140731042162,0.114065690193689,0.0258282794959883,-0.130009885549621,-0.016881741702234,0.0196646329359654,0.0226215490689849,0.0330919291395361,0.00847843417818596
"ZEB2",-0.0899328377861284,-0.0376388241794088,-0.0376313589301441,-0.0298017569640283,-0.0185130494614333,-0.0139752956206426,-0.0104236267345067,0.00962629983256109,0.0105479480416565,0.0186707250526124,0.0189417184110699,0.0226358271230739,0.0234282132062195,0.0293466398331877,0.0443901913009775
"miR200b",-0.0338778658961507,-0.200981052458541,-0.201054178939583,-0.111758509756412,-0.0576680161157916,-0.0385879473244499,-0.136561308578286,0.117341287292433,0.136710621143237,0.059149385669323,0.0604269844533393,0.0228170601619789,0.0841651802217562,0.108444594866068,0.189337672137175
"miR141",-0.0146802740908675,-0.221049148672651,-0.221108390378812,-0.122807956096171,-0.063279871828642,-0.0444837545592938,-0.14803410877361,0.118359075857022,0.148042470277247,0.0648681585683197,0.066103344581626,0.073039656403325,0.104219897919845,0.120261068070258,0.20755424102191
"miR200a",-0.0016416706783012,0.205117306915368,0.205102496488828,-0.0207580257602967,-0.152964973113296,-0.115998075472914,-0.0293200801134224,-0.101488830061933,0.0293786106388832,0.140267902630779,0.12842615870585,-0.140788617880644,-0.103697447578931,0.161216574296963,-0.0913125074802256
"miR101",0.00252102907099438,-0.111966676110407,-0.111994977000009,-0.107505849628141,-0.225298609898427,-0.182713481143037,-0.0274265560837828,0.0554686331317829,0.0273473850920342,0.203443950271162,0.081722291585385,0.0487082977456384,0.0577662270738996,0.239530483478543,0.148940274022662
"miR200c",0.0175559211269821,0.185049210701258,0.185048285049599,-0.0318074721000556,-0.158576828826147,-0.121893882707758,-0.0407928803087465,-0.100471041497345,0.0407104597728936,0.145986675529776,0.134102518834137,-0.0905660216392979,-0.0836427298808419,0.173033047501153,-0.0730959385954908
"ZEB1",0.0378517987485271,0.107615595559825,0.207601559979629,0.0900750913394971,-0.13400483205709,-0.0968748268743457,0.100889339818361,-0.219253524990307,-0.100859907353072,0.116949371933292,0.101496838021308,-0.197831681176771,-0.189356845793188,0.114498867559527,-0.179923653557138
"FOXC2",0.0378977035922285,0.207601559979629,0.207668838201776,0.0900275540359186,-0.134025996824806,-0.0968389824391943,0.100859907353072,-0.21923442544696,-0.100965071464435,0.116926856616952,0.101482286609013,-0.197907335308224,-0.189448870865679,0.114522003211567,-0.179988563913697
"SNAI2",0.0542688897962938,-0.0279683221528851,-0.028013536620175,0.00428380385845994,0.0341716524554834,0.0941540036661664,-0.0157574669712802,-0.0126102536868564,0.0158763648986926,-0.0218601446751102,-0.111182796293612,0.0356843511348508,0.0410549052158331,-0.0559556743721505,0.00401478629852245
"miR34a",0.0694545117379099,-0.201888821632617,-0.201910997406292,0.0365828764762106,0.280500582375677,0.162713897178958,-0.101501373530272,0.134462434845684,0.101607551897794,-0.208059351364347,-0.152362454499375,0.170197918078885,0.187658132159828,-0.263766372567734,-0.00496445115155518
"TGFbeta",0.0703546139891167,0.0186526613151409,0.0186297564081568,0.137092387889165,0.116437772772581,0.0664425222484398,-0.103308201998505,-0.0477863550160265,0.00342112708077872,-0.104485575708029,-0.0924038088411502,0.114737167754923,0.0266555533667776,-0.151170072733736,-0.118155663257178
"SNAI1",0.0873291396347704,-0.0957637161987929,-0.0957819555735842,0.112790863914584,0.175973043583838,0.208470857309573,-0.047318508911808,0.00316858758632979,0.0473212844537325,-0.236918767072506,-0.0998625010771916,0.0937955496817096,0.0921188794257962,-0.273459955002961,-0.130486042350317
"TWIST1",0.0980895673978575,0.0634854681076426,0.0634976542812618,0.140232176509821,0.212172937957014,0.0909327452302529,-0.00984840432915444,-0.0772247012691668,0.0098564248617178,-0.1314537217258,-0.0840001360170737,0.0458236956883964,0.0208280265739066,-0.306593059576619,-0.100834292737084
