"","ZEB2","miR200a","TWIST2","TWIST1","miR141","ZEB1","TGFbeta","GSC","miR200c","miR200b","SNAI1","FOXC2","miR34a","miR101","SNAI2"
"TWIST2",-0.111244002233213,-0.0134972876668519,0.0553866557700021,-0.0558471014772551,0.140044490368442,0.13995258102887,0.0236044417634085,-0.0239004119287104,-0.127225288308514,-0.0189676708587188,0.044688026194022,-0.013683799103454,-0.0527777063678601,0.0155203861215605,-0.0477376878832875
"ZEB2",-0.0862776140560304,-0.00634457710843515,-0.00247509464132096,-0.00199229731060356,-0.00179650341770729,-0.00175718643824668,-0.000951555095296692,0.000756193041204237,0.00615736939740349,0.0073493679566864,0.017773814606836,0.0177959985718039,0.0195649086502083,0.0224791100969377,0.0275518862414737
"miR101",-0.0821591270652256,-0.0112631559464668,-0.0164742763037388,0.0405536050260428,0.106241172439232,0.106176728244835,0.0125280478370956,-0.0128042666305297,-0.0956864674219782,0.0063221445498852,0.0530172755677616,0.140977476113366,-0.0254146247171356,0.109215581950812,0.0633011246480346
"SNAI1",-0.0574944622050381,-0.00400516983506658,0.00207073805353233,0.0273616884437615,0.0795455536567544,0.079507220055498,0.00151822623998622,-0.00166453695000949,-0.0705768672653398,0.019939316161231,-0.0581944102745295,0.125117419935355,0.0284077406353765,0.106563794625629,0.0692389031404597
"GSC",-0.0200039207872373,0.0655703805213525,0.0372191667304609,0.0515799014342456,-0.0999203649862351,-0.0998422403701022,-0.0284511263573266,0.0286044531705897,0.0341651839637167,0.0576892209944682,-0.0593568072617173,-0.10166815014569,0.0191171117697464,-0.104572926259764,-0.0589778630541411
"miR34a",-0.00645053469160695,-0.0864918106392104,0.00166644044928354,-0.0177830787223731,0.0829737855088935,0.0829818065334142,0.0252967662585995,-0.0253155749979893,-0.0919552701255582,-0.0196009926110255,-0.0204706593783345,-0.094538346300491,-0.0578915536194463,-0.00708264452544363,0.0438199437764855
"miR200b",-0.00342457815824942,0.0149088389188802,0.0573587680873683,-0.0568107631585597,-0.0254944432877093,-0.0252630303730173,-0.0960477952793381,0.0968636391342302,0.0109932082712967,-0.0198119011628495,-0.135932484296839,-0.131911927931315,0.0166945622061559,-0.110273056290942,-0.0865408739185842
"miR200a",-0.00256696701273356,0.00257796407636519,0.0138991067846923,0.0116240105159594,-0.00226754243076602,-0.00233881760849113,-0.0838113692167554,0.0838006187120789,-0.000436383087030557,-0.0622622132590207,-0.0661881143994606,-0.0717198787626993,-0.0901177461696278,-0.090622086828386,-0.115020482596482
"miR141",-0.00256696701273356,0.00257796407636519,0.0138991067846923,0.0116240105159594,-0.00226754243076602,-0.00233881760849113,-0.0838113692167554,0.0838006187120789,-0.000436383087030557,-0.0622622132590207,-0.0661881143994606,-0.0717198787626993,-0.0901177461696278,-0.090622086828386,-0.115020482596482
"FOXC2",-0.000830774271119356,0.0106665344223456,0.0233201989650091,-0.0856830758908184,-0.0163465970679835,-0.0159973910577956,-0.00298478178508029,0.00394232869380891,0.00977934617781406,0.00608636727789192,-0.101744763627032,-0.123192724827869,0.00486850140832972,-0.0247663020333432,0.0544021252341238
"TGFbeta",-0.000140449249864218,-0.040346488390548,-0.0876118585833452,0.038466684957352,0.0831431572665615,0.0832915685131846,-0.0808866480129034,-0.0186777838126112,-0.0405005837011228,0.0772216047410669,0.109936861704083,0.115082865864119,0.0627659213424352,0.109757477989346,0.111054573777173
"ZEB1",0.000893856411173553,-0.0104286582915658,-0.0249285444027484,0.0842582595935486,0.0159973910577956,-0.0838015993829717,0.00350304910864545,-0.00298478178508029,-0.00963870408589316,-0.00533720685422879,0.102111619600788,0.123660064999073,-0.0048274661254474,0.0258814027005076,-0.0559009207005505
"TWIST1",0.00134211810832738,0.0229377221285544,0.108269524956898,0.00597670341883109,-0.0729394451657541,-0.0729329631585098,-0.0100999769168448,0.0102162746390136,0.0443290690993681,0.00717597911700603,0.0106608645210668,0.186751869168815,0.0579078199721683,0.0219536595520743,-0.0344041208071728
"miR200c",0.00272556911644007,0.00831671412981086,0.0581193883910918,-0.0561001518015869,-0.0192134709426248,-0.0189626193430987,-0.0959853732194931,0.0965694839735813,0.0114315915162649,0.00314388962876702,-0.141168762584035,-0.138595520991301,0.00766018312591141,-0.116960238396089,-0.0944439490742035
"SNAI2",0.0204228275364999,0.00422422453495851,-0.0678361005854258,0.0813826963679658,-0.028616340551193,-0.0288196381930073,-0.00813719415126398,0.00762139954529513,0.0248344025640704,0.012683120156073,-0.00735375253209779,0.0150144427983218,0.0163199196912943,0.0215620466051765,-0.0442268455100963
