"","ZEB2","TWIST2","SNAI2","miR34a","TWIST1","miR200b","ZEB1","miR200c","GSC","TGFbeta","miR200a","miR141","FOXC2","SNAI1","miR101"
"GSC",-0.122996607780784,-0.0196436671087104,-0.131565475252829,0.0966183713867552,0.215926751793837,-0.0446118373559757,0.0782736615902636,0.0223253311670514,-0.00393487752075258,-0.00382698087438226,-0.0976556221430026,-0.0782215785128416,-0.0631603282192982,-0.135841298909871,-0.0496591221535186
"miR34a",-0.0900911954377299,0.229581995176753,0.164019273566277,-0.0274425733671216,0.0763390275137232,0.00490052893856663,-0.0793316035851138,0.122877008865473,-0.0154470098526772,-0.0154439761850337,0.051374057185704,0.0791905279185431,-0.0983422301667258,-0.00181587646029338,-0.0970035536697417
"miR101",-0.0885776573429133,-0.0241776437826061,-0.114085261643142,0.0472114795885487,0.00525132304538954,-0.0748247049297689,0.00513074093120923,0.0420633417264096,-0.0204430221066003,-0.0204852466355329,-0.0478905464071059,-0.00520268656622323,-0.115317925645238,-0.0348484904693032,-0.00992907177106528
"ZEB2",-0.0859157795319226,-0.0516127144446027,-0.0470166827120632,-0.0468345389431115,-0.0169689877371474,-0.0112033186544949,-0.00922412524382709,-0.00594948838249802,-0.00316678932153772,-0.00301455914951763,0.0091309663223409,0.00944957577162022,0.0212695696769935,0.0212928406736718,0.0343841551922412
"TWIST1",-0.0852548374234475,-0.152413123433303,-0.248075629331301,0.0726018280744224,0.0123610306234503,-0.0849354090191073,0.00807779592454583,0.0290562327582084,-0.0285947306791687,-0.0285987409454504,-0.0581230886716625,-0.00817087754857385,-0.229672724925526,-0.0592963091438795,0.0952290496994263
"TWIST2",-0.0746598700991433,0.0866788678598557,0.134280393430639,-0.0807231939956885,0.0578502410664751,-0.0165819518307846,-0.116046825863669,0.0938630711422223,-0.0204973921025713,-0.0206450942309534,0.0203287977700925,0.116224487936334,-0.0119303097279877,0.0546845896808657,-0.0350456472835941
"SNAI2",-0.0280746620914724,0.298389000588739,0.254850615958531,-0.0827324040451897,0.0865917044674822,0.206362055696785,-0.0615960795380225,0.0444586203300609,0.194223960308832,0.194325750620789,0.0167086569650516,0.0615012966177038,0.0661264784249162,0.123812176754736,-0.217701415245862
"ZEB1",-0.0170404011394743,0.092313517682938,0.0824960310001368,-5.34189109651106e-05,0.0878494493888049,0.000701925320938608,-0.094370588753894,0.00404147849681114,0.000694766063565722,0.000530967995871052,-0.0105112083911653,-0.00558078798614203,-0.0795434186837367,-0.0575399516693145,-0.071427103925729
"TGFbeta",-0.0114584006304643,-0.154283349637616,-0.167335267016867,-0.0368633455126788,0.0249869277042321,-0.114679630675433,0.012468269912992,-0.0020763667285431,-0.00325658790514102,-0.103272720059752,-0.0118429726830328,-0.0124139884210982,0.0291762490872976,-0.0169156213617073,0.0763067902152597
"miR200c",-0.00467456338367527,0.133755499771255,0.161107763649798,0.094294697156762,0.0211548109279798,0.0462406308350692,0.00783854785181241,-0.00154860176914003,-0.0807598355126563,-0.0805937999404308,-0.00578314533289546,-0.00767007924991667,-0.0677191497529984,-0.0485799869738716,-0.105407351031862
"miR200b",-0.00239896509813466,-0.114854756877885,-0.146055960174934,-0.0704848591567638,-0.0147790314427386,-0.067298948964304,0.0134107719667715,-0.00565461178086053,0.0836280760581264,0.0835743235347441,-0.00776853936661898,-0.013348753305634,0.0601296881273138,0.0429286421481925,0.0949147908298875
"miR141",0.00467456338367527,-0.133755499771255,-0.161107763649798,-0.094294697156762,-0.0211548109279798,-0.0462406308350692,-0.00783854785181241,0.00154860176914003,0.0807598355126563,0.0805937999404308,0.00578314533289546,0.00767007924991667,0.0677191497529984,0.0485799869738716,0.105407351031862
"miR200a",0.00726424923868695,0.0406813331056743,0.1089597299977,-0.00880041929093954,-0.0485023361046734,0.011222980988493,0.00374001751939103,-0.00479764029891161,-0.0886074068863103,-0.0887376074429476,0.00191609344051729,-0.00363171627531521,-0.04530820000411,-0.0114567567751492,-0.0610867104233671
"FOXC2",0.0169583647413756,-0.0923821826769959,-0.0826485513586405,0.00025710313327189,-0.087541784653755,-0.000581985844243771,-0.00558078798614203,-0.00412655828081267,-0.000351598963327719,-0.000694766063565722,0.0105210475498593,0.00551137394741968,0.0792519094680353,0.0578609506463508,0.0710467135812447
"SNAI1",0.062293238582672,0.00141747009975294,0.110674902909171,-0.111429006515511,-0.0294582236666395,0.0318688342418457,-0.0845693468723876,0.00473806599688466,0.00188706091951004,0.00185573694636142,0.075388670738506,0.0844364158357729,0.12798610289967,-0.0547842406390259,0.0172060204647226
