"","miR200c","miR200b","TGFbeta","miR141","ZEB1","TWIST2","miR34a","TWIST1","FOXC2","SNAI2","miR101","SNAI1","GSC","ZEB2","miR200a"
"miR200c",0.149704246571336,0.145088806567511,0.126179636435523,0.0241863694676726,0.0253230697046394,-0.040387412240902,-0.0789892009366543,-0.0155856977599278,0.011244766470377,-0.0197402842080172,-0.0524694053398508,-0.0866553478211728,-0.126328949000474,-0.280146766404588,-0.125009219326615
"TWIST1",0.0972591569507992,0.10222351735123,0.0257765129366555,-0.0483892243024215,-0.0480301211010877,0.0446319980180027,-0.0430138491813246,0.092347286402123,0.072378227125018,-0.032349210624658,-0.0334699465759715,-0.0316378340270166,-0.0254998045632195,-0.259719341207079,-0.136030184600532
"miR200b",0.0980626874826941,0.0471855012580545,-0.063421888566482,-0.00559025062016304,-0.00632429238556588,0.049828819879062,0.0866466271238828,0.0215598998905878,-0.0127250760652551,0.00892070329410641,0.0369024054241083,0.0657365294434284,0.0636643721719623,-0.201419278392693,-0.103223649398317
"miR200a",0.098268118710491,0.0671066922965201,-0.0633266708800991,0.00325487483094273,0.00379915800629818,-0.0290206329235212,0.0131147690202303,-0.0437219428268554,0.0118330934351163,0.0570217796828247,0.0892963570902611,0.122675666599542,0.0633302543816579,-0.1942958824396,-0.0963568720722821
"TGFbeta",0.0922895049483347,0.115971683097925,-0.0687456291012073,0.0236440884480998,0.0239161234392673,0.0142286273955878,-0.0913642251918787,0.0175673480584549,-0.00254108164995358,-0.011892656457637,-0.0611350160513896,-0.107662558281479,-0.0309914167786404,-0.165703157942636,-0.0653433594638296
"miR34a",-0.0129330153515023,0.0682272401001346,-0.0102119473490513,0.00640621747767228,0.00636375323020952,0.167241590104737,-0.0458767924831606,0.139772969005801,-0.0639011589735973,-0.0797761648302143,-0.10143310118206,-0.128883977917258,0.0103581701294684,-0.0525658816319989,-0.0593990707106822
"ZEB1",0.00701300178047059,0.0102786048206027,0.000339817514100957,0.00967936333730184,-0.0886895017356581,0.0773355480967922,-0.0164779413961407,0.0844813444177115,-0.0819683541550934,-0.0777780638034474,-0.0822478388486534,-0.087381982722016,-0.000373088996601437,-0.00811927997689952,-0.00049733214580161
"FOXC2",-0.00787132368301662,-0.00968628832800207,-0.000373088996601437,-0.0111541446830799,-0.00967936333730184,-0.0784473928082672,0.0154431061714539,-0.0835464020675113,0.0819914898071332,0.0778411199233942,0.0822348036655091,0.0873220158801521,9.63413351191764e-05,0.00817703123187872,-0.000242919852415766
"TWIST2",0.0187261095427882,-0.00760258272650094,-0.0129323864165738,0.0701560104548744,0.069852577707005,0.0827368608058376,-0.02648544268307,0.248957670558545,0.0163206310984115,-0.0832621910109507,-0.105698072325927,-0.13432125455438,0.0131762929963924,0.029301053627086,0.0516443874786277
"SNAI2",-0.0663614695455259,-0.0225219096122644,-0.00696936059228426,-0.0494149027675957,-0.0491352429143585,-0.084894686166873,-0.00719196408268187,-0.135360879186995,0.0165485041570924,-0.0317023205143124,0.0681196889098531,0.072501753160428,0.00734829427461295,0.0844033323768534,0.0165017096784358
"GSC",-0.0507779339572305,-0.0765548819473326,-0.0254414245191091,0.0485132578983211,0.0486478877399591,0.0519435411314235,0.0358932582302449,0.117216497484501,-0.0567781443941115,-0.0664664018429268,0.0291449275082232,0.0215215296776733,0.0252628587242389,0.149137135007842,0.0911370479539289
"SNAI1",-0.119936359461595,-0.00469528742204356,-0.0289374753594767,-0.0838389937521669,-0.0837011164444222,0.0563747135461714,0.0236401877132404,0.0050765002170122,0.0397448133323669,-0.0725370600965964,0.0239071173281316,-0.0777363173593461,0.0291091624528103,0.170777106260799,0.0384755504739244
"ZEB2",-0.286983158613264,-0.254597928333719,-0.0842538030618515,-0.0360299501925743,-0.0356760973774288,-0.0264297768353174,-0.016930693810954,-0.0144496590017471,0.0036440493304575,0.0338674118028885,0.0457797577837913,0.0577604173439877,0.0841066472288987,0.234155954832435,0.255225279010444
"miR101",-0.17322674750134,-0.0527075947212972,-0.0400520260783979,-0.0918319485311855,-0.0909989476480614,-0.00104662317210245,-0.015338047007139,-0.0197433683535109,0.0524545605322646,-0.0549521677264487,0.0483344040185189,0.0500598008800782,0.0397195079130537,0.262284299709105,0.0826149156169992
"miR141",-0.149498815343539,-0.125167615529046,-0.126084418749141,-0.0153412440165668,-0.0151996193127754,-0.0384620405616812,0.00545734283300181,-0.0496961449575154,0.0133134030299943,0.0678413605967355,0.104863357006004,0.143594484977287,0.12599483121017,0.287270162357681,0.13187599665265
