"","ZEB2","SNAI2","FOXC2","miR200c","TWIST1","ZEB1","miR200a","TGFbeta","GSC","miR141","SNAI1","miR34a","miR200b","TWIST2","miR101"
"GSC",-0.124731902539201,0.128610358235117,-0.103795856895578,-0.00363073371088338,-0.268804236869184,-0.124831859800282,0.124671857068939,-0.0617482880994485,-0.061490219512516,0.125126178322695,-0.150293263175818,0.127270339615759,-0.146028408016366,-0.128657496751315,-0.188785352463597
"miR101",-0.0948567805576623,0.116952831023179,0.0283809251132379,0.0542986044858804,-0.0307316880066586,0.0120356369478682,0.0410229797672601,-0.015473622117144,-0.0155774240841033,-0.011986877583854,-0.0218226462161551,0.0300670572513401,-0.0551316454973831,-0.0553639139203517,-0.119345391337951
"ZEB2",-0.0886239687124309,-0.0438448333525256,-0.0152161695636461,-0.00973234562057911,-0.00788897662804532,-0.00585419426608533,-0.00554799221325058,0.00347948770503356,0.00366723825052501,0.00609457529240779,0.0071721681274467,0.00961717757529866,0.0148247184807351,0.0159964406212118,0.0253370043694586
"TGFbeta",-0.0555251365262186,-0.17760722908909,-0.0649519895885357,0.00996214870810893,-0.0060727152955097,-0.0250590352894614,0.0381023382860737,0.097211576752779,0.196554998060129,0.0246420404760109,0.0179822915103477,-0.0433807205217501,0.0996539102664761,0.16564465009014,0.0983030208719043
"miR200c",-0.031319947695711,-0.168840841650196,-0.043558343421594,0.012752119269195,-0.0383634575640346,-0.00264503320999368,0.0168864005045376,0.103598013865598,0.104437747730882,0.00288755394459084,0.00931848439314478,0.0163770627958537,-0.0068062034621712,0.0743861026019502,0.0883175098565146
"miR200b",-0.031319947695711,-0.168840841650196,-0.043558343421594,0.012752119269195,-0.0383634575640346,-0.00264503320999368,0.0168864005045376,0.103598013865598,0.104437747730882,0.00288755394459084,0.00931848439314478,0.0163770627958537,-0.0068062034621712,0.0743861026019502,0.0883175098565146
"miR141",-0.031319947695711,-0.168840841650196,-0.043558343421594,0.012752119269195,-0.0383634575640346,-0.00264503320999368,0.0168864005045376,0.103598013865598,0.104437747730882,0.00288755394459084,0.00931848439314478,0.0163770627958537,-0.0068062034621712,0.0743861026019502,0.0883175098565146
"miR34a",-0.0269101381667791,-0.119723050317689,0.0585597006661487,0.0837141241171591,-0.0751924036604502,0.052397718491531,-0.0603442134619715,0.0470225476197293,0.0465571830032152,-0.0526836444244469,-0.107790008261055,0.0316405310008382,0.0817933577526335,-0.000859821313751136,0.00913225309826184
"TWIST2",-0.00666277194593577,0.0460695591017118,0.0283650863418521,0.0016447166177373,0.189467158146241,-0.00268614229082199,0.00446603396792987,-0.00898340651696836,-0.00851653197323212,0.00279915999546319,0.105724468871782,-0.0602424848087127,-0.0220320730818946,-0.0445541014148842,0.033701877988242
"FOXC2",0.000129276374769562,0.0652018838527255,-0.098064647736687,-0.000299037465248727,0.0775482617984763,0.00138518656005674,-0.000172944168772379,-0.000239294402199288,-0.0013186102819801,-0.00185186248192857,0.0981875321579265,-0.00937453161613774,-0.00414828171452966,0.0230222888555342,0.0173745891006422
"ZEB1",0.000329184565082159,0.0648693571347158,-0.0983962587492574,-0.000403795566638363,0.078062032035647,-0.0982348502332142,0.000228146241520539,-0.000554093813549982,-0.000239294402199288,-0.00138518656005674,0.0982322133342172,-0.00926933207274853,-0.00465479535072555,0.0220873885518237,0.0172454222858484
"miR200a",0.0107116558834193,0.18242786316252,0.0494677918897821,0.00164414777994383,0.0413635853234443,0.01094509494268,-0.0107300502487769,-0.108820121598075,-0.109485458387497,-0.0111089352862819,-0.0110180273938209,-0.0229336118582707,-0.0354804727462408,-0.0796816174440098,-0.0962094535533151
"SNAI1",0.052860832757468,-0.104989292491499,-0.0405226386163963,0.000247919897178321,0.0635339787687598,0.0694106338844493,-0.0627942742552266,0.0365885578830646,0.0363772201908088,-0.0694786451124847,-0.0507578776586948,-0.101766447671143,0.0746730806013114,0.10413371242962,0.127290391404122
"TWIST1",0.0772540245653158,-0.206032424482679,0.065873120104146,0.0161983172945851,0.160591655395424,0.10858458768155,-0.0962385849188305,0.0605308696460165,0.0598825432638114,-0.109021474969815,0.0529990069836768,-0.0966286686166848,0.124679063506872,0.201143418372474,0.163172226163218
"SNAI2",0.0959629767640874,0.134152672157152,-0.0212242211724029,-0.0402543076155447,-0.144419942563124,0.0152077228891725,-0.055194501446542,-0.186535724593487,-0.186516050835714,-0.0153996331836693,-0.0256625070984624,0.00278841385843658,-0.166068027818411,-0.221487506565123,-0.229616690331061
