"","SNAI2","ZEB2","miR101","TWIST1","miR200b","ZEB1","TGFbeta","GSC","FOXC2","miR200a","miR34a","miR141","miR200c","TWIST2","SNAI1"
"miR101",0.130210187057196,-0.104415351210342,0.0166102731451243,0.0209850556303178,0.0137995355036667,0.0797282017803698,0.0134873664968104,-0.013997579554746,0.0701635875125713,-0.0132388672617859,0.0165702306348715,-0.0798315170761482,-0.0905416611198692,-0.046923632222656,0.000418105498079803
"TWIST1",-0.116507121227262,-0.0962105518040802,-0.0751548412664931,-0.101000082451591,-0.0297969189680263,0.113396400434565,0.0204860562357619,-0.020899113662775,-0.005209124296026,0.0105829324917962,0.0342453050872961,-0.11359526841682,-0.107129753248743,0.121390219876666,-0.00213073077892578
"ZEB2",-0.131735152068302,-0.079754405501576,-0.0259895578811718,-0.015689812846747,-0.0149060043763494,-0.0099688293587001,-0.000636259495481365,0.000727597598693421,0.00296675248207497,0.0082370066749383,0.00905489663457338,0.00963289314178982,0.0155977474593956,0.0694890809895131,0.0802628405166643
"TWIST2",-0.0728666755460776,-0.0620824680219155,-0.0487267068990416,-0.164128848661059,-0.0270338252045759,0.0549809341212357,0.018724344278461,-0.0191221779805781,0.0612625050500697,-0.00444268289579666,0.00733767683326619,-0.0549756570299684,-0.0579630433142752,0.0859738771839398,-0.0121400637529867
"miR34a",-0.115789788440056,-0.0541616589544655,-0.096494586606871,-0.103835931915651,-0.0895136337957647,-0.0215758074730242,0.0543839730134137,-0.0543554565375648,0.120145221472974,-0.0717403575227248,-0.0433508264666563,0.0208279648927078,0.031599965223181,0.186579734984648,-0.0704230411959961
"SNAI2",0.227670245208093,-0.0506329084959642,0.265852323676603,0.152207940505541,0.204927833957873,-0.0206955316419704,-0.185947406213774,0.186146709933825,-0.0394141497209833,-0.035472359743347,-0.011697701893769,0.0208385433273983,-0.0147132719599028,-0.321369294856268,0.00272600908754764
"ZEB1",-0.118329442573518,-0.0248462899821535,-0.0907850170869663,-0.0867870730850113,-0.0246068865105376,-0.0906060363900648,0.0109699389717721,-0.0101714233917606,0.0979813022129006,-0.00461005170688142,-0.00202446094445725,-0.00947416692533972,-0.0135170617885011,0.105304226837333,-0.0579346291777226
"GSC",0.0115559951528704,-0.0183964455690672,0.0897765265669774,-0.00955267099913065,-0.0776076678195378,-0.118473553930095,0.0484804328565507,-0.0483207962978858,0.0864619832815072,-0.0751785133805697,-0.0175914745647082,0.118592460578549,0.0454716164137749,-0.0152033203214777,0.0655855207461579
"TGFbeta",0.252495905116467,-0.0115427697943502,0.0845958282664981,0.0743919195370803,0.164522505763553,0.072100297404657,-0.130015789952853,0.0297286376007847,-0.0282120961399051,0.0293690569436491,-0.0606063783269259,-0.0725216849399949,-0.0395695406446514,-0.222570872168056,-0.0847810100512629
"miR200b",-0.125739534048852,0.00157178113595336,-0.013609596716727,0.00251155536848088,-0.0681729373130432,-0.00147581564631895,-0.0780157973069307,0.0776777536598817,-0.00921253866609828,7.27733721697255e-05,-0.00443238625273761,0.000775097340631745,0.00135163064352982,0.0535597860991374,0.0969898449885791
"miR200c",-0.251801495648648,0.00574880410016993,-0.0827797339222691,-0.0723392496973127,-0.0308481297881712,-0.01408882797016,-0.0866325959017995,0.0862826072495545,0.0297928692042736,-0.00440154023867466,0.0836807665380622,0.0147951001857999,0.00994735027158626,0.183131901209516,0.0877346215018094
"miR141",0.207908154736528,0.0191799501944618,0.0725059961685927,0.065348147057185,0.0603102377894957,0.00361003380072156,0.0721089303498311,-0.071469872571841,-0.0282003797742615,0.0111219709768677,-0.0841035847098457,-0.0040339822604372,0.00769560444777989,-0.157965183360173,-0.0621845085267655
"FOXC2",0.118613464583876,0.025169993170319,0.0905278684740283,0.0863927842983454,0.0250091450631449,-0.00947416692533972,-0.0101714233917606,0.0105201254452283,-0.0972949445357201,0.00522065831995361,0.00290560038234849,0.0081766583553757,0.0127212474823643,-0.105882597364205,0.0587812198863896
"miR200a",-0.169632874960972,0.0265005354305851,-0.0238833344704034,-0.00447954727164684,-0.0387108293117188,-0.0119546098157574,-0.0925394628588991,0.0924904883375952,-0.00762004923608619,0.00679320411036275,-0.00485520442452113,0.0115362152659944,0.018994585362896,0.0787265039484801,0.122539957963623
"SNAI1",-0.149053584666518,0.029539342541046,-0.0309953530246044,-0.0424497858456899,-0.0411613430304972,-0.0426053587161147,0.00777410753236826,-0.0074485761152162,-0.0490112429464149,0.00795199307942237,0.0256058502649802,0.042172250850307,0.0377084605401467,0.1102199096605,-0.109444809255647
