"","ZEB2","SNAI2","ZEB1","miR141","TWIST1","SNAI1","GSC","miR200b","TGFbeta","TWIST2","miR200c","miR200a","miR34a","FOXC2","miR101"
"TWIST1",-0.151796107620449,0.232079967522651,-0.121548842758948,-0.121759119073953,0.136712388119417,0.00113969718608562,-0.037861291346814,0.163223106610337,0.0377663817114809,-0.215678385676409,-0.00914267860574626,-0.00914267860574626,0.09175024042204,-0.206339377015099,-0.150866359779946
"SNAI1",-0.103534083430365,0.157254856191829,0.0976204480055509,0.0976151925924754,0.0597538491290713,-0.0615787046470716,0.020394353129203,0.0472121265198977,-0.0203939566232138,-0.106465730763878,-0.0988442371367221,-0.0988442371367221,0.0147916636912714,-0.137301242633068,-0.150398344225894
"SNAI2",-0.0903107375168485,0.330269070392663,0.207924781755713,0.207255942561803,0.179558438939942,0.0398756513703031,-0.152050257896209,0.207891247981997,0.15173633315261,-0.327877270857095,-0.151662576015346,-0.151662576015346,-0.118147472002562,-0.0740603573246419,-0.336923857619454
"ZEB2",-0.0901537390913641,-0.0630657757107822,-0.044551680972435,-0.0442724806499363,-0.0306563729637449,-0.0268180260145448,-0.00909317233458152,0.00386695435361843,0.00924032816753428,0.0178407152457687,0.0254773828177327,0.0254773828177327,0.0308449707597433,0.0368773456458176,0.0449236081243459
"GSC",-0.0598046974166145,0.0505260818686431,0.0618422199216394,0.0619704622160464,0.0851874207721922,-0.0195397079772234,0.0244079318344443,0.0120359186122925,-0.0243492512022078,-0.00261001978079908,-0.061509538319513,-0.061509538319513,-0.0467054625631804,-0.143632225789315,0.0319302781517997
"miR200a",-0.0119359901000407,-0.273425748602852,-0.253503418614206,-0.253158150545486,-0.124397884443124,-0.103561049264894,-0.143501255071608,0.0681137511752675,0.143674457646951,0.0881428634873213,0.122392808200466,0.122392808200466,0.133501429736952,0.157052949952637,0.188656047108911
"miR34a",0.000220610860209068,-0.197227748818025,-0.178514505415031,-0.178218671157707,-0.0660799844618096,-0.12580323980847,-0.0328331353895901,0.00527684125729574,0.0329720773676627,0.0425659263248545,0.144984592712015,0.144984592712015,0.0424137792678231,0.137673715516806,0.165508211771081
"miR200c",0.0601255482019285,-0.111406938445615,0.22032294334175,0.220154474739855,-0.0707231185809115,0.0040876678282384,-0.0347352164597971,-0.132655652381046,0.0346456289208265,0.143926397722166,-0.0822021369519434,-0.0822021369519434,-0.191506120719489,0.0606855527396949,0.053459089034663
"miR200b",0.0601255482019285,-0.111406938445615,0.22032294334175,0.220154474739855,-0.0707231185809115,0.0040876678282384,-0.0347352164597971,-0.132655652381046,0.0346456289208265,0.143926397722166,-0.0822021369519434,-0.0822021369519434,-0.191506120719489,0.0606855527396949,0.053459089034663
"miR141",0.065020875712091,-0.13313216206788,0.197131889623952,0.196973603190302,-0.0831884920873343,-0.00530288647691422,-0.0438543433430461,-0.161686630419679,0.0437623668030363,0.150545562909158,-0.0678011667691283,-0.0678011667691283,-0.17727823923267,0.0756974277944041,0.0691019953800539
"miR101",0.0723751773683273,-0.194859176794134,-0.24003728473228,-0.239542530626094,-0.075396621566024,-0.0758306165420407,-0.0644495392085381,0.0287906787628224,0.0646993676713893,0.0470318163727042,0.159479153730006,0.159479153730006,0.108081180745338,0.170518608918185,0.186542728747081
"TWIST2",0.0730450541694337,-0.225209697249089,-0.11520847680542,-0.11510029643444,-0.108837167579283,0.00197435103145988,-0.0170585965706835,-0.0430302928414622,0.0171066987964017,0.14328683353363,0.0961339139766436,0.0961339139766436,0.0744778208448257,0.0621036414035423,0.107056189427978
"FOXC2",0.0908946347959279,0.210995056611948,0.277868200506174,0.277275511406314,0.0613116082962526,0.151566682515209,0.102344955981482,-0.236512228462074,-0.102649378409113,0.04944391076684,-0.208498483552691,-0.208498483552691,-0.226490808927262,-0.164413447832962,-0.181616432815169
"ZEB1",0.0909055927263599,0.211735022874229,0.178236634486314,0.277868200506174,0.0619508340564533,0.151752462142944,0.102649378409113,-0.236503924959842,-0.102841329269692,0.0490239979185632,-0.208838223914657,-0.208838223914657,-0.226755673025866,-0.164985669626746,-0.182494530152437
"TGFbeta",0.115826225575604,-0.295967017965619,-0.132622402815433,-0.131961298171385,-0.134599180279767,-0.0484575748215151,-0.0285537801769898,-0.145464174899161,-0.0711187370844156,0.221723674445128,0.124461477711067,0.124461477711067,0.00450305159966108,0.147425161894534,0.174495700046027
