"","ZEB1","miR141","miR34a","miR200a","TWIST2","miR101","FOXC2","TWIST1","SNAI1","SNAI2","GSC","TGFbeta","miR200c","ZEB2","miR200b"
"SNAI1",-0.120099441014151,-0.120334388892819,0.122304673802478,0.185723406861831,0.169405557060333,0.295913632556278,0.326320486993496,-0.314302319904501,0.195247316966615,-0.197234469351462,-0.0197613313459165,-0.0202621184103051,-0.185723406861831,-0.273878995176425,-0.103230526162958
"miR200a",0.273201924464304,0.273028827604114,0.160526164852182,-0.016314893739056,0.131213586459187,0.0233454221683915,0.00587672729086168,0.0454028019581582,-0.0656994118194148,-0.111627280879981,-0.221071476340655,-0.221454911007449,0.016314893739056,-0.248488575088821,-0.256714668936733
"TGFbeta",-0.107140082885431,-0.107299162170924,0.0582623462556501,0.131829648735508,-0.00841343610956558,0.0701124756802367,0.0759083927770682,-0.114910162435163,0.131560691042811,-0.00894930041668473,0.19489855912458,0.0946033406952071,-0.131829648735508,-0.162619732307726,0.0467758562433271
"miR200c",-0.117171020428909,-0.117115481329383,-0.156620798063487,0.135700557817367,-0.0916989629778989,-0.0887282218390324,-0.0894827257688373,0.149016092886319,-0.160356004459214,0.0176024707883321,-0.0987989713935602,-0.0986186018150994,-0.135700557817367,-0.156533192606462,-0.0364649154048294
"miR141",-0.117171020428909,-0.117115481329383,-0.156620798063487,0.135700557817367,-0.0916989629778989,-0.0887282218390324,-0.0894827257688373,0.149016092886319,-0.160356004459214,0.0176024707883321,-0.0987989713935602,-0.0986186018150994,-0.135700557817367,-0.156533192606462,-0.0364649154048294
"ZEB1",0.0876940978133373,0.187520156873054,0.216982724862423,-0.143537925569387,0.248403951709466,0.154671401634667,0.163695454613627,-0.126842229556208,0.133497699883521,-0.173705336241898,-0.117413495028086,-0.117756447232322,0.143537925569387,-0.115973063745721,-0.261950940778183
"FOXC2",0.187520156873054,0.187256383525909,0.216720845148028,-0.14366583463241,0.247881041370102,0.154260200857296,0.163209605920791,-0.126597292582673,0.133351898150362,-0.173424547878716,-0.116760370546988,-0.117413495028086,0.14366583463241,-0.115658245366014,-0.261509009937131
"miR34a",0.026529607638782,0.0262606674048512,0.121436694765729,-0.00938877805794215,0.328960676675754,0.252981000843876,0.317004597826369,-0.29023810868229,0.287905503496202,-0.231439111194396,-0.0626254594428469,-0.0632145976992161,0.00938877805794215,-0.108212309805918,-0.142242186543591
"GSC",-0.116636432408824,-0.116568134788431,-0.123745078102632,0.110277619801986,-0.0965595485754643,-0.161153275934868,-0.190930360187807,0.0634217467414784,-0.157270531147732,0.0646438479175679,0.0225996460572278,0.0227984030373836,-0.110277619801986,-0.101889227542974,0.0187251947274738
"miR101",-0.049548367388074,-0.0493516250591494,-0.12211867751227,0.039440146991446,-0.165183051804929,-0.2956830487673,-0.315459393182247,0.307682730377063,-0.29505034623683,0.196737201974573,0.0195756631489401,0.0200225394134768,-0.039440146991446,-0.0273586818955839,0.0406092639285132
"TWIST2",-0.233871794781858,-0.233985252244105,-0.0333475516738207,0.101579926308055,0.128755437710045,0.196185280640732,0.257310886015732,-0.339104883327546,0.238696458989799,-0.16744851085522,0.0455255950167126,0.0453122474979386,-0.101579926308055,0.0308398184815708,0.0401834540312502
"SNAI2",0.0323188698163268,0.032358055687978,0.0189103503408849,-0.0387739260053229,-0.0839119447044774,-0.0410140827094643,-0.0313959450684934,0.0728429757330466,0.00245203686123161,-0.0144635349954233,0.00507624846826655,0.00511987288767685,0.0387739260053229,0.0463624730351952,0.026873926952162
"miR200b",-0.273201924464304,-0.273028827604114,-0.160526164852182,0.016314893739056,-0.131213586459187,-0.0233454221683915,-0.00587672729086168,-0.0454028019581582,0.0656994118194148,0.111627280879981,0.221071476340655,0.221454911007449,-0.016314893739056,0.248488575088821,0.256714668936733
"ZEB2",-0.244483144716473,-0.244124315068484,-0.195847300850893,-0.167198446629609,-0.140132630440445,-0.0437009742636559,-0.0335146791347329,0.00131481272812668,0.00349066721458096,0.0911802463506767,0.155272269380532,0.156124758343845,0.167198446629609,0.25188585842929,0.386541998812442
"TWIST1",0.105159194505392,0.10538813900126,-0.0278203612184444,-0.176549763184897,-0.147361204562431,-0.176197699463904,-0.351023703958559,0.226760284555376,-0.22874208871413,0.157712105179861,0.0189652863948246,0.0194532021257625,0.176549763184897,0.271172691273181,0.0956966683264037
