"","miR200c","miR200a","TGFbeta","miR141","FOXC2","SNAI2","miR101","TWIST1","miR34a","TWIST2","SNAI1","ZEB1","GSC","ZEB2","miR200b"
"miR200c",-0.0140662916719886,-0.0140662916719886,0.00867999419127031,0.31801477089187,-0.0929851922342236,-0.215448183040605,-0.145036231025975,-0.0664865818371579,0.272011998850004,-0.000439005587662893,0.0690071107367565,-0.318561831022202,-0.00781637031559392,-0.304153633638906,-0.208808973493842
"GSC",0.184820793305661,0.184820793305661,-0.00655241852902372,-0.105941370978757,-0.233357964411483,-0.169205061045123,-0.190279124185806,-0.174724170351272,-0.0024621503785563,0.0892515353962686,0.106779386380191,0.10572959922056,0.00685970313009007,-0.288330807482542,-0.0267993121091188
"miR200a",0.267035533522833,0.267035533522833,0.0844671065410491,-0.263257982475154,0.139863786867473,0.25644058350566,0.185185080791416,0.0959489885947058,-0.245404615581213,-0.0332822949191874,-0.111595417121407,0.263078406053353,-0.0840812828732158,-0.272685366285582,-0.0578815281456178
"miR141",-0.0358009586898221,-0.0358009586898221,0.230889529423747,0.287769381058528,0.273376087171238,0.261386064034942,0.264700788125034,0.153520863803333,0.12187031600109,-0.202119845285688,-0.26916322010398,-0.288136864767059,-0.230107131583404,-0.222731437511757,-0.279789331826
"miR101",0.232863007683734,0.232863007683734,-0.0480179222103516,-0.297071345326972,0.162451236168553,0.226250549927087,0.236574693885682,0.167786997177893,-0.253877263545848,0.0171532656930815,-0.142640451981115,0.297041680539076,0.0481287615987997,-0.166022643816203,0.0183703796451805
"SNAI1",-0.0531931765378279,-0.0531931765378279,0.0547488219137082,0.231742152532052,-0.181024615134691,-0.268403778386618,-0.270578448271601,-0.158065183477651,0.275466676198628,0.0405137883293146,0.0646035966489509,-0.231865809310298,-0.054586650964116,-0.156601412174913,-0.0637838961371152
"TWIST2",0.183265209597672,0.183265209597672,-0.0655101422447447,-0.269374604154037,0.0817418875278543,-0.0462125937526616,0.000202680238680779,0.197955012919386,-0.189874933180158,0.139893555222751,-0.0339565874208795,0.269436609976428,0.0653873400920286,-0.0934384576916691,0.0834293121061815
"SNAI2",-0.00585263168768122,-0.00585263168768122,0.254568025966135,0.0965107597204097,0.0433555465780208,0.317574161106084,0.354552561913444,-0.100124275499619,0.030642458319821,-0.38083234831797,-0.0924084435941752,-0.0968326197431174,-0.253898262821071,-0.0890303990607396,-0.321798194923558
"ZEB1",0.319255087335746,0.319255087335746,-0.14475721095259,-0.360275401764829,-0.207081570147186,0.0161542021666585,-0.0947193182856209,-0.0657265214014044,-0.272286347139212,0.179167249877092,0.208465098358637,0.260326030107678,0.144583175505664,-0.0613379507978446,0.263977553961781
"FOXC2",-0.318500944760549,-0.318500944760549,0.144583175505664,0.360058616382357,0.206237890036135,-0.0172434023240294,0.0931183607921681,0.0656100269871622,0.272424374908907,-0.177941843829291,-0.208012407493586,-0.360275401764829,-0.144123774387604,0.0606156158701817,-0.263947107786928
"TWIST1",-0.0364357661671958,-0.0364357661671958,-0.0129169607221979,-0.044108187999947,-0.136739347627978,0.0499388763454092,-0.0652596541801883,-0.20895159584717,0.0688045319478291,-0.0969991746054316,0.211464858585842,0.0440845934935778,0.0129076034342073,0.109417526837302,0.0227357767799316
"miR34a",-0.188903194531966,-0.188903194531966,0.0252742369068129,0.148775390835774,0.12783849454103,-0.0493419463362294,0.0399255276929191,0.037886108274676,0.0231148345571266,-0.0380677319431744,-0.122774136056518,-0.148659321892709,-0.0254362347589762,0.145560493992741,0.00547485182428233
"TGFbeta",-0.0531745930758936,-0.0531745930758936,0.0961954532994469,-0.0402132668471924,0.208408619633621,0.379542432443057,0.295565306006017,0.104717317183308,-0.178362969530452,-0.216586528285801,-0.206748912724567,0.0403315565723021,-0.19624546297874,0.15835221811774,-0.105856431985715
"miR200b",0.0358009586898221,0.0358009586898221,-0.230889529423747,-0.287769381058528,-0.273376087171238,-0.261386064034942,-0.264700788125034,-0.153520863803333,-0.12187031600109,0.202119845285688,0.26916322010398,0.288136864767059,0.230107131583404,0.222731437511757,0.279789331826
"ZEB2",-0.296954134428095,-0.296954134428095,-0.148218988171346,-0.122669352326927,-0.1136380052137,-0.109988311101223,-0.108699580548203,-0.0722598306868616,-0.0638556757455647,0.0888044224723161,0.111340473067629,0.123607485317854,0.146590125330731,0.395525500766968,0.409605549237663
