"","miR34a","FOXC2","ZEB2","TWIST2","miR200c","miR200b","miR200a","miR101","SNAI2","TWIST1","GSC","TGFbeta","SNAI1","miR141","ZEB1"
"SNAI1",-0.219570310660453,-0.298038108228855,-0.128837851734777,-0.14301372582104,0.0165233426405532,-0.0207045509608065,-0.109024607006159,-0.233221014028455,-0.102180095747079,0.292339308889073,-0.0117010015054509,-0.0116760216281299,0.164817726566493,0.092997614247878,0.0929280573101145
"miR101",0.020361824935704,-0.197730226446313,-0.122589735817854,-0.0147665979575945,0.145705009587824,0.11857600133239,0.0255723060132039,-0.18787234893173,-0.0899646911839751,0.216409796812085,-0.0922098502885771,-0.0915835197760769,0.182593671207643,-0.164885979456274,-0.164603311534821
"TWIST1",0.05782900656817,-0.295505437955252,-0.121640411950381,0.079749258879952,0.171908802337656,0.128540923639047,0.0529435568889837,-0.0977948352726486,0.00516513234580621,0.128752260334052,-0.105390725086431,-0.104702296041409,0.197223472132802,-0.210153222864403,-0.209829900343058
"TGFbeta",-0.141663926142064,-0.108829094695044,-0.0944918732632335,-0.013443863319027,0.0097276466000933,0.0737575632120969,-0.0856141283696512,-0.0557139210834455,-0.000735460091169828,0.0100029117626117,-0.00406810360114189,-0.104573040040453,0.10883423728945,0.0786214901807554,0.0783651434820428
"ZEB2",-0.19186750761622,-0.133326105582796,-0.0937498725050409,-0.0837905901316219,-0.0800767399714678,-0.0761416489105305,-0.0661622610689162,-0.0583418182779331,0.0191236278687171,0.0402827970527496,0.0464397805355863,0.0488221827277008,0.13853975437385,0.158708422522355,0.159981994046909
"miR141",-0.218904917289015,-0.136663861018167,-0.0478605898948272,-0.106358494963096,-0.0825081190366489,-0.0289674627747377,-0.129030988849367,-0.0702655789839404,0.00219182477237617,0.0473631031797439,0.122968872687493,0.124002115636954,0.143689884769806,0.210906757511415,0.211292754253121
"ZEB1",-0.307250495132007,-0.192620185387505,-0.0362471280045909,-0.238598000265102,-0.236853459395543,-0.2354630613218,-0.269076304656081,-0.1267834725231,-0.0846166681379747,0.145075574318454,0.116740744116464,0.116601259824443,0.174329870211132,0.292582720997842,0.192477955417095
"FOXC2",-0.307479546620095,-0.192402710258331,-0.0361775303383339,-0.238759098905007,-0.237171206343957,-0.23577121351577,-0.2692296797769,-0.12680598783944,-0.084459836249902,0.144773883655929,0.117344054018495,0.116740744116464,0.174481551046435,0.293017359671073,0.292582720997842
"SNAI2",0.0322965307592635,-0.0187640509769585,-0.0215951984687731,0.00815429163429155,0.055313424882567,0.0361285262065631,0.0335213564262716,-0.0357299309858891,-0.111480275868358,-0.0171396758082698,-0.0291404376370635,-0.0297109766124884,0.0541602808697771,-0.0872560488615841,-0.0875980042030873
"miR200a",-0.299733475874301,-0.191299677391847,-0.0141994274822091,-0.137608485937119,-0.143611915008151,-0.114579277734501,-0.155696900298448,-0.092451677504472,0.0087728532510675,0.0637995846849066,0.172511401976765,0.171301372950402,0.19482259029109,0.293914573260012,0.293220334515936
"GSC",0.0342808923633061,0.162778686022836,-0.00665320029711154,0.0259944616274344,-0.0484664436868529,-0.0341525011708868,-0.0676423819629091,0.180348774273033,0.0173166110378136,-0.335577554773379,0.0195535274736413,0.0206899126205007,-0.244472006712004,0.114829489378686,0.115445642011584
"miR200c",0.299733475874301,0.191299677391847,0.0141994274822091,0.137608485937119,0.143611915008151,0.114579277734501,0.155696900298448,0.092451677504472,-0.0087728532510675,-0.0637995846849066,-0.172511401976765,-0.171301372950402,-0.19482259029109,-0.293914573260012,-0.293220334515936
"miR200b",0.299733475874301,0.191299677391847,0.0141994274822091,0.137608485937119,0.143611915008151,0.114579277734501,0.155696900298448,0.092451677504472,-0.0087728532510675,-0.0637995846849066,-0.172511401976765,-0.171301372950402,-0.19482259029109,-0.293914573260012,-0.293220334515936
"TWIST2",-0.0412022177959702,-0.0345903466221808,0.0876059183817555,-0.114346566549163,-0.0284857137493977,-0.060895670503982,0.0569470639234578,-0.0953080435011701,-0.0988988761964387,0.0249421004915215,0.0406047609604851,0.0401243046118402,0.0859528135748532,-0.031885096036412,-0.0320873845349915
"miR34a",-0.000376832116644198,0.142207756825589,0.0979246843535349,0.17054105563738,-0.132739548346653,-0.0376297766440522,-0.0543366484402009,0.0697202293460034,0.0558404810451216,-0.12219664263563,0.0508378329706543,0.051440319364655,-0.0898627316473092,0.091337410105884,0.0916549483119111
