"","ZEB2","SNAI2","SNAI1","miR34a","miR200c","miR200b","miR200a","miR141","GSC","ZEB1","TWIST2","TWIST1","TGFbeta","miR101","FOXC2"
"ZEB2",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
"TWIST2",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0.1
"TWIST1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0
"SNAI1",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0
"miR200c",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0,-0.1,0,0
"miR200b",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0,-0.1,0,0
"miR200a",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0,-0.1,0,0
"miR141",0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0,-0.1,0,0
"miR101",0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1
"GSC",0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0
"FOXC2",0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1
"ZEB1",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0
"TGFbeta",0.1,0,0,0.1,0,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0.1
"SNAI2",0.1,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0
"miR34a",0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1
