"","miR200a","miR200b","TGFbeta","GSC","SNAI1","SNAI2","miR141","TWIST2","miR34a","miR101","FOXC2","ZEB1","TWIST1","miR200c","ZEB2"
"miR200b",0.155936314524345,0.127976746368123,-0.0636880209044665,-0.0640188975483979,-0.0593896729095955,-0.0608658630102948,0.014608321153058,0.022710645061653,0.0986172665814513,-0.000511675644952246,0.0196419574668818,-0.0147990053947641,0.0691961998209914,-0.155936314524345,-0.303323605299889
"TWIST1",0.138307504139357,0.121474357709864,0.0255253096516841,0.025695077590942,0.00187917776699945,-0.0819657261899932,0.0292990536961108,-0.0656855676883024,0.0208139168016329,-0.0245053510900484,0.186370763598675,-0.0289881766286746,0.0102297230168191,-0.138307504139357,-0.293528737006504
"miR200a",0.135186847970574,0.0423977256893644,0.156416216496261,0.156716036126682,0.15972232241043,0.14003285930202,0.0161107813610333,0.083017467583269,-0.00129355777826839,-0.00924958107808053,-0.069145013725204,-0.0157386693942087,-0.109335571107125,-0.135186847970574,-0.257355617010172
"GSC",0.0661515436178159,0.0083650765761974,0.0287474851203985,0.0288743110029741,0.13079641088216,0.0145673673162469,0.0581882247394307,-0.00810211350829096,-0.0345158297369446,-0.106339625252686,-0.0576655784602824,-0.0581656226492288,-0.224947945954328,-0.0661515436178159,-0.0770049501925152
"ZEB1",0.00963345033061445,0.0193527244685975,-0.000495438596380927,-0.000460887441476582,-0.108814321753463,-0.0888131138678958,-0.00560335881025973,-0.086707779991811,0.0142490149296271,0.00983414982295287,0.0991635495178869,-0.0943008984819761,0.0194406180042462,-0.00963345033061445,-0.0290968684079295
"FOXC2",0.00943377328652923,0.0193259687391809,-0.000460887441476582,-0.000903683699848199,-0.108957771845765,-0.0888858709293728,-0.00576674877832927,-0.0865651680810755,0.0140975574309887,0.00979741430681887,0.0993131600677442,0.00560335881025973,0.0191956810307114,-0.00943377328652923,-0.0290349709090031
"TGFbeta",-0.00109476051445465,-0.138566329681777,0.106522634910599,0.206279039375979,0.120626555073004,0.10076748578354,0.0599329007510167,0.0697502789050942,-0.0819395092549082,-0.0101593797758817,-0.0617224512155652,-0.060249490492756,-0.0929106994014635,0.00109476051445465,0.0645209536908997
"SNAI1",-0.0317130825518038,-0.0198276480415257,-0.0141827429999622,-0.01378584050475,-0.0725923579416129,-0.0924940136916998,0.0557403236588481,-0.0795470958216554,-0.0374005083478315,-0.110582149698072,-0.125499038295263,-0.0554253080162656,-0.041974875385977,0.0317130825518038,0.110019253537433
"TWIST2",-0.0684869640397247,0.0392454935587958,-0.0450923672925936,-0.0455965917998287,0.0106603177560699,-0.203628834442164,-0.0197233622952242,-0.174590173933667,-0.0173366550483967,-0.127067198560396,0.0189335954838891,0.019310869661164,0.000638148140066088,0.0684869640397247,0.112922197532863
"miR34a",0.0133398100898387,-0.107795300444539,0.0262093472923991,0.0263410084681274,0.106960001573264,0.0413724019202126,0.0587163532869351,0.153622990908424,-0.0277572219070939,-0.0366321989165953,-0.10111735774865,-0.0587158814619633,0.0117167000490872,-0.0133398100898387,0.150138154111434
"miR101",-0.0803574702474071,-0.109717787656626,-0.013057689209788,-0.0124841393584536,-0.01604240290297,0.104091782825895,0.00469776258877418,0.0700377440949618,0.00811792030221699,0.110003262045784,0.106614220224349,-0.00434349000688061,0.0416304308450219,0.0803574702474071,0.173792834082187
"SNAI2",-0.116675022835943,-0.258255496143234,0.163400585864263,0.163827420869866,-0.00717689600565935,0.072297856342006,-0.0296463146733526,0.176514159494608,-0.0164369575483979,0.188711649132699,0.052434261703671,0.0297652119762259,0.121060601773744,0.116675022835943,0.207769249101232
"miR141",-0.135186847970574,-0.0423977256893644,-0.156416216496261,-0.156716036126682,-0.15972232241043,-0.14003285930202,-0.0161107813610333,-0.083017467583269,0.00129355777826839,0.00924958107808053,0.069145013725204,0.0157386693942087,0.109335571107125,0.135186847970574,0.257355617010172
"miR200c",-0.142876758252943,-0.0922438509960034,-0.148590333497956,-0.148507912962103,-0.0866640132578649,-0.0829940968535445,-0.011360021784687,0.00532900442658979,0.0872923182613745,0.00108123276429032,0.0295799686793754,0.0111295345216539,0.0928504178215643,0.142876758252943,0.279953765661276
"ZEB2",-0.385694022830385,-0.310608398377745,-0.128322958431911,-0.127460320790464,-0.0726157035950102,-0.0637346097002367,-0.0502321011520537,-0.0468393141667321,-0.0240458967028766,0.00387227154213038,0.0236592911612421,0.0505331995390622,0.058069304329338,0.385694022830385,0.409860317726737
