"","miR200b","TWIST2","SNAI2","SNAI1","TWIST1","miR101","TGFbeta","GSC","FOXC2","miR34a","miR141","ZEB1","miR200c","miR200a","ZEB2"
"miR200b",0.13090548992284,-0.0158477401066677,-0.0760158360774724,-0.0945336297766449,-0.100126300863721,-0.00810658091212983,0.0757225909103592,0.0752197061916043,0.0345485261762007,-0.0250662062404391,-0.0389047229881603,-0.0389834033791556,-0.133572993486525,-0.133572993486525,-0.316148749467102
"miR101",0.17694351285805,0.109150296486893,0.100835830307245,0.0703874065027502,-0.00875002039394998,0.0359310794596491,0.0694987673239219,0.0692876446792589,-0.159574071865153,-0.119063761297246,-0.150733729289149,-0.150803629076722,-0.0108281202341602,-0.0108281202341602,-0.186667995378575
"GSC",0.0364952651730718,-0.0484397412196085,-0.011017794390143,-0.145393282065213,-0.199055680441927,-0.115213847281361,-0.0568500914502505,-0.0566639539608981,0.0782729703942192,0.0856492807945627,0.0617596164222907,0.0614849518913577,-0.105664966552621,-0.105664966552621,-0.163505868702166
"TWIST1",0.061896080582994,-0.0430711437009669,-0.0298390448129217,0.0574845099586901,0.119789772063599,0.0411401372476457,-0.00306203341502421,-0.00270378296052736,-0.241925901301121,-0.077121260143877,-0.0158477847446345,-0.0161529576456957,-0.0551709070814798,-0.0551709070814798,-0.153630814332209
"TWIST2",0.141221754329809,0.162379991553622,0.133393853325907,0.0399646908188459,-0.110489434780021,-0.0408388870013355,0.081426248706436,0.0815716872006666,0.019368414193395,-0.105255568461229,-0.155404781203824,-0.155359925928052,0.0210563337494451,0.0210563337494451,-0.121057060724821
"TGFbeta",-0.107058108716625,-0.166406350147215,-0.115929111062836,-0.136368322920882,-0.0657048804826081,-0.00990378966767392,-0.164439821549615,-0.0649979940991405,0.0801241685621952,0.167713387893934,0.102815062432836,0.102727521760938,-0.0984085070040392,-0.0984085070040392,-0.0925826956632623
"SNAI2",0.0400552621026597,0.0847633484070096,-0.0315389278798308,-0.027768215580524,-0.11259100871876,-0.0460842281598897,0.0135885095321549,0.0136167370976557,0.0435357969304356,-0.00313865555486775,-0.0254317694330332,-0.0256698989607597,-0.00622097145737763,-0.00622097145737763,-0.0397372341292822
"FOXC2",-0.0180920830321786,-0.0894256325932515,-0.064961964077704,-0.040393211508924,0.054042249667761,0.00736897794613989,-0.0137848141943235,-0.0130486654147807,0.0771377095602824,0.0139284124309563,0.0243434085351978,0.0239536220100646,-0.00848532538765859,-0.00848532538765859,0.0137835049101729
"ZEB1",-0.0182129451202326,-0.0908543926619165,-0.0641465460479652,-0.0407083313838167,0.0534747127778631,0.00864761091093305,-0.0136133380922057,-0.0137848141943235,0.0764081653326276,0.0134591180139931,0.0239536220100646,-0.0757195494796619,-0.00838288238243226,-0.00838288238243226,0.0139040421449244
"miR34a",-0.154251446995746,-0.291623980180837,-0.155330167036292,-0.111774158456581,0.0698775369336456,0.0255722245130189,-0.140154984008186,-0.140138602202911,0.108765564905052,0.145542626177012,0.164705934198572,0.164678096525235,-0.123912048808994,-0.123912048808994,0.0306462694126437
"SNAI1",0.0460980863884804,0.10982209745607,0.0964878910561986,-0.0362720023736238,0.000892208080573432,0.0329111073858692,0.0783667608915694,0.0781173586243481,-0.149647259352677,-0.140199158111183,-0.114940234833781,-0.114941780543509,0.0931489220535487,0.0931489220535487,0.0612745715912246
"miR200c",-0.202641458644832,-0.15059469382834,-0.137844966366835,-0.139986604756932,-0.0608327584425812,-0.00148388249501737,0.0726820093214598,0.0736340262355872,0.067025908341443,0.167943962410873,0.0758917929960628,0.0761648602353993,0.098706419809187,0.098706419809187,0.283902235040539
"miR200a",-0.202641458644832,-0.15059469382834,-0.137844966366835,-0.139986604756932,-0.0608327584425812,-0.00148388249501737,0.0726820093214598,0.0736340262355872,0.067025908341443,0.167943962410873,0.0758917929960628,0.0761648602353993,0.098706419809187,0.098706419809187,0.283902235040539
"miR141",-0.13090548992284,0.0158477401066677,0.0760158360774724,0.0945336297766449,0.100126300863721,0.00810658091212983,-0.0757225909103592,-0.0752197061916043,-0.0345485261762007,0.0250662062404391,0.0389047229881603,0.0389834033791556,0.133572993486525,0.133572993486525,0.316148749467102
"ZEB2",-0.433033977319271,-0.118809912168395,-0.0712395539615752,-0.0679342776457903,-0.0175462235741268,0.00252483924971962,0.0197202727123336,0.0199714524961667,0.0294687344596892,0.171406622345977,0.171463872473331,0.172213881182789,0.287213615795514,0.287213615795514,0.421911029638566
