"","miR200a","miR200b","ZEB1","miR34a","SNAI1","FOXC2","SNAI2","miR101","TWIST1","TWIST2","miR200c","GSC","TGFbeta","miR141","ZEB2"
"miR200b",0.266299701943473,0.187184226006183,0.237612618241613,0.248341363372545,0.174294899662034,0.117702992381274,0.089868326859127,-0.0410171457808557,-0.157749468364812,-0.0668740572485621,-0.026775204111368,-0.25412767550277,-0.254272210065642,-0.23742748790986,-0.300312075010419
"miR200a",0.266299701943473,0.187184226006183,0.237612618241613,0.248341363372545,0.174294899662034,0.117702992381274,0.089868326859127,-0.0410171457808557,-0.157749468364812,-0.0668740572485621,-0.026775204111368,-0.25412767550277,-0.254272210065642,-0.23742748790986,-0.300312075010419
"miR141",0.0433298114430544,0.0659195406978091,-0.118077029284609,-0.152408106619605,-0.144268044635151,-0.0877482680050996,-0.0741131405954117,0.0348238315782214,0.129532023704313,0.0354185952847652,-0.155351740251817,0.122588398599159,0.12200428784507,0.117905783727737,-0.199084383166401
"miR200c",-0.0235739913634375,-0.0475621674480037,-0.23930695259001,-0.121609519490607,0.149356145473132,0.066909223991734,0.0950784189203509,-0.0287086473795053,-0.150722230302964,0.106425398619941,-0.219150661824761,0.0142828551717349,0.0143724427107055,0.239761447554465,-0.195035619972048
"SNAI1",-0.0285710097016916,-0.0406434077567625,-0.178074225855651,0.0474938806850235,0.0848192505052639,0.0658573347476706,0.0522358561139063,-0.116609301866911,-0.176073554119842,-0.00957033799653824,-0.164363009660783,0.0879727751496166,0.0874656439894004,0.177972518155543,-0.145660567572145
"ZEB1",0.30350106596777,0.277296783708595,0.182076960443332,0.280573648326147,0.00826367265571719,0.00301024151264295,-0.0280265264656594,-0.0135300121359627,0.00226778042412139,-0.193902204443185,0.190959375645929,-0.26121945304603,-0.261589278370747,-0.282014301603172,-0.131428057746998
"GSC",0.204556260074604,0.178168600932783,0.266821619346271,0.125826696254094,-0.0678346831220313,-0.0298417633977308,0.0287697212353823,0.0999739069728201,0.168379010119196,-0.0402639352259113,0.0855702261190751,-0.171792405487528,-0.171492692580944,-0.266712539693557,-0.120275114171862
"miR101",0.0198141538938153,0.0309221910302816,-0.0505798012651885,-0.0970035399002273,-0.195807954761017,-0.0843513661594822,-0.0588758603375484,0.117572846076861,0.185476575533177,0.056175102579413,-0.065314036452173,0.0104272792311637,0.0105557121733337,0.0506953916456138,-0.0833034997256892
"TGFbeta",0.115230425554581,0.173905363146617,0.209381443373191,-0.013442672381468,-0.150389888990424,-0.0382131693165427,-0.0622732071588449,0.0452860861540155,0.145256121157114,-0.0807479610315298,0.107834963011804,-0.111922939844328,-0.211480918807999,-0.209309590993748,-0.00757006172340489
"miR34a",-0.0705140365897269,0.00163507090738891,-0.043243996784747,-0.0513781350011565,-0.060575991259606,-0.0262615200788118,-0.0444977899483456,0.0128103624545656,0.0904966872934128,-0.143148226510165,-0.0632084496294543,0.0344228308571805,0.0348602857313743,0.0435582322159715,0.00867052919366284
"SNAI2",-0.0774413333231025,-0.0508512373219297,-0.0839145258545726,-0.102131817947218,-0.130683957543478,-0.0937823053493899,-0.1184196521088,0.053474883823874,0.0261339648748941,0.0329208280892737,-0.00562950921963703,0.0496824235215681,0.0496730143330679,0.0834901797060079,0.0741701603958285
"TWIST1",-0.058736284705758,-0.0735348083062903,0.00411539135084565,0.0443215094864674,0.159927294769845,0.154482719953774,0.0652948036351308,-0.0303832880848228,-0.155857613407574,0.0525478612120815,0.0494805697036832,0.0314328888176701,0.0311722215093609,-0.0043033695609301,0.108865978996687
"FOXC2",-0.303411355991442,-0.27710857099132,-0.282014301603172,-0.280959379985241,-0.00858349581232471,-0.00388476915974714,0.0278114889284051,0.0134980166864266,-0.00173907500563761,0.193157453353789,-0.191385932114018,0.260948240337777,0.26121945304603,0.282325062914991,0.131183133193829
"TWIST2",-0.151114580188361,-0.0631791896646355,-0.125880753467147,-0.150795564230675,-0.186337185865779,-0.108465931239756,-0.109540308520756,0.0262386675231023,0.0848198695097966,-0.047211271154554,0.0261900856037127,0.0688938749432349,0.0691626814987194,0.12588251249757,0.182254199344339
"ZEB2",-0.410662592153779,-0.376269824390324,-0.26195859239053,-0.235902788262151,-0.0778478202345027,-0.0713482438648963,-0.0427135278445626,0.0160306603568622,0.0683693772311354,0.0856816645152309,0.168072278819788,0.222178685180307,0.222645524374502,0.26168735500058,0.273634904772525
