"","ZEB2","SNAI2","TWIST2","FOXC2","SNAI1","miR34a","ZEB1","miR101","TGFbeta","miR200b","GSC","TWIST1","miR141","miR200c","miR200a"
"ZEB2",-0.0914086484963251,-0.0318798480721455,-0.0220239065618442,-0.0200548661173643,-0.0182478605497367,-0.00918415529155684,-0.0070147694159194,-0.00645502963956335,-0.00325109345134682,-0.00298387310432032,0.00319020138253878,0.00383777350988577,0.00710385472381116,0.00724742309755989,0.00724742309755989
"SNAI1",-0.0568452563953763,0.0886777330526315,0.0111881314085897,0.051855322959183,-0.0506236193949232,-0.023010822637524,0.10329043852829,-0.0293306560186892,0.0183864206098606,0.0287376189934151,-0.0188404199675209,-0.0329583647385594,-0.103063528340208,-0.0849783827069146,-0.0849783827069146
"GSC",-0.0402820730315226,0.00154105339654182,-0.0255543375742526,-0.14797928608754,-0.0330185415329348,-0.0570092689263278,-0.146002631537163,0.0671456739896418,0.00755594429297546,-0.0395459660661806,-0.00785818109772039,-0.070711286034474,0.146151019172837,0.051987255250333,0.051987255250333
"miR200a",-0.014319556297633,-0.136508450175305,-0.0935952363521633,-0.0805801779279332,-0.0694981760998093,-0.0270589831528938,-0.0230068854180189,-0.034401570792692,-0.113562546314169,-0.000846616682170941,0.113721414883277,0.0187755947423815,0.0228050933564075,0.00466771094340592,0.00466771094340592
"miR141",-0.0141293095843992,0.0812713809352483,-0.00949915694577822,0.124371515379303,0.137802620690617,-0.0949234055264374,0.0183111905869962,-0.028397814464355,0.11620056360095,-0.0186324583848719,-0.116072752045352,-0.0195070057064067,-0.0183843170680389,-0.0165109048452171,-0.0165109048452171
"TWIST1",-0.0026619364571621,-0.0930227075337241,-0.0531341159570193,0.0676765769797919,-0.0392421452856748,0.0702294335269928,0.0794825772188514,-0.00935337764328954,-0.00962234591122023,0.0640070029034125,0.00943252664055399,0.107228322574332,-0.0793236384012214,-0.0485021509823201,-0.0485021509823201
"TGFbeta",0.00762474569557293,0.110143359748251,0.0875941237721325,0.0966832277105807,0.101940048719131,-0.0530551527828511,0.0955354036426562,0.00458365280526837,0.0998503719688043,-0.0733205782700791,-0.199829400167811,-0.0296776269481437,-0.0955708591836042,-0.0440729435560536,-0.0440729435560536
"miR200c",0.00989366953411267,-0.0715321024068387,0.0179600975272707,-0.116806953537897,-0.132098944872437,0.10138567263627,-0.009065099269044,0.0308548631659134,-0.111340625545205,0.0556826677381983,0.111181756976098,0.0182252260663736,0.00920209571454163,0.00996231061870811,0.00996231061870811
"miR200b",0.0141293095843992,-0.0812713809352483,0.00949915694577822,-0.124371515379303,-0.137802620690617,0.0949234055264374,-0.0183111905869962,0.028397814464355,-0.11620056360095,0.0186324583848719,0.116072752045352,0.0195070057064067,0.0183843170680389,0.0165109048452171,0.0165109048452171
"SNAI2",0.0290932729987171,-0.0286860134687843,0.0689905588249053,-0.0443400054645885,-0.039293946953296,-0.0376102282156801,-0.0755541552341615,0.0550574107275329,0.00135462340896529,-0.0550856632306437,-0.000845671849178452,-0.0454513415904438,0.0753676036913434,0.0533746232305574,0.0533746232305574
"ZEB1",0.0332708768418355,0.0869245750929615,0.103063807409108,-0.102557573431115,-0.101288517698605,0.0158677824953077,-0.105818947538546,0.0928282329342003,-0.00256301701029384,-0.0154481132525828,0.00277928164654696,-0.000678871673743062,0.00567809046586708,0.0150157132169063,0.0150157132169063
"FOXC2",0.0336076110824065,0.0863570700134407,0.103362236037129,-0.104332849130968,-0.100135037858046,0.0162236703123053,-0.00567809046586708,0.0942466978636325,-0.00277928164654696,-0.0155735883974328,0.00244718445276825,0.000578670592820054,0.00599525922741384,0.0149283183367414,0.0149283183367414
"miR101",0.0770990141422754,-0.0994241127743456,-0.0430480134484152,-0.0511627986829901,-0.0377678516142375,-0.0323053849547667,-0.107747510945611,0.0203960603931856,-0.0188310625523104,-0.0737320799974175,0.0185530844035041,0.0382414654363005,0.10781604683489,0.094112538306611,0.094112538306611
"miR34a",0.0822677883701599,0.0735004196889332,0.17279624803342,-0.115851927611202,-0.114084594441462,-0.0352497603469618,-0.16394322478802,0.0910869168059533,0.00830646686622329,-0.133850747543185,-0.00850001486187908,-0.0129503619315589,0.163999843784637,0.169324771035457,0.169324771035457
"TWIST2",0.109814525149252,0.0807020542611379,0.0680580510455888,-0.0553401096258841,-0.0413508688068755,-0.0634947570400324,-0.15153399613524,0.0683659462707014,-0.00506264831117155,-0.112660974942966,0.00468745095056897,-0.0620915137676402,0.151666363174528,0.132761846812444,0.132761846812444
