"","miR200c","miR200a","GSC","miR101","miR200b","miR34a","TWIST1","TWIST2","ZEB1","miR141","SNAI1","FOXC2","SNAI2","TGFbeta","ZEB2"
"miR141",0.186822035154767,0.186822035154767,0.0552255387556983,-0.0818961561305595,0.113197613270993,0.139763622241236,0.00628874069103481,0.0938352396093418,-0.0525306091882814,-0.0523352966882814,0.106057013879,0.0766167883027821,0.0583480162118989,-0.0553772403216885,-0.326534213619439
"TWIST1",0.150673878120295,0.150673878120295,0.0878992927806302,0.0655505283566949,0.00181263309885764,0.062727261881981,-0.0953326365015969,-0.0906964248358637,-0.0924409031844561,-0.0924541264792344,-0.0165953793252027,-0.021776282674226,-0.14804974352203,-0.0877027897328278,-0.236298407886248
"miR200c",0.131757313135103,0.131757313135103,0.184309028755627,0.194032890299155,-0.00549270505037002,0.0201448066594796,-0.0213544495140295,-0.123040871528411,-0.0458011622560049,-0.0458742887370475,-0.132514827305689,-0.135386809884798,-0.25464598755781,-0.183653247970362,-0.215521213500258
"miR200b",0.131757313135103,0.131757313135103,0.184309028755627,0.194032890299155,-0.00549270505037002,0.0201448066594796,-0.0213544495140295,-0.123040871528411,-0.0458011622560049,-0.0458742887370475,-0.132514827305689,-0.135386809884798,-0.25464598755781,-0.183653247970362,-0.215521213500258
"miR200a",0.131757313135103,0.131757313135103,0.184309028755627,0.194032890299155,-0.00549270505037002,0.0201448066594796,-0.0213544495140295,-0.123040871528411,-0.0458011622560049,-0.0458742887370475,-0.132514827305689,-0.135386809884798,-0.25464598755781,-0.183653247970362,-0.215521213500258
"TGFbeta",0.102420298071777,0.102420298071777,0.0868668408612453,-0.155546625229441,0.190971516533325,0.125466940528835,0.0159237512690575,0.194279464356112,-0.0120624853569105,-0.0119592563925575,0.140676986458689,0.113709773702475,0.170400097254054,-0.187245946494594,-0.203416396172189
"SNAI1",0.0249792697002769,0.0249792697002769,0.0424842057082598,-0.117954312244714,0.107975022533935,0.0256725687741987,-0.00670019087402448,0.0752898962438407,0.0874096909684888,0.0874752290609593,-0.0613998118142141,0.109466925340218,0.0959395699984029,-0.0425869007594685,-0.140462417713254
"SNAI2",0.0766013543613541,0.0766013543613541,0.251670985313261,-0.219849677295494,0.219674420866587,0.0588640701546293,0.0512277456470838,0.195319859608562,-0.0340568805295992,-0.034044488416342,0.0912796918427617,0.0228797399594996,0.0499228320370559,-0.251649600793943,-0.120486813998839
"ZEB1",-0.00129597581854364,-0.00129597581854364,0.00556601287582789,-0.035353883020588,0.0315641101632011,-0.0150605505813434,0.00804267736248538,0.0100499948589856,-0.0882369194631488,0.011901431255924,-0.0628260817919822,-0.0720442243617508,0.133946611610284,-0.00592688049371771,-0.0142936157422548
"FOXC2",-0.0013729527659736,-0.0013729527659736,0.0053224749337235,-0.0357484935648661,0.0315659553859195,-0.0149344603484869,0.0080755347613742,0.0102005296536508,0.011901431255924,0.0118725977321471,-0.0627402469006868,-0.071647833523469,0.134188596207344,-0.00556601287582789,-0.0142565957070117
"miR34a",0.0729046324741491,0.0729046324741491,-0.000769018946974989,0.0297235653509533,-0.106926146937187,0.0777300248450712,-0.0326585978108398,-0.000508792240528062,-0.0627635716182735,-0.0627758390675405,0.100908971272357,0.11037307227832,-0.152540868350656,0.000843647171005277,0.010939626073061
"TWIST2",-0.0208483448667985,-0.0208483448667985,-0.0392681326964281,0.0170932153957703,-0.0924232534537593,0.0706974803259825,-0.0243489979830949,-0.0900922045787612,-0.052794675891395,-0.0528434889856174,0.102903541412001,0.0476139502193104,-0.130058854116564,0.0392935985806319,0.0958572523082132
"GSC",-0.172256477913151,-0.172256477913151,-0.126729969739272,0.068089737032246,-0.056232561804956,-0.0924382998188649,0.00492642337292787,-0.0141133441171054,0.0885748426522381,0.0885001574846141,-0.0962618699415135,-0.118020308188781,0.056847871048419,0.126740696306455,0.282477888257902
"miR101",-0.10504612819349,-0.10504612819349,-0.0994256283978607,0.0966274721455828,-0.176502109742211,0.0133470401830538,0.00315612757552874,-0.0257933443914329,-0.0707959129104005,-0.0708678585454145,-0.000956985334429496,-0.0763454508529607,-0.0914899406946811,0.0995927671582189,0.28632632473345
"ZEB2",-0.404395189078729,-0.404395189078729,-0.338504199741558,-0.22585831241815,-0.204211543147855,-0.0845480904124077,0.0192819460434634,0.109780318759352,0.154040535060045,0.154472026467543,0.171712116811726,0.177774464807635,0.279969050565406,0.336959063495554,0.344422284450694
