"","miR200b","SNAI2","FOXC2","GSC","TGFbeta","TWIST1","miR141","ZEB1","ZEB2","TWIST2","miR34a","miR200c","miR200a","SNAI1","miR101"
"TWIST2",0.0737945354712961,-0.00820820736232821,0.110156775265022,0.0850380277482371,0.0840856036790152,0.031225141751332,0.0225693590009541,-0.0221274026073182,-0.218823707251705,0.0820618074863449,-0.0817635359142889,-0.121185932278649,-0.121185932278649,-0.184821120310048,-0.0909270283392949
"miR141",0.0890228468659956,-0.0947767068215789,-0.104413193565102,-0.0147413541399478,-0.0152490168607811,-0.106237344204923,0.0393354995938221,-0.0389837519634903,-0.203746310620954,0.0755406563814126,-0.0421521178027807,-0.121989608456558,-0.121989608456558,0.0804418441396667,0.0880774511575874
"miR200a",0.0110244159786698,-0.226521097109754,-0.20942957956172,-0.0446939216207613,-0.0440070838219868,-0.166781999643903,0.00151240041058456,-0.00173363115703006,-0.194192530893691,0.0642902608907909,0.126745401184026,-0.0983085614526824,-0.0983085614526824,0.202959794682029,0.215787513226266
"miR101",0.143831016077101,0.235402155713835,0.340028281743491,0.097554034809618,0.0963471170242945,0.292078996446401,0.00799499672052831,-0.00765299922328168,-0.18285582366544,-0.041666252254725,-0.106379262145929,-0.0969411197372749,-0.0969411197372749,-0.314902107190952,-0.326150956804215
"GSC",0.104681367737016,0.0949079636673792,0.435617418771617,0.0722702886663144,0.0715465608687311,0.371510468491736,0.0478369349355488,-0.0476600490122289,-0.128359273323135,0.0103078897786975,-0.130334021221005,-0.0826809678770804,-0.0826809678770804,-0.317808855016484,-0.255915494838914
"TGFbeta",0.152399866875231,0.28904591185175,0.272863947279876,0.2265803246856,0.126033444644302,0.252202304777446,-0.0307099840595451,0.0305176455940483,-0.0347658282968304,-0.175526738903127,-0.14302920591768,-0.0037704427909532,-0.0037704427909532,-0.235089900441911,-0.263801844816831
"ZEB1",-0.0471304235884032,-0.175405169255319,-0.1737851716387,-0.0213881758366189,-0.0214700748704662,-0.0699142987171358,-0.0214626228020933,-0.0783494006774273,0.0136075813155831,0.0117154201465421,0.0658971158647505,0.020029817105005,0.020029817105005,0.167732552178951,0.171760409908911
"FOXC2",-0.047699674797024,-0.175516730082918,-0.174076680854401,-0.0227719141440302,-0.0213881758366189,-0.0695528673293587,-0.0221236580323877,0.0214626228020933,0.013779058118829,0.012066668000761,0.0664171448132773,0.0206496841027304,0.0206496841027304,0.168254616449296,0.172045998921436
"SNAI1",-0.032839714069114,-0.184872764346402,-0.27959050664213,-0.0138283809705298,-0.0136471777334549,-0.253170017522586,0.122215430853145,-0.122136908798959,0.064771815343938,0.0510860032756905,0.104871219558448,-0.028199104313171,-0.028199104313171,0.152022473369941,0.269935470191377
"TWIST1",-0.0596609929265713,-0.0802849218432356,0.361073263699774,-0.0415945577724978,-0.0420303400417739,0.129224824946239,0.000201264689003051,5.20521541038529e-05,0.0674253248744227,0.130205119242204,-0.072886480449975,0.0449398822816064,0.0449398822816064,-0.277764724950659,-0.0820869218296882
"miR34a",-0.136551611698364,-0.23320931713487,-0.213317263272016,-0.0816630852418695,-0.0812547535770534,-0.135840299686752,-0.06157125382158,0.0616849636397858,0.0743667956703364,0.0339802152949167,0.126423789187312,0.105659604191518,0.105659604191518,0.23071417348231,0.227581504640334
"ZEB2",-0.24814559779134,-0.237635271767143,-0.236830242073605,-0.215883317242481,-0.215347974470877,-0.206542023488696,-0.0279166212303339,0.0279220957464613,0.0856729471192836,0.0862883917347672,0.0940916568840869,0.204137809346432,0.204137809346432,0.216351006285516,0.228116483648732
"miR200c",-0.101181140899585,-0.178818170023392,-0.203264267479276,-0.185306035305868,-0.184850930607897,-0.190721424423033,0.022774578745756,-0.0227699504874622,0.189995889656559,0.107862164419349,-0.00347943222860257,0.0839956883152412,0.0839956883152412,0.160500816899859,0.170377845450913
"miR200b",-0.0110244159786698,0.226521097109754,0.20942957956172,0.0446939216207613,0.0440070838219868,0.166781999643903,-0.00151240041058456,0.00173363115703006,0.194192530893691,-0.0642902608907909,-0.126745401184026,0.0983085614526824,0.0983085614526824,-0.202959794682029,-0.215787513226266
"SNAI2",0.133074223522404,0.17544290894372,-0.111850241064526,0.116677655319628,0.116601526430853,0.0365191537367398,-0.00864524093185134,0.00863351866255397,0.227304601450072,-0.319986631005488,0.0795578990314359,0.117447945388205,0.117447945388205,0.200642829904699,-0.140367728102058
