"","miR200b","miR200c","miR200a","FOXC2","TWIST2","miR34a","miR101","TWIST1","SNAI1","miR141","ZEB1","ZEB2","SNAI2","TGFbeta","GSC"
"TWIST2",0.00125792361645398,-0.0650111714044417,-0.0650111714044417,0.160596153569899,0.0891730580032541,0.112426184587023,0.0175684549816715,-0.259284567790671,-0.129003206251519,-0.285480207726866,-0.285649074647419,-0.166751318879652,-0.154524304914513,0.0690932772919696,0.0689478387977391
"GSC",-0.013644957867787,-0.0448210479825534,-0.0448210479825534,0.0578901062501242,0.0146283079060343,0.079577670765077,-0.0658017939697184,-0.238719563472725,-0.132824055560906,-0.223746479408383,-0.22391894318362,-0.15777448456003,-0.0993520974641884,0.0602678860359558,0.060233182436246
"miR200a",0.191730577706337,0.183679430268816,0.183679430268816,0.0926538936106785,0.144977744000836,-0.20318724533784,0.0347535154285769,0.0160220794062577,-0.040610273372374,0.211388065234167,0.211425091300518,-0.151841497939641,-0.107172392807494,-0.290339166469846,-0.290292580949582
"FOXC2",-0.202961649869719,-0.196799171079996,-0.196799171079996,0.0319926375985472,-0.157176457035651,0.259263186666095,-0.00799872938827056,0.00157629963958412,-0.0485002559655298,-0.271055395316541,-0.271171797319937,-0.105019175244822,-0.0408441961818758,0.210531410056021,0.210370896412361
"miR101",0.134364895851818,0.160397554365712,0.160397554365712,-0.09816763418229,0.0365719499432759,-0.129043613883185,0.0328309739198898,0.0432646637477235,0.0291112912141396,0.247371395761349,0.247514264107656,-0.0652889608249999,0.0670159139186692,-0.163532160887165,-0.163523364110304
"TWIST1",0.0871664261785518,0.173731435217015,0.173731435217015,-0.207025966911671,-0.0515735899414659,-0.134650081967226,-0.0214394648530041,0.126537989447319,0.0250743300730171,0.257005799896238,0.257131550836777,-0.0609274465820025,0.10328886645951,-0.153999261140554,-0.153857565065268
"miR34a",-0.0276614985860925,-0.122286180283665,-0.122286180283665,0.0497183115744814,-0.0449073495152113,0.0642537888957443,0.00876991587545659,0.0269980019954937,-0.0174067306876014,-0.148695905918827,-0.148723271767192,-0.0140829934372733,-0.061599723589665,0.0880293717307882,0.0880894383501296
"TGFbeta",-0.0899130796671963,0.0102166914743784,0.0102166914743784,-0.063318974347211,-0.1104485189759,0.0520549803312927,-0.0365723102256071,-0.0181829640122763,0.020317556658869,0.00961585800540877,0.00965884392673512,-0.0111619470599528,0.0925592677192427,0.0899760271995672,0.189819545299845
"SNAI2",-0.0116308487728477,0.0154082903981004,0.0154082903981004,-0.0479840892673125,-0.0870660625475828,-0.0283826096924549,-0.038807199059605,0.0915268648067388,0.0213837632583886,0.0613963734969813,0.0614938357931394,0.0328956726297232,-0.00206656627182472,-0.0121519042326261,-0.0121938178904909
"SNAI1",0.00765668866348064,0.0484011079772358,0.0484011079772358,-0.130458157792587,-0.042818387184532,-0.0305671259820739,0.0260228435878903,0.0487257755533607,-0.054950813534887,0.174617007490837,0.174643284556214,0.0828839582734507,0.0893987052955136,-0.0497963942937617,-0.0495541291343465
"ZEB2",-0.183341781938753,-0.157576065187496,-0.157576065187496,-0.0934904091886646,-0.0425528811885125,-0.0394524576957953,-0.0211815643627159,-0.0107317046603345,0.0778755084018365,0.0825704514323516,0.0826217128106357,0.0927783673954668,0.120855280886276,0.16095805571335,0.161003724764956
"ZEB1",0.202891531406421,0.196755763026934,0.196755763026934,-0.0317103826436617,0.156991589743956,-0.25948179280945,0.00768944004275525,-0.00188396437463401,0.0486272445718299,0.271171797319937,0.171190344336624,0.104981562889015,0.040627002879837,-0.210608190400253,-0.210531410056021
"miR200c",-0.133914616812619,-0.192038589314701,-0.192038589314701,0.0370640328626991,-0.0196056835387093,0.129612785501383,0.0197988568568557,0.0128911608107916,-0.0448500500656638,-0.218860750623642,-0.218875561050182,0.161467469783298,-0.0861983587435377,0.0739073893485798,0.0737604657846681
"miR200b",-0.133914616812619,-0.192038589314701,-0.192038589314701,0.0370640328626991,-0.0196056835387093,0.129612785501383,0.0197988568568557,0.0128911608107916,-0.0448500500656638,-0.218860750623642,-0.218875561050182,0.161467469783298,-0.0861983587435377,0.0739073893485798,0.0737604657846681
"miR141",0.0342874584289556,0.00564879971488055,0.00564879971488055,0.0559178130054194,0.130627258268515,-0.220982269448607,0.0272138079309619,0.011793274228154,-0.0160272922099548,0.249068706085612,0.249154791689878,0.24402874606961,-0.0694431243756055,-0.149521557844763,-0.1495299193484
