"","miR200b","miR34a","ZEB1","TWIST2","miR101","SNAI2","ZEB2","FOXC2","SNAI1","GSC","TGFbeta","TWIST1","miR141","miR200c","miR200a"
"miR200c",0.114227892701461,-0.106631381593764,0.00230468303019643,-0.0677656147042032,-0.0849164529598873,0.0407444143587604,-0.257508972866807,0.0680204070420905,0.130177351422951,0.0592587633162139,0.059310126838557,0.15052967792502,-0.00241205862261349,-0.128616974337172,-0.128616974337172
"miR141",0.153120382971298,0.0561877693897467,0.052147742590166,-0.0273472932873969,-0.0845022114269165,0.117515593824045,-0.187192488350482,0.0264422625248897,0.0500543327343025,0.0434768038481443,0.0441254176302913,0.0564446346326025,-0.052657776654147,-0.121244315091208,-0.121244315091208
"miR200a",0.0314893176169794,0.00347250582573782,0.0125026228081745,0.0516671166877679,0.097727752650671,-0.115886793589385,-0.181923468671014,-0.0461600316772573,-0.0795841490495385,-0.111909744299859,-0.112288400964575,-0.0931797820057846,-0.0122489942536722,-0.0986071369387508,-0.0986071369387508
"GSC",0.0768082894606508,0.00378930290269175,0.0490505258991227,0.0653794389711715,0.0106801136227128,-0.126819716768343,-0.176791974894098,0.0356655809687861,0.00805348838379909,-0.0277705471971288,-0.0275200503046784,0.0764699741082405,-0.0492003875841576,-0.103797779475354,-0.103797779475354
"TGFbeta",0.133168577671259,-0.109225493496336,-0.00942790063038115,-0.103781827209529,-0.0759536356451923,0.0453854934338223,-0.15001288556471,0.040889632356108,0.108064531302389,-0.0109412632601286,-0.111200990949359,0.136937536294803,0.00960894352531038,-0.0662612523420752,-0.0662612523420752
"SNAI1",-0.0522260319259514,-0.117113722421808,-0.105041538342947,0.0431934917326471,0.0265000164763482,-0.180732983137465,-0.11189671264515,0.0434893685073108,-0.0722928905090678,0.0321563842407738,0.0323288643460857,0.00760685848903745,0.104910771299952,-0.00238656224626772,-0.00238656224626772
"miR200b",0.0703818078868167,0.166291656809248,0.0623456823681441,0.0920854381045742,0.0981419941836417,-0.0391156141241008,-0.111606984154689,-0.0877381761944581,-0.159707167738187,-0.127691703767929,-0.12747311017284,-0.187264825298202,-0.0624947122852057,-0.0912344776927867,-0.0912344776927867
"miR101",0.0731234683197776,0.0410645717458078,0.00749585064978433,-0.0377086908904391,-0.0100161570376448,0.13412443957803,-0.109679813048503,-0.0331109214268658,-0.0142832915584902,-0.0243987808486319,-0.0243635937411881,0.00330973855434101,-0.00757461577626885,-0.0583519431851968,-0.0583519431851968
"SNAI2",0.258453329556607,-0.0154227133738198,0.0166754564509368,-0.287666271712164,-0.270031153109099,0.168709534333778,-0.090488166875317,-0.0244433316670939,0.0712016435187301,-0.222772655555362,-0.222723898851315,0.18220343531661,-0.0167836362504525,-0.0542564968357715,-0.0542564968357715
"FOXC2",-0.00217263097319965,-0.0595886048372831,-0.0371086699935245,-0.0201801557611671,-0.00185694786386292,-0.110970865343937,-0.0875965427918249,0.101738436105983,0.116816559514099,0.00632389223963821,0.00563202308593256,0.115752820438697,0.0375732100988203,-0.0137699746709567,-0.0137699746709567
"TWIST1",0.0067974077788305,0.0601035207459427,0.00222101829032642,0.120152674011698,0.0818549410825469,-0.0938576777379538,-0.085451142737607,-0.123129348854674,-0.0368839809558794,-0.00438654338136573,-0.00445204439729985,-0.126630323260529,-0.00223735294858203,-0.0542791874761805,-0.0542791874761805
"ZEB2",-0.22558254381566,-0.139965611289582,-0.121692002692402,-0.0656706221361912,-0.0402170359676405,0.00162290491156909,0.0364107008447763,0.0488924323136565,0.0790267193353438,0.0888233001913914,0.0889856790415462,0.0895861685374981,0.121652685712942,0.222696026267834,0.222696026267834
"ZEB1",0.00203239404660261,0.0595087725596756,-0.0627239055855685,0.0205446084219356,0.00259758326979037,0.111108295348949,0.087638893712143,-0.102751777665326,-0.11633447313833,-0.00563202308593256,-0.00593658511805234,-0.116105290717686,-0.0371086699935245,0.0137740260892425,0.0137740260892425
"miR34a",0.11426355677064,0.136869081041725,0.157249612046581,-0.0145500890904835,-0.0577797081042011,0.20740333943641,0.139063062286546,-0.0645638417984435,-0.103498213830142,-0.0732108175566879,-0.072999067555171,-0.073158639842811,-0.157362850039815,-0.0762830526736495,-0.0762830526736495
"TWIST2",-0.0565183633442686,0.0807466328156786,0.116009147016576,0.0968734383309405,0.0498687168837859,-0.0397159491814319,0.227634222195176,0.0590716008271381,-0.0516205840668507,0.00644938740137699,0.00656087138333583,-0.199472406429783,-0.116111170781077,0.055277917597228,0.055277917597228
