"","miR200b","miR200c","miR200a","miR34a","GSC","TWIST2","TWIST1","FOXC2","SNAI1","miR101","SNAI2","TGFbeta","miR141","ZEB1","ZEB2"
"miR200c",0.190502329569117,0.106996615300863,0.106996615300863,0.0590446887212103,0.104617577856386,0.0858420081782326,0.0829167944244737,0.0410145972242313,0.0235815621962219,0.0382121702214055,-0.100505927365895,-0.104981900514866,-0.0605060107094816,-0.0604504716099555,-0.283305851302187
"miR200a",0.190502329569117,0.106996615300863,0.106996615300863,0.0590446887212103,0.104617577856386,0.0858420081782326,0.0829167944244737,0.0410145972242313,0.0235815621962219,0.0382121702214055,-0.100505927365895,-0.104981900514866,-0.0605060107094816,-0.0604504716099555,-0.283305851302187
"miR200b",0.103244820902148,0.113142667546974,0.113142667546974,0.137594557045447,-0.0623346001547843,-0.0569678685991405,-0.016510221144474,-0.0882815058308901,-0.0863936048262237,-0.0685402837960568,0.222418966313345,0.0622521796189314,-0.0485336941310082,-0.0487243783727143,-0.28299758318327
"miR101",0.165185820287399,0.106504471072071,0.106504471072071,-0.00308796229831467,0.013936785718227,0.0411240796091765,0.015306819824756,0.0754997180934732,0.00013567096126841,0.00537955984147923,-0.10979703684741,-0.0140529031727916,-0.0438962071200614,-0.0442177461428964,-0.268131476440689
"TWIST1",0.0652908618481524,0.0647652246276887,0.0647652246276887,0.0173309454757446,0.018788456978408,-0.0879446254089667,-0.0770319410893311,-0.027252038927922,-0.0276259898109476,-0.0494444120673436,0.0937399012814195,-0.0188339066629337,-0.0822236868378623,-0.082367068838106,-0.229153182283378
"SNAI1",0.0487226197806017,0.100534014525317,0.100534014525317,-0.109188873907382,0.0195275227893918,0.0403269072152601,-0.00505908531902969,0.104225493033667,-0.0679078121271226,0.0207778538749752,-0.169761099422205,-0.0197007959066823,0.105073298073629,0.105113795668504,-0.0871889412425554
"ZEB1",0.0193170007017358,0.0237126710116785,0.0237126710116785,-0.0323122606340836,0.00202326688293886,0.0184303959354263,-0.0652094834144007,0.114072144714784,0.0936931839315968,0.0359424836303501,-0.162598613898034,-0.00205141967582388,0.0206208640221744,-0.0793916677458575,-0.024740675998683
"FOXC2",0.0191232523163057,0.0235766591120843,0.0235766591120843,-0.0324025382564247,0.00212843099430212,0.0184356778580461,-0.0653498741187439,0.113882432368057,0.0938413373056136,0.0359247083806079,-0.162598074956837,-0.00202326688293886,0.020724451126114,0.0206208640221744,-0.0246544933566371
"TGFbeta",-0.14015625333496,0.00742627985345016,0.00742627985345016,0.0568507891174849,0.0158738660166567,-0.139222016751505,-0.0715209865004864,-0.062065521190414,-0.0482317728572843,-0.0686996996677918,0.186331431461299,-0.115993243960775,0.0174614544745106,0.0178006353573849,0.00507098657376603
"TWIST2",-0.0743893078951872,-0.0736643712712979,-0.0736643712712979,-0.0303971802746364,-0.00648282861133384,-0.123875218289611,-0.018244491506665,0.00654215091472391,0.0584825720627848,-0.0943135354986398,0.121349885219134,0.00660336712989847,-0.0369875503973622,-0.0370038214287697,0.118697987207763
"SNAI2",-0.273404565314506,-0.00877737698110626,-0.00877737698110626,-0.0250669463352863,0.208023371276357,-0.19124684927965,-0.060389152030015,-0.0180875745333641,-0.0814571919327964,-0.141368765279282,0.0670176013610117,-0.208075549503495,0.0982759028893629,0.0982742282794633,0.119350826378909
"miR34a",-0.0830580235694568,-0.161881794630648,-0.161881794630648,0.0811336139049228,-0.0178945203811038,-0.0598120851000401,0.0123019797108747,-0.115813995107682,-0.0507564273236305,-0.10368958853034,0.251891611335638,0.0178672173723122,-0.110784490306324,-0.110351354982204,0.131723127012392
"GSC",-0.0635336940558953,-0.122752836393255,-0.122752836393255,0.0688491941372803,-0.0357939102680782,-0.0457941773984782,0.111846015362477,0.0157099612490564,-0.0487906257807729,-0.00829174359420315,0.157762830157,0.0358185182751451,-0.0850690788571707,-0.0847914662275158,0.170623783667603
"miR141",-0.190502329569117,-0.106996615300863,-0.106996615300863,-0.0590446887212103,-0.104617577856386,-0.0858420081782326,-0.0829167944244737,-0.0410145972242313,-0.0235815621962219,-0.0382121702214055,0.100505927365895,0.104981900514866,0.0605060107094816,0.0604504716099555,0.283305851302187
"ZEB2",-0.415940482126466,-0.288123590624083,-0.288123590624083,-0.142389234283052,-0.0691586202330451,-0.0672675886716613,-0.0407316160370806,-0.0128366213543197,-0.00306546294828434,0.000371932080756623,0.00312195624309153,0.0690241502477607,0.163668932485531,0.164313432338714,0.413527892245383
