"","ZEB2","SNAI1","miR34a","miR101","TWIST2","TWIST1","miR200b","miR200c","miR200a","GSC","TGFbeta","FOXC2","SNAI2","miR141","ZEB1"
"GSC",-0.158474614250231,-0.0922842467056803,-0.0703675415253719,-0.052520019901714,0.00753780044669084,0.00209736150173112,0.0813224724619185,0.100784518510022,0.100784518510022,-0.0301578208934615,0.0299388727280199,-0.0670706124263231,-0.0889318278091805,0.0572722100823781,0.0572913727240711
"ZEB2",-0.0844721562809953,-0.0334100300497516,-0.0330486172028691,-0.020695749943029,-0.018496283537691,-0.0117317994986021,-0.0092474245043209,-0.00498621877020948,-0.00498621877020948,-0.00110811723551899,0.000539791259977305,0.00598570833186466,0.00704308979790987,0.0134089455032118,0.013546803772966
"TWIST1",-0.0792628932793741,-0.002841788212012,0.00461745089090104,0.0268248494113041,0.0945644811907889,0.00180088105142497,-0.0289447743352729,0.00586844940592572,0.00586844940592572,0.0195543701305543,-0.0193324687296346,-0.0274847013398989,-0.0882220610904421,-0.075625093822676,-0.075687580372511
"SNAI2",-0.0582734887227258,0.0220027075910324,-0.0181832934231112,-0.0226098373708401,-0.0912407119478328,-0.0850469439114833,0.0567401006521294,0.0511735915139011,0.0511735915139011,-0.0247993566511449,0.025496491980937,0.0282970803633596,-0.0309967809831984,0.0478736550887212,0.0477286338714137
"ZEB1",-0.0475581505251152,-0.0589597261692074,-0.00647100772434682,0.0142537164672697,-0.00921027334910271,-0.0770884031785636,0.0167920354163225,0.0241729280972539,0.0241729280972539,-0.00607278091875287,0.00624041800365914,0.0990300755324061,-0.0902846114332613,0.0116760391690787,-0.0883986501683918
"FOXC2",-0.0472338550163859,-0.0588174518973342,-0.00650756643091471,0.013979977621239,-0.00920235046517296,-0.0772885346081591,0.017016229976606,0.024413119324197,0.024413119324197,-0.00642701792545017,0.00607278091875287,0.0991889403430793,-0.0904489884980797,0.0115575013491066,0.0116760391690787
"miR200a",-0.0310298590012548,-0.0767015036149245,-0.00523147524341535,-0.0707645110128059,-0.0213308110619773,0.0106488064137471,0.0469344213251544,0.0210320003089395,0.0210320003089395,0.0831656134593038,-0.0831763639639803,-0.0151941405868766,0.0653471774155505,0.0121556088781339,0.0120750771838211
"miR200b",-0.00618200907009577,0.0879777099311776,0.0203168895074596,0.0769709770240841,0.0287993229804677,-0.00608101195160622,-0.00146221177222943,-0.00819858469947023,-0.00819858469947023,-0.0884743236080864,0.0880383309184296,0.0127477311854835,-0.0676183963621483,-0.0243441855176157,-0.0241701630057674
"miR200c",0.0359820303693794,0.122843653144326,0.127589698761418,0.0660334791135997,0.0566551018355468,0.0542868182446938,-0.0516462684152477,-0.0339000601444772,-0.0339000601444772,-0.0750255594830149,0.0748953589263777,-0.026403439001743,-0.00913105404645057,-0.0327290825047262,-0.0326578073270011
"miR141",0.0359820303693794,0.122843653144326,0.127589698761418,0.0660334791135997,0.0566551018355468,0.0542868182446938,-0.0516462684152477,-0.0339000601444772,-0.0339000601444772,-0.0750255594830149,0.0748953589263777,-0.026403439001743,-0.00913105404645057,-0.0327290825047262,-0.0326578073270011
"miR101",0.0375186691878543,-0.00739824483965056,-0.0395014018059094,-0.0250076455422494,-0.0117974479938035,0.00448238649290545,-0.0473066596804272,-0.0158146490120416,-0.0158146490120416,0.0116293384925915,-0.0112739487074088,0.0769015945589613,-0.054172786401376,0.00133341141303325,0.00124714484593116
"SNAI1",0.0826149060084841,-0.0831741071905711,0.108898320688654,0.020272662880742,0.0245561780149194,0.0238325345216067,-0.0440174006367525,-0.101621773335636,-0.101621773335636,0.0306135601669517,-0.0305727200500618,-0.0996033402848029,0.0727234359540116,-0.111177229962767,-0.111253588023334
"miR34a",0.109612985809512,0.0936459722780174,0.118674218671469,0.00843014059137456,0.0549162129050279,0.0867788250675591,-0.0499124403049001,-0.164766776162169,-0.164766776162169,0.0438243188108924,-0.0441149441711405,-0.145892395542849,0.0823798598400524,-0.134499088848171,-0.134400477429063
"TWIST2",0.114773046655299,0.0143105631546817,0.0868314134608449,0.0564691944328873,0.12919538880988,0.193517057182234,-0.111723175105295,-0.124103646621599,-0.124103646621599,0.0580519575665461,-0.0577876782793645,-0.0841773539889658,-0.0847095173862272,-0.13720873745908,-0.13729888776823
"TGFbeta",0.138080182678928,0.0993915383452571,0.152342207552143,0.0530171888701827,0.0920326698533692,0.0388238623256515,-0.151579841523445,-0.120727823041962,-0.120727823041962,0.0322922826977953,-0.13217774440006,-0.0159205138122574,-0.00798574451884655,-0.106473103296621,-0.106502911052286
