"","miR200b","miR200c","miR200a","TGFbeta","miR34a","FOXC2","miR101","TWIST1","TWIST2","SNAI2","miR141","ZEB1","GSC","SNAI1","ZEB2"
"miR200b",0.271884501309946,-0.00708518188992806,-0.00708518188992806,-0.153116941991608,0.271203112888503,-0.000679004958545425,-0.0273753364600438,-0.0123541515406126,-0.089412951788976,0.0675600242665516,-0.293092974334173,-0.293310502473984,0.152857735378853,0.121679106147163,-0.291286231243625
"miR200a",-0.0224141124140127,0.269912677308667,0.269912677308667,0.219133053193874,-0.252663848587319,0.0156850455778832,0.0331681949714068,-0.00430057002580172,0.0693141272087418,-0.0890501317208711,0.252443432323826,0.252445283627144,-0.218709005509413,-0.157013998224242,-0.29068549728218
"TWIST2",0.121885598556994,0.0610209500430784,0.0610209500430784,0.00196907180708129,0.105718627726254,-0.0931730971391637,-0.042023918072476,0.145385643346452,-0.104908233315125,-0.0378874826240029,-0.129435849083046,-0.129481144116424,-0.00183042421530508,0.0616575082544571,-0.256271112613408
"miR200c",0.150482611383301,0.0220741551831501,0.0220741551831501,0.092569797061439,0.0750311171994961,0.0946408453644976,0.0402346706304141,-0.114321582575312,-0.111926234054088,-0.137529815658587,-0.202644448305765,-0.202662035687282,-0.0925184335390959,-0.218634554530494,-0.249376071499738
"SNAI1",0.133194592581658,0.0402036128432868,0.0402036128432868,-0.014937484686079,0.193938731673147,-0.18830547922639,-0.0889547582988854,0.164571055640992,-0.0356519446895167,0.0913551432538338,-0.105432852784266,-0.105480460643891,0.015006873234193,0.0660111983310226,-0.202479542311594
"TWIST1",-0.0125520808988999,0.1867333702313,0.1867333702313,0.0710295592967398,-0.193552067595903,0.0703961999927859,0.0639947764027833,-0.0702071999178736,0.140978781093522,0.0118867045164965,0.198608838538687,0.198535980777261,-0.0708638016237636,-0.182157636054544,-0.161813532077073
"SNAI2",0.101500093660819,0.0141212831610284,0.0141212831610284,-0.0134344688037356,0.0638671297567445,-0.000741888082327662,0.0142382208757765,0.0445221443315523,-0.0191970020685519,-0.0848997133385934,-0.108600730158021,-0.10874039262365,0.0133634721995973,-0.0118199367386229,-0.140959449335362
"miR101",0.0964853899468325,-0.0127309464777711,-0.0127309464777711,-0.0149079677965517,-0.013459337611978,0.239131351659563,0.0994470938156913,-0.226585401407375,-0.0401770931574172,-0.116396436762434,-0.131689289577026,-0.131759189364599,0.014800647118848,-0.214450621425845,-0.110632635443827
"ZEB1",-0.206789856138368,0.254877998395813,0.254877998395813,0.122339125509692,-0.22982535251793,-0.144881663371024,-0.00951979639846482,0.134728310844672,0.201825662637587,0.0782469451815973,0.2555385091311,0.155619213717226,-0.122125420218246,0.0957566525245499,-0.050815330589292
"FOXC2",0.2070491099303,-0.254500058947153,-0.254500058947153,-0.122125420218246,0.229711199821912,0.144781408878851,0.00961815278037198,-0.134779090461136,-0.201838867444136,-0.0783013782424061,-0.255516083057052,-0.2555385091311,0.121693693866334,-0.0960035748145778,0.0504288414213543
"TGFbeta",-0.183739107434116,0.063073692803396,0.063073692803396,0.138737806869738,-0.247525806221881,0.0681857180564321,0.0492027160871592,-0.072609147011498,-0.0158651355756893,-0.105782014316044,0.169505027328413,0.169560563883703,-0.238473239534125,-0.203268613288063,0.0591946068987755
"GSC",0.0334387636731832,-0.210764808404939,-0.210764808404939,-0.0921303541576431,0.220325311797378,0.00617291279169984,-0.135740647534661,0.0495874866695966,-0.095345640037386,0.0178425064729865,-0.230801850916855,-0.230756646736451,0.0917864730332465,0.190031488361801,0.182667567250952
"miR34a",-0.072375889721477,-0.163022343678298,-0.163022343678298,-0.0323449992780316,-0.0620500158525697,0.218590854190737,0.039987304641282,-0.187947096431733,-0.177894518926589,-0.0931289044399724,-0.0581164262289679,-0.0580390469335913,0.0322667306528291,-0.186751831399997,0.208021593230631
"miR141",0.0224141124140127,-0.269912677308667,-0.269912677308667,-0.219133053193874,0.252663848587319,-0.0156850455778832,-0.0331681949714068,0.00430057002580172,-0.0693141272087418,0.0890501317208711,-0.252443432323826,-0.252445283627144,0.218709005509413,0.157013998224242,0.29068549728218
"ZEB2",-0.368348432079916,-0.319709899401951,-0.319709899401951,-0.0918324330451257,-0.0450431975318362,-0.0348599049283195,-0.0148477189995645,0.0402480548567275,0.0548045939374858,0.0622423059952438,0.0893908845557122,0.0895864740864466,0.0916370709910332,0.093380277318402,0.4067289866477
