"","ZEB1","miR141","miR34a","TWIST2","ZEB2","miR101","FOXC2","miR200b","TGFbeta","GSC","SNAI1","miR200c","miR200a","TWIST1","SNAI2"
"SNAI1",0.0637293332536494,0.0637760136874374,-0.150086468486705,0.0499581029288656,-0.169149112978586,0.2983634429977,0.131548382020291,-0.0981716707975158,0.0418437792594356,0.0418243504659637,0.177035985478433,0.0501116137574411,0.0501116137574411,0.229222633300151,-0.216789943842855
"TWIST1",-0.0631799062055181,-0.0631158639739445,-0.112341753924079,0.147339847698949,-0.124654915171866,0.271805399047972,0.0431312947497908,-0.138417013821431,0.0433824270718197,0.0433703962729747,0.254006781774698,0.0889589892811044,0.0889589892811044,0.115598910529861,-0.287761103553509
"ZEB2",-0.0959093731301508,-0.0957326955642202,-0.0948322138769246,-0.0892121782844149,-0.0887268614383688,-0.0376903155525765,-0.0187757852150365,-0.0161857119315552,-0.00701839824192622,-0.00691183712151215,0.00143944964656887,0.0326842845190678,0.0326842845190678,0.0409703012350772,0.0761199334683963
"TGFbeta",-0.0382741753150102,-0.0383566957333228,-0.123687273747427,0.147380082342391,-0.0823958679809583,0.169831376863102,0.120074059695442,-0.186432514674826,0.126253398416134,0.226221134106912,0.0997828268412303,0.063997002317075,0.063997002317075,-0.0527361266444995,-0.238603470248919
"SNAI2",0.0619655050782847,0.0619832559432207,0.0380644883348789,-0.319469211212459,-0.0511040608711509,-0.280208132348979,-0.0677524246953591,0.245304450858014,-0.207436888100095,-0.207475380234868,0.0032498315006936,-0.00639917755559264,-0.00639917755559264,0.178850313827436,0.25938803594734
"FOXC2",-0.172337491434722,-0.172321472810402,-0.203500491189831,-0.217978035799539,-0.0298749532786379,-0.00436335984460349,0.0881987963859776,-0.182309426500214,-0.0017244547574495,-0.00181301400912383,0.123022357257841,0.19768710670531,0.19768710670531,0.134670982788713,0.128507276020455
"miR200a",0.199541008567862,0.199696518046535,0.113758969138813,0.189505355821205,-0.011914491701277,0.149416554487642,0.0957240132967467,0.00581545242034334,0.1231400350732,0.123286958637112,0.0560241355503063,-0.0930178608539085,-0.0930178608539085,-0.0907165744532093,-0.240884989843669
"miR141",0.199541008567862,0.199696518046535,0.113758969138813,0.189505355821205,-0.011914491701277,0.149416554487642,0.0957240132967467,0.00581545242034334,0.1231400350732,0.123286958637112,0.0560241355503063,-0.0930178608539085,-0.0930178608539085,-0.0907165744532093,-0.240884989843669
"miR200b",-0.146385319840184,-0.146291829022649,-0.0719158994161527,-0.156675010803772,-0.00907158132104111,-0.136709040848369,-0.0881943936541618,-0.0305131727918157,-0.114763600615778,-0.114755239112141,-0.0580579505386329,0.0755878886397989,0.0755878886397989,0.0737664015619472,0.21469407033457
"miR101",-0.157494945363065,-0.157397085660463,0.00494202940561132,-0.0861945167639163,0.00853448696521262,-0.262253730609404,-0.106979877338536,-0.0405007096943274,-0.0122292710102107,-0.012130747109368,-0.226850950087917,0.0726057485680593,0.0726057485680593,-0.192350735457263,0.195680338862762
"GSC",-0.127821143166769,-0.127770042788921,0.0284005685825324,-0.105059415657271,0.0103205099281194,-0.286659890602546,0.054996512097687,-0.0300666753349893,-0.0127727980961856,-0.0126749970424581,-0.246345695087848,0.0685351783375408,0.0685351783375408,-0.291680412105796,0.222219291155127
"miR200c",0.230902149735939,0.230981755778593,0.233722304076918,0.039755260064334,0.0143276314113922,-0.133311694871336,-0.117812106748929,0.121064605576718,-0.113012681237015,-0.112927871700123,-0.143569970374436,-0.122815136431278,-0.122815136431278,-0.0366842430827142,0.123937068782961
"ZEB1",0.0723811019874736,0.172337491434722,0.203489299749045,0.217835423888804,0.0298408948462143,0.00425789336279942,-0.0881910845019643,0.182374009295357,0.00169118327494902,0.0017244547574495,-0.123027060539556,-0.197699260960168,-0.197699260960168,-0.134488773576693,-0.128411883428741
"TWIST2",-0.100858516278167,-0.100939871435204,-0.11227860780966,0.0827165314448673,0.0653319523183128,0.141042056466491,0.0913050587702367,-0.0632506456987301,0.00950922847744288,0.00944980808096736,0.127358259010511,0.0195611743747674,0.0195611743747674,-0.0099810964789069,-0.148680572000889
"miR34a",0.0588796191627834,0.0588933020869658,0.0880036669566457,0.268377817979055,0.130082385535323,0.00917867849967235,-0.0569131553688642,0.00275638937218666,0.0132132688071781,0.0132963913006102,-0.141759650147505,-0.129238897742292,-0.129238897742292,-0.185333714085712,-0.150244996290678
