"","TWIST1","ZEB2","SNAI1","GSC","miR200a","miR141","miR34a","miR200c","ZEB1","TGFbeta","miR200b","TWIST2","miR101","FOXC2","SNAI2"
"SNAI2",-0.0612568755260845,-0.153734140949748,0.205595671158173,-0.16667886560705,0.108185203717191,0.0650941137001223,-0.033359610353972,-0.0414412460769901,-0.0655841045567523,0.16583631554589,0.239198259047073,0.399076897674542,0.251488067207062,-0.102628026338114,0.391084158696968
"SNAI1",0.259054182514908,-0.146262615143234,0.212337411924321,0.0329056352765121,0.134173085768903,0.124394001119027,-0.121021724605711,-0.00696971192731971,-0.124196150273833,-0.0327260180633941,0.0515947024369025,0.0499578526969987,-0.104826134499867,-0.321891170543612,0.19524829406985
"miR101",0.233426766740781,-0.144593902007303,0.263076735993362,0.0510898986312952,0.133393676685375,0.123883504654302,-0.0336134152108245,-0.00704318537088879,-0.123478767835527,-0.0506729314080858,0.0183835344325039,0.0366534553051897,-0.117082630295973,-0.276893393702503,0.125271011935487
"TWIST2",0.00167968608463135,-0.110574838702704,0.194978724525734,0.00845181469117535,0.0303104749963112,-0.0474761989339613,-0.0939083503962766,-0.0760494191948536,0.0474423375983294,-0.0085406623316197,0.0357763672320026,0.186106815119769,0.0713904549015977,-0.0986090283492028,0.306517569478438
"TWIST1",0.219057984825253,-0.102952523136469,0.20148535663409,0.0544057218387701,0.0878878656074815,0.0780188344387928,-0.0425582447332228,-0.0151088218906117,-0.0776296547238455,-0.0539726130803485,-0.052408486386052,-0.14098072480174,-0.156590076005395,-0.33446527392429,-0.145045460282915
"ZEB2",-0.0898939711154107,-0.0763467340478863,-0.0715794260107722,-0.0194500744397031,-0.0186284112182298,-0.0134287414612229,0.00484723667730525,0.00766787001583499,0.014794882076658,0.0211347550100588,0.0307802993671551,0.053588962891516,0.0910645799994043,0.103357672319978,0.108111415430328
"GSC",-0.00723271449991888,-0.068615983703379,-0.145897870478978,0.0451469552993843,0.059817586377545,0.0530407932396264,0.0814402533632259,-0.0129864436593688,-0.0523524121880396,-0.0442629599685959,-0.0474681499810164,-0.0540448337649704,0.0285823458119016,-0.0396812685682413,-0.181254689227284
"miR200a",0.108627344684781,-0.0275547358196046,0.0735377041170466,0.136481895256764,0.0264938627767378,0.0235285975158821,0.0262385472599888,-0.00283767739925966,-0.0221567817575883,-0.134846624045421,-0.0516172730513178,-0.0795750779097701,-0.129751768008732,-0.140882810298065,-0.185749680363561
"miR141",0.108627344684781,-0.0275547358196046,0.0735377041170466,0.136481895256764,0.0264938627767378,0.0235285975158821,0.0262385472599888,-0.00283767739925966,-0.0221567817575883,-0.134846624045421,-0.0516172730513178,-0.0795750779097701,-0.129751768008732,-0.140882810298065,-0.185749680363561
"miR200b",-0.144166022093128,-0.0118060407576692,-0.121561488006433,-0.100300267002068,0.00670408602075524,0.00147816554074522,0.104854966179533,-0.00552408727472731,-0.000941287578659912,0.101061163833058,0.0246275037047458,0.0834595139069164,0.0960859976795347,0.150507322448571,0.0694802282674868
"FOXC2",-0.0891186708373922,-0.0115776022880484,-0.103986653277942,0.00825565743990276,0.00563578936725744,0.00127223095422148,0.0227319513435148,-0.00227992063047118,-0.000305773953548697,-0.00703796772938081,-0.0135079154321745,0.0029222252912798,-0.0050457902579976,0.112690537974125,-0.114938084429585
"ZEB1",0.0881538581245659,0.0121927271936473,0.104643936897588,-0.00703796772938081,-0.00453322481948254,-0.000305773953548697,-0.0218403665608899,0.00222493709659264,-0.0991844337229111,0.0076854819657363,0.0135475877206198,-0.00333685621693674,0.00560393309990453,-0.112442215308898,0.114873950427246
"miR200c",-0.108627344684781,0.0275547358196046,-0.0735377041170466,-0.136481895256764,-0.0264938627767378,-0.0235285975158821,-0.0262385472599888,0.00283767739925966,0.0221567817575883,0.134846624045421,0.0516172730513178,0.0795750779097701,0.129751768008732,0.140882810298065,0.185749680363561
"miR34a",-0.085469864376738,0.0507946318109337,-0.149235951707258,0.00891091021390041,-0.150715297919784,-0.148210977649418,-0.0141774696903581,-0.105878933971029,0.148100098781043,-0.00903165018611202,-0.118635066726434,-0.0360230690029708,-0.00771935348846968,0.181155755439118,-0.153762319052841
"TGFbeta",-0.152925594287815,0.0719742701468697,-0.0926472809175029,-0.233252986235828,-0.0782467145171638,-0.0835601304160834,0.05766497190783,-0.00310914737470729,0.0841007489740783,0.133967640685076,0.113790541811912,0.162810075208943,0.134030229763024,0.166691278835203,0.17127094770362
