"","ZEB2","FOXC2","miR34a","TWIST2","miR200b","ZEB1","miR200c","miR141","miR200a","TGFbeta","GSC","SNAI2","miR101","TWIST1","SNAI1"
"TWIST2",-0.14723132571589,-0.0762182075321043,-0.0719256673717232,0.104783493143997,0.131790718129669,-0.0915868643496638,0.120177786758164,0.0914694490689665,-0.120177786758164,-0.0964314570091641,-0.0973193675050697,-0.154911445489092,0.087829307891942,0.161600512805937,0.00795395602652042
"SNAI1",-0.144637685120569,-0.10940160470802,-0.175383894840081,-0.000168069899552176,0.137054438961631,-0.133357829862174,0.137573229746384,0.133206659450768,-0.137573229746384,-0.101620008237454,-0.101395189341564,-0.131832674480521,0.15133222621921,0.102102642273386,-0.0344213619958749
"miR34a",-0.113762976416645,-0.175742610266388,-0.0856618357365712,0.0376662827820502,0.00626809268620354,-0.000572121776272285,0.00569180577774896,0.000361687838845713,-0.00569180577774896,-0.0171935744897697,-0.016028039381134,-0.00810100773938796,0.0822831424332876,0.117234606560556,0.152991995239412
"ZEB2",-0.091963187958594,-0.0460212584898929,-0.0279114273344762,-0.023102916218205,-0.0217842040638942,-0.00405186155960398,-0.00350004664708584,0.00340835707298918,0.00350004664708584,0.00927651238507244,0.00952261782983825,0.0350972587270373,0.0411174654593756,0.09177307355382,0.117597481607733
"TGFbeta",-0.0365274011471383,-0.0505439127583047,-0.173438333979056,-0.0759554145123561,-0.0195615212629277,-0.0934554177593336,0.0614708687463335,0.0931287875104231,-0.0614708687463335,0.0503926120943025,0.151297625967956,-0.0179774358144771,0.0741079153252911,0.0879641647584149,0.127067758494852
"miR141",-0.0228213577864133,-0.0844586517288905,-0.019882054853806,-0.0130692532392743,-0.00885833397702112,-0.0120823278999127,0.0167178667242854,0.0120434505302444,-0.0167178667242854,0.0952978266674291,0.0952297401378115,0.0398265909837932,0.0631542208725756,0.134082580888079,0.164748380009061
"FOXC2",-0.00575222126631934,-0.126054675823209,-0.0211773037464017,0.0107295122947903,-0.0052256343198735,-0.003496050818757,0.00453440429402613,0.00362953935476153,-0.00453440429402613,-0.00258132521306271,-0.000970653823235951,0.0674337862772916,0.0331246971991336,0.118914809418581,0.133676256022813
"ZEB1",-0.00518152040301212,-0.125534894840715,-0.0212093858766551,0.0104337246280796,-0.00506602255473345,-0.103597808775177,0.00496211831019707,0.003496050818757,-0.00496211831019707,-0.00151791744545122,-0.00258132521306271,0.0669848482609186,0.0328580684529997,0.119709361064438,0.133852629087119
"miR200a",-0.00300593788128573,-0.0406298171341781,-0.11501350943575,-0.0520060016425067,-0.0144349137896614,-0.0150750328391793,0.00963026454271856,0.015474914355767,-0.00963026454271856,0.106311677460414,0.104640571233483,0.0101793128349818,0.0509751625552671,0.0740139750750937,0.11178118128603
"TWIST1",-0.00102629922300073,0.0499062683575312,0.0903791061478706,0.0958062493686296,-0.0117139671046299,0.0755074082854429,-0.0243331115054662,-0.0755071490051531,0.0243331115054662,0.00651406233152401,0.00662100276570217,-0.0026174944962544,-0.0703389577309619,-0.0660613271758369,-0.143488128864877
"miR101",0.0019782705857636,0.181592903606314,0.0956171264840777,-0.00923374025523017,-0.00563338755241067,0.00911949129487841,-0.00583942091634766,-0.00927668057327392,0.00583942091634766,0.00569184664012537,0.00540683106983033,0.116332970739632,-0.189909974849597,-0.190339874452463,-0.162881303835238
"miR200c",0.00301292155006465,0.103231128473737,0.0285588821503709,0.0214655070980062,0.05790797031957,0.0080626316599996,-0.00535650778432515,-0.00857821963393325,0.00535650778432515,-0.116964902696134,-0.116684195074026,-0.0492147979982752,-0.0778296254146748,-0.170505637162075,-0.203749510416163
"GSC",0.00822421833542502,0.0308970053896565,-0.0633774313063666,0.0138159484875523,0.0389052959456925,-0.06992069796011,0.0225019829773715,0.070031743011972,-0.0225019829773715,-0.0141330361779308,-0.0148062860123,-0.0950678670776412,0.112095156314502,0.155841567857719,0.0233132026603178
"miR200b",0.0228213577864133,0.0844586517288905,0.019882054853806,0.0130692532392743,0.00885833397702112,0.0120823278999127,-0.0167178667242854,-0.0120434505302444,0.0167178667242854,-0.0952978266674291,-0.0952297401378115,-0.0398265909837932,-0.0631542208725756,-0.134082580888079,-0.164748380009061
"SNAI2",0.0249411482734592,-0.00496615339645741,0.00489034276848232,-0.0879218893104629,-0.0458378097884136,0.0359207799661375,-0.0301787324976889,-0.0356987266934473,0.0301787324976889,0.0274465778909737,0.0256032323256953,-0.0144722722539122,-0.0180957143289008,-0.0347904627135699,0.0520044567966456
