"","ZEB2","SNAI1","FOXC2","TWIST2","miR200c","miR200a","ZEB1","miR200b","TGFbeta","GSC","SNAI2","TWIST1","miR141","miR101","miR34a"
"SNAI1",-0.107523562925716,-0.036110447275048,0.169949566188641,0.108159013393075,0.10469861869004,0.10469861869004,0.102009041299466,-0.0292607303445457,0.000509048907535766,0.00261647824025584,0.099440353646795,-0.0782227332613263,-0.105079439103322,-0.137510062235827,-0.138457897958229
"ZEB2",-0.0829755191240682,-0.0298652267683331,-0.0251828113663264,-0.0162220889535912,-0.0117886675577527,-0.0117886675577527,-0.0100781368776105,-0.00680733100820994,-0.00218215784140795,-0.00142861848990849,0.0030661089833694,0.0067612664109231,0.00966655280148486,0.0130496059489946,0.0281653977379448
"TWIST2",-0.0648584979794723,-0.0349521275965408,0.0280526217544026,0.0708371938040188,0.0463344835504491,0.0463344835504491,0.022252982211402,-0.0172520629256278,-0.00463451700032538,-0.00211113082999823,0.0510373858292083,-0.0656745052052338,-0.0251975991385518,0.00811128518243278,0.00744472858700651
"SNAI2",-0.0263491676629389,0.0301726436684035,0.0550348811764131,0.0920207505475103,0.0190849797772466,0.0190849797772466,0.013040135392365,-0.0159919338404584,-0.00281522316071032,-0.00419324158561217,-0.034432156899639,-0.0932700074547832,-0.0111126593978979,-0.0437024602380032,-0.0204914757069398
"miR200c",-0.0220343599705389,0.122535030711124,0.11499435188121,0.0782001756476727,0.030301007133091,0.030301007133091,0.0378972947683006,0.0610171412383715,-0.0792539640549063,-0.0780773810430927,0.00999303610675705,-0.0419021303680892,-0.0383656745076371,-0.0668069220699677,-0.136089831502093
"ZEB1",-0.0165290245706451,0.0667914685940647,0.0840202117575599,0.148407538466477,0.0479574772352015,0.0479574772352015,-0.0339048772763761,0.0198795586763538,0.016175041533518,0.014795554682152,0.1217175975659,-0.112583920369351,-0.06734829952682,-0.0968212429153823,-0.0640860243327812
"miR141",-0.00995005238469507,0.0830943594226692,0.0856413182213867,-0.0619986317904399,-0.0187295800303536,-0.0187295800303536,-0.0482665993559793,0.0028049790138678,-0.104422897138322,-0.105453751086744,-0.0803192743899026,0.0569592290523796,0.0470900960976855,-0.00147821827875256,0.0409682984095824
"miR200a",0.00570828977656059,-0.091787575353204,-0.0957516739118914,0.0567372551071546,0.0159064009643424,0.0159064009643424,0.0378482891895059,0.0200865260325849,0.103940930268079,0.104319586932794,0.0800775875182753,-0.053458903643605,-0.0363024509193637,0.00619794285541772,-0.0273708643578502
"miR200b",0.00995005238469507,-0.0830943594226692,-0.0856413182213867,0.0619986317904399,0.0187295800303536,0.0187295800303536,0.0482665993559793,-0.0028049790138678,0.104422897138322,0.105453751086744,0.0803192743899026,-0.0569592290523796,-0.0470900960976855,0.00147821827875256,-0.0409682984095824
"FOXC2",0.017336653659508,-0.0608147733549617,-0.0876956956782818,-0.141311275426731,-0.0468653306201615,-0.0468653306201615,-0.06734829952682,-0.0217275492288135,-0.014795554682152,-0.017352703074248,-0.127401810361441,0.120469696102669,0.0665313496864723,0.09710209186131,0.0664145901123396
"GSC",0.0636559962533705,-0.0587656445465334,-0.098749712944881,-0.0218077454096579,-0.000293450531656712,-0.000293450531656712,0.0702404778803561,0.0907820639478469,0.0346048401407508,0.0364643221106533,-0.0475395853151232,-0.0595054432596502,-0.0727119673089654,0.0974120561492272,-0.00527003781391675
"TGFbeta",0.0834350750270765,-0.116347857426346,-0.114970762901913,0.000542520017439443,-0.0447689192937839,-0.0447689192937839,-0.00530664719908815,-0.0418978789398838,-0.0792146875654246,0.0218274496224182,0.00388714654301753,0.00571083705041048,0.00338608643676264,0.0570461835351254,0.109671881850242
"TWIST1",0.0900076580347169,-0.0372954290345852,-0.217168992365191,0.0905199170715607,-0.00232171595274049,-0.00232171595274049,0.0886507519890898,0.048238529870607,0.0277086810119571,0.0294050236491082,0.0558566726370613,0.0262596066882188,-0.0909062312298134,0.0240553958811776,-0.010360228618188
"miR34a",0.103305493511056,-0.0553678375953632,-0.150936137457882,-0.270692694597506,-0.177124082435073,-0.177124082435073,-0.164264134124458,0.0154019301663812,-0.023378578714701,-0.022199695468434,-0.139991298947012,0.130492011550399,0.161423275969199,0.109569106817583,0.117350757490674
"miR101",0.104095872082711,-0.0733464438247902,-0.169498389240844,-0.114052225677402,-0.12693260795202,-0.12693260795202,-0.148128316733094,0.00477076152993961,-0.019386528835165,-0.0188235351160637,-0.114156499680292,0.0975789831009582,0.145297204849107,0.145401350706338,0.115700520241528
