"","miR200c","miR200a","TGFbeta","miR34a","miR141","FOXC2","miR101","TWIST2","SNAI2","SNAI1","TWIST1","ZEB1","ZEB2","GSC","miR200b"
"miR200b",0.0552400655779106,0.0552400655779106,-0.1150919574389,-0.156009951147597,-0.147867155287427,0.0208605841351329,0.0243119316001762,0.0694307611274148,0.0208144045532079,0.0699706298015563,0.0907266993559108,0.147895850488848,-0.258497702493404,0.114892475852125,-0.0194216789530775
"TWIST1",0.230077526633051,0.230077526633051,0.0931128982176339,0.0815313277462144,0.27363758733924,0.373945332749898,0.127307593083541,-0.095956410827131,0.0189152533092545,0.273857144116629,0.141686891478264,-0.273782006460643,-0.177191477933244,-0.093031356136573,-0.156066158341527
"TWIST2",-0.00285094640847989,-0.00285094640847989,-0.0177612052067522,-0.0202636202897676,-0.149011955021363,-0.0609009144900546,-0.0592966356657412,0.0713552120291412,-0.0348925247923979,-0.137857329910309,-0.0039205120203815,0.149076159631781,-0.146043446250547,0.017650853041869,-0.00365036526087073
"SNAI1",0.215523662579144,0.215523662579144,0.107711718589009,-0.0213543909804659,0.281301086301346,0.342310724301608,0.267625031316545,0.0799947463445513,-0.123886615038271,0.213646318515024,0.28850895152104,-0.28145102014497,-0.128730747474261,-0.107649467148701,-0.190151359629707
"miR200a",0.149622923496433,0.149622923496433,0.174341348735723,0.178964940450228,0.173639111808618,-0.0232842413798782,-0.0266096635010956,-0.0754344131749056,-0.0273175149686496,-0.0815199561070991,-0.108469638705361,-0.173666881358381,-0.122515884323583,-0.174244594193635,-0.153563413140795
"GSC",0.0913510204852717,0.0913510204852717,0.0298952164836354,0.0836215742357206,0.0742208769168521,-0.144493696620788,-0.147949354637199,-0.0865478588182918,0.088239920214702,-0.109191029581576,-0.0462865698771476,-0.0741963094275021,-0.113910026127029,-0.029918562541622,-0.0721376743760815
"ZEB1",-0.164495053481447,-0.164495053481447,-0.0918343953910828,-0.184172903699912,-0.210425127621597,-0.129628268240884,-0.0275481592795155,0.177408523392314,-0.0716985234075239,-0.126470248024592,0.0115240075124145,0.110499816959067,-0.0986187105111255,0.09174737766762,0.168259467076544
"SNAI2",-0.00765302801870888,-0.00765302801870888,-0.0132135957573443,-0.0246805349376152,-0.0464267801464763,-0.0429167233007246,-0.0399785407273675,-0.0738783408649158,-0.0285355405502715,-0.0118054642297663,-0.0763528878963269,0.0464626167983282,-0.0320767183407358,0.013163128291752,0.0207351390193106
"miR34a",-0.0327836280306876,-0.0327836280306876,-0.0226937064459495,-0.0875988397686894,-0.00267261553054668,0.192863218057043,0.0869972411473449,-0.133635639861579,0.0467788001999927,0.235358315355167,0.0798782774791825,0.00259523623517009,-0.0267646181775574,0.0227064478500522,0.0340617024045125
"ZEB2",-0.204386944408059,-0.204386944408059,-0.0765805154191944,-0.0590025642530754,-0.0553587184109168,0.00592140263527816,0.00671640989975583,0.0181944865914748,0.0207005318138961,0.0343939364873925,0.0435478133179434,0.055383104891848,0.0616083691028346,0.0766160357926658,0.210924509789178
"FOXC2",0.164422706726344,0.164422706726344,0.09174737766762,0.184099040190724,0.210257466020375,0.129450894908579,0.0274403227644124,-0.177405882431004,0.0717012181135046,0.126405577901013,-0.0115329686212024,-0.210425127621597,0.0985781365524991,-0.0915038397255156,-0.168186580779168
"miR101",0.0856413954692486,0.0856413954692486,0.0688842333553996,0.0608298629062657,0.278844789099948,0.31844233306221,0.252277273016511,0.00702911728212983,-0.0992175424325954,0.30705633221309,0.263073392892348,-0.279033348039108,0.116967855870114,-0.0687170945950414,-0.0902406579751016
"miR200c",-0.149622923496433,-0.149622923496433,-0.174341348735723,-0.178964940450228,-0.173639111808618,0.0232842413798782,0.0266096635010956,0.0754344131749056,0.0273175149686496,0.0815199561070991,0.108469638705361,0.173666881358381,0.122515884323583,0.174244594193635,0.153563413140795
"TGFbeta",-0.147669674688515,-0.147669674688515,0.0309205104117821,0.0229879226551404,-0.16704505273162,-0.0933432470139856,-0.0613454387631282,0.0491655889439966,-0.0275786568044649,-0.150260148731638,-0.106941172839115,0.167126945618234,0.123948660497306,-0.130946321859159,0.0276999965675538
"miR141",-0.223829220230648,-0.223829220230648,0.0158680755988745,-0.128298537345206,-0.260648801375963,-0.0865031329499066,-0.0470881674582777,0.0900867087394756,-0.0634916503105583,-0.158474681983645,-0.0810323886804058,0.260765433484968,0.181409978857688,-0.0158788261035509,0.157365254818225
