"","miR200a","TGFbeta","miR34a","TWIST1","ZEB1","TWIST2","FOXC2","SNAI2","miR141","miR101","SNAI1","GSC","ZEB2","miR200b","miR200c"
"miR200c",0.104121060913003,-0.0809142471002981,-0.136923146259209,-0.137526067443584,-0.0221920278648301,-0.0209534866384172,0.02847113939055,0.0930539040276212,0.0256548907202804,0.117861799311526,0.14676535662204,0.0854975455940329,-0.180156251459481,-0.0826748959083619,-0.0782622258152129
"miR200b",0.104121060913003,-0.0809142471002981,-0.136923146259209,-0.137526067443584,-0.0221920278648301,-0.0209534866384172,0.02847113939055,0.0930539040276212,0.0256548907202804,0.117861799311526,0.14676535662204,0.0854975455940329,-0.180156251459481,-0.0826748959083619,-0.0782622258152129
"miR200a",0.104121060913003,-0.0809142471002981,-0.136923146259209,-0.137526067443584,-0.0221920278648301,-0.0209534866384172,0.02847113939055,0.0930539040276212,0.0256548907202804,0.117861799311526,0.14676535662204,0.0854975455940329,-0.180156251459481,-0.0826748959083619,-0.0782622258152129
"TGFbeta",0.0677174508139776,-0.081943365703318,0.108811233911643,0.0884669166774753,0.00183209373828697,-0.0655097802573492,-0.0341701477589436,-0.104429149797607,-0.00121491631311228,-0.11179277737116,-0.117430259821959,-0.0172193754723934,-0.14202351469412,0.0534601674232221,-0.0688960996838244
"TWIST1",0.0570322999721119,0.0102867862389565,-0.0212637068630036,-0.108993128894254,-0.017921520387827,-0.0911577252608434,-0.10456112750791,-0.022155857682524,0.0215786688750561,0.027909307484768,0.0136057305812564,-0.00540495541872339,-0.110317570280298,-0.0282957334124508,-0.0523352623662837
"miR101",0.0667188110663513,0.00632447765681658,-0.031881640938687,-0.0479037718871068,-0.0200392240287941,-0.0329997667315236,-0.0454768665847669,0.0716867198353261,0.0236839012452141,0.110693133877096,0.0504659456123183,-0.0014651381188233,-0.10746260294478,-0.0488912929597821,-0.0403283852490015
"FOXC2",0.0516418242777761,-0.0203773891804128,-0.0857688369918632,-0.148885995027246,-0.0452405912660288,-0.104605568417392,-0.0622848915678175,-0.0242552779838364,0.0532274773522517,0.0539143376846762,0.137562348702139,0.0309491498490351,-0.0468969952639071,0.00615700898526562,0.0132331411444381
"miR34a",-0.112456603936226,0.0845383855462366,0.0732443347261149,0.0866599272080496,0.101309644505942,0.187625990174115,0.0120751971387895,0.0164127395430048,-0.103554115896835,-0.022951188632157,-0.0268510195196224,-0.0874767960257381,0.0264489205305239,-0.0614476517160128,-0.089043251194904
"SNAI2",-0.0333451474319006,0.010500422090984,0.000163835777577782,0.0477328578894007,0.0272178068815595,0.00281008483352864,-0.0611557146932743,-0.093558648956263,-0.0264839928235443,0.0280982650048675,0.0450819230940621,-0.00952614339082058,0.0396513510715937,0.00184289410807426,0.00657494174963669
"ZEB1",-0.0467274538971164,0.0277495818990768,0.0806662860894601,0.152467451506128,-0.0492258812417785,0.103456750247578,0.0621692133076185,0.0293639015819156,-0.0452405912660288,-0.0587006199319418,-0.136722812916045,-0.0203773891804128,0.0477360173426561,-0.00160576715037615,-0.00949020942241174
"ZEB2",-0.173139483143763,-0.0858015271046213,-0.0601689576544083,-0.0582465947469362,-0.0456473464831402,-0.00581365352859159,0.00896360920621115,0.0428102813333763,0.0446305795332918,0.0512238283524062,0.0587273172793574,0.0843959351829691,0.0876084288402254,0.205234848523441,0.213250222405278
"SNAI1",-0.0941792609016928,0.0340159403833396,-0.020226002935871,-0.0133021483907727,0.0821883384379111,0.00203729468628948,-0.0400443716981354,0.0705750461037052,-0.0838886191387977,0.100673531690396,-0.0758075972406958,-0.0362661118721799,0.110011848866521,-0.0136663346727478,0.0147249447970148
"TWIST2",-0.110173872028057,0.0154762400485094,-0.0021170353813062,-0.00832232641821569,0.0804779044919355,-0.0780762826703099,-0.0497865206356617,-0.0666944769412335,-0.0820561945384618,0.0100556377291674,0.0769549042805396,-0.0175729311812885,0.136761704763463,0.0388582817261775,0.026422491286606
"GSC",-0.0383655382502798,-0.0719769126463083,-0.0888040845304344,-0.156850865064818,-0.095050095628442,-0.0101294354716087,0.14506429795976,0.0685244223452438,0.098523447272744,0.114788152292428,0.0742471635140756,0.07653822759725,0.188335340870899,0.112828714421391,0.136991759358377
"miR141",-0.0800107508634151,-0.145726006472271,-0.162499068982808,-0.161035859763549,-0.0457857125988116,-0.0231523109161424,0.0323183779666217,0.108059344440949,0.0498252564376741,0.13546534696471,0.168101108470244,0.151014060272575,0.213121949355503,0.0892103176958844,0.131350080328579
