"","ZEB1","miR34a","miR200c","ZEB2","miR200b","SNAI1","miR101","SNAI2","TGFbeta","GSC","FOXC2","TWIST1","TWIST2","miR200a","miR141"
"GSC",0.161021753188985,0.00191338537359184,0.164260194402811,-0.17048721487675,0.00240640721305215,0.236937242537258,0.163377707892342,0.0066134167655415,0.0224635850935578,0.0223519025999464,-0.360654925146006,-0.324246259073855,0.00392760084450819,-0.164260194402811,-0.16072448656785
"SNAI1",-0.0741809413282463,-0.170402703114505,0.0228638743890073,-0.123693776115263,-0.0759463290758916,0.0606950888047893,0.116472298673727,0.0323724559589338,0.0207741391880083,0.0207991190653293,-0.180705060075281,-0.149844732564369,0.0778626777168821,-0.0228638743890073,0.0742909958608855
"ZEB1",0.183722826173015,0.225484842733419,0.282488948162428,-0.0834749703830241,0.19445136207712,0.171325069370765,0.0200018203238729,0.125539812319076,0.0141431471853688,0.0140292563414248,-0.168731950470238,-0.140972983862319,-0.0976829975789526,-0.282488948162428,-0.283453643795688
"miR34a",-0.147410284554811,-0.163381787814585,-0.0968880094142597,-0.0799108048183101,-0.137478235800685,0.179863460853706,0.0372151737492102,0.0829738080379993,0.0280368712172999,0.0280010739391065,-0.19217468587482,-0.105503385662621,0.0488344214658373,0.0968880094142597,0.147426798428825
"ZEB2",-0.122750650542364,-0.114287750223574,-0.0711299520174681,-0.0671983271843639,-0.0395490049157126,-0.0176785953769794,-0.00595239405383801,-0.00513626576618752,-0.00417082886180485,-0.0041023252843958,0.0335190490311937,0.0410292012863934,0.0507889797352485,0.0711299520174681,0.122483394618689
"TGFbeta",0.116779365703383,0.140698080881299,0.0749036614490185,-0.0357254752029389,0.120217637492917,-0.0378738812872162,0.0123917857231527,-0.066354664563131,-0.0931642329390654,0.00676478558064809,-0.0625421032322888,-0.0794825828495836,-0.124586184126727,-0.0749036614490185,-0.116661703509972
"miR101",0.238488923160723,0.209574481374696,0.135016914032504,-0.0305330117817198,0.0935603763751444,-0.133194062256844,-0.107957798832337,-0.021101506537604,0.00215853158715945,0.00216556900864821,0.152128193645094,0.122162211414045,-0.0942998513276658,-0.135016914032504,-0.23834741871271
"miR200c",0.247246123361252,0.125276508042623,0.138669925553016,-0.029186978605306,0.0390923756716097,0.142746810696319,0.00524677753407611,0.131691004987947,-0.0809693469786225,-0.0810422115103185,-0.035334659129126,-0.0297957642744376,0.00848139747385219,-0.138669925553016,-0.247034149131394
"miR200b",-0.231428493197041,-0.198621363928967,-0.134083685554408,0.0372168359013073,-0.122525254035814,0.0177803700563301,-0.0117315764120305,0.0435790810819229,-0.0935594382823635,-0.0935224087662557,0.0643861302800132,0.0858084219321899,0.106153482173618,0.134083685554408,0.231224849832112
"miR200a",-0.231428493197041,-0.198621363928967,-0.134083685554408,0.0372168359013073,-0.122525254035814,0.0177803700563301,-0.0117315764120305,0.0435790810819229,-0.0935594382823635,-0.0935224087662557,0.0643861302800132,0.0858084219321899,0.106153482173618,0.134083685554408,0.231224849832112
"miR141",-0.296054583036166,-0.246783945300254,-0.175518783598261,0.0536481476657476,-0.112594035053812,0.00856397752339418,-0.0142683671728062,0.0403850246135983,-0.0990304106152333,-0.0989766580918509,0.0789764870160895,0.102533799054538,0.124545261124345,0.175518783598261,0.295646370654649
"SNAI2",-0.0388055250430884,-0.0122458789752912,-0.0478457058585814,0.0568360880783637,0.00420466221190735,-0.032232459939665,-0.016809531650596,-0.096777009102879,-0.00655160765351956,-0.00654561998811031,0.0416115069297343,0.0849082395900681,0.00709344945938173,0.0478457058585814,0.0386805991445765
"FOXC2",-0.283453643795688,-0.225324432082152,-0.282082070011727,0.0833194862350032,-0.194402463675083,-0.171036993365733,-0.0198299929096978,-0.125465977375206,-0.0140292563414248,-0.013901952417143,0.168119626879585,0.140548824713027,0.0976011277783452,0.282082070011727,0.28297415297436
"TWIST1",0.108401982918259,0.123098506460317,0.00458644307454604,0.104248666068615,0.0571024229925582,-0.169017011587824,-0.0782406524190423,0.0521440351737037,-0.00736148597564714,-0.00729732171514024,0.29055541056422,0.152378640151604,0.0255490206662647,-0.00458644307454604,-0.10850336151156
"TWIST2",-0.106588817691541,0.0361028378923133,-0.128520715900239,0.148453464282271,0.0326965390643794,-0.216284640001553,-0.0666245976980311,-0.068489640083555,-0.0267900088410692,-0.0267317202616694,0.229875126830234,0.251887292141358,-0.0934024171123557,0.128520715900239,0.106402800224369
