"","ZEB2","SNAI1","TWIST1","SNAI2","miR200c","ZEB1","miR141","GSC","TGFbeta","miR34a","miR200b","miR200a","TWIST2","miR101","FOXC2"
"ZEB2",-0.0921001999495422,-0.0340032671422582,-0.0234831048446719,-0.0121471161099342,-0.00495023484786117,-0.00285732890697466,-0.00283692389231788,0.000404350584502576,0.000625084333931713,0.00205479954814747,0.00233840010560575,0.00495023484786117,0.0077403945273475,0.010908880848926,0.0359003092682887
"miR34a",-0.0798035379230494,-0.21890013660172,-0.0930765842354633,0.0150623620881721,0.146460347433417,0.125132298203656,0.125187029900386,-0.0355581876189692,-0.0354726381914223,-0.160415981170884,-0.0320766986886032,-0.146460347433417,0.0691761721356812,0.116829928400901,0.19105772871327
"GSC",-0.0758335641355877,-0.129039893704958,-0.020918488064749,0.024991338285839,0.0105969783736449,-0.063009257781078,-0.063125707680597,0.0280674210729232,0.0277020868141606,-0.0300368040685797,0.0715721884248287,-0.0105969783736449,-0.0273920261877916,0.126638458457042,-0.0444198046288264
"TWIST2",-0.0507335989333114,-0.108108383416303,-0.0513008265054609,0.0903098913739978,0.0596674678953751,0.066693761314543,0.0667012371938384,-0.0199525513681482,-0.0198829446179911,-0.0827393033412363,-0.0323486311499369,-0.0596674678953751,-0.130101104368873,0.0962584598902376,0.0551704150778028
"FOXC2",-0.0306262307118932,-0.0950880618813366,0.00567943927502613,-0.0505897772487645,0.00805094385034261,-0.00504189041164619,-0.00531207120851936,0.00398686310112994,0.00306806086500883,-0.000114109351689599,0.0131936197385874,-0.00805094385034261,0.0769099088525586,0.0246805877362086,0.0823919186516072
"miR200a",-0.0226566880265075,-0.136374682657988,-0.0921896480570798,-0.036301976827812,0.0131824870528421,0.00481296003302962,0.00480925742639455,-0.084739059747716,-0.084900317317863,-0.0119913251433987,0.0607805637407873,-0.0131824870528421,0.0176121207594548,0.0501945083258464,0.153465912461598
"miR141",-0.0226566880265075,-0.136374682657988,-0.0921896480570798,-0.036301976827812,0.0131824870528421,0.00481296003302962,0.00480925742639455,-0.084739059747716,-0.084900317317863,-0.0119913251433987,0.0607805637407873,-0.0131824870528421,0.0176121207594548,0.0501945083258464,0.153465912461598
"miR200b",-0.00772931163844092,0.0838967336638599,0.106099106184686,0.0134824957772474,-0.00208607739471434,-0.0122170108997515,-0.0124169516580453,0.100392925294318,0.0999258755911509,0.112097790379545,0.0194041356763124,0.00208607739471434,0.0575688859179541,-0.0349372877176861,-0.142965938195841
"miR101",-0.000456818257825267,-0.279669876584763,-0.275131799052719,0.142315230018116,-0.012711592266294,-0.023239794039817,-0.0233874360301538,-0.000943981537244845,-0.00151577203320712,-0.102307225137079,-0.0159602099222065,0.012711592266294,-0.0955564966838039,0.261305638672184,0.294474646590222
"miR200c",0.00772931163844092,-0.0838967336638599,-0.106099106184686,-0.0134824957772474,0.00208607739471434,0.0122170108997515,0.0124169516580453,-0.100392925294318,-0.0999258755911509,-0.112097790379545,-0.0194041356763124,-0.00208607739471434,-0.0575688859179541,0.0349372877176861,0.142965938195841
"TGFbeta",0.0144968691990968,0.123093368167888,0.120198745453738,-0.019368933360511,-0.0428957762446948,-0.0765668776347263,-0.0764761993043371,0.0308462801302982,-0.068847208932101,0.144393251004389,-0.0420945399458467,0.0428957762446948,0.0275815870039093,-0.0712973594303226,-0.174290854178956
"SNAI2",0.0307224706256426,-0.0374986841199069,-0.103352048875149,-0.0810345478635274,-0.0188520167683904,-0.00703725270378488,-0.0069645746341412,-0.00391909576892183,-0.00363425397159575,-0.0093672776579922,-0.0141802403762065,0.0188520167683904,-0.0138483063470548,0.0274937710216008,0.0635599363959433
"ZEB1",0.0308907018436697,0.0954537420346636,-0.00659645940765054,0.0508328397282174,-0.00792650743156486,-0.0948062245598064,0.00504189041164619,-0.00306806086500883,-0.00345196258616821,7.30740688072807e-05,-0.0127378497271471,0.00792650743156486,-0.0765190465786909,-0.0246320020535797,-0.0821034941895111
"TWIST1",0.0791841260023252,0.235895968293779,0.250845567263577,-0.140055211107303,-0.069492270055461,-0.0638307847113104,-0.0638673432321682,0.0187994697991339,0.0186724780335474,0.108837969754465,0.0322856487960406,0.069492270055461,0.180049629684927,-0.170353613819853,-0.362530767104419
"SNAI1",0.0826151460666432,0.181702115155108,0.314554582524076,-0.162393609510591,-0.0707375733470801,-0.0634813978740874,-0.0635475542504492,0.0220644640878983,0.0218610565154269,0.207256147522046,0.0405286527910843,0.0707375733470801,0.176736806276017,-0.271523962333813,-0.317616167785397
