"","ZEB2","ZEB1","miR141","TWIST2","GSC","miR101","miR200c","FOXC2","SNAI2","TWIST1","miR200a","SNAI1","TGFbeta","miR200b","miR34a"
"ZEB2",-0.083875331573305,-0.0431465482818936,-0.0429857965810609,-0.0227667812690342,-0.0171119365084415,-0.011535147587334,-0.00936743890322033,-0.00262503204120592,0.00449954484501106,0.00851114314388254,0.00936743890322033,0.0175415265393012,0.0175965358893721,0.0296198098106965,0.0469572039376672
"miR200a",-0.0234878387873148,-0.270535743371841,-0.269542519141983,-0.00594937636987522,-0.262225289546951,0.187367577724521,-0.148591198330905,0.158500337918227,-0.0895449547023465,-0.236650883882491,0.148591198330905,-0.28958455112165,0.263745888708412,0.12184533482557,0.0979077540090513
"SNAI2",-0.022666338930914,0.0363461936014876,0.0361120831375202,-0.0805152843352298,0.0213130248163315,-0.0572872191363957,0.00728268431551705,-0.00520896352142518,-0.0297907148270805,-0.0363490044687615,-0.00728268431551705,0.05087813988683,-0.0215893128059301,-0.0385426475595475,-0.00476191220298863
"GSC",-0.0220961754618932,-0.0945355340833331,-0.0943674924561792,-0.0360313783524115,-0.0593847453394185,-0.0649529191409705,-0.0629137051136738,0.016549603070482,-0.00861486137769686,0.136656612114294,0.0629137051136738,0.0349784628309812,0.0594396401244139,0.0239337990298252,0.078090559721822
"TGFbeta",-0.0208033543372529,-0.0611633695619874,-0.0607601804458972,0.0859088786578264,-0.225813426779063,0.119240238318732,-0.0430584800969326,0.114845609831334,-0.026702317098928,-0.149369925328127,0.0430584800969326,-0.213144234281988,0.126674883835267,0.0924032340429618,-0.114312934633979
"miR34a",-0.0197942377203955,-0.30923971606798,-0.308222461428761,-0.0513183968320781,-0.208481126281336,0.150697149476291,-0.22872223954391,0.268275816380979,-0.0534362034775567,-0.229872323753635,0.22872223954391,-0.292251593257938,0.210481526725465,0.151872226994097,0.0658086201996258
"FOXC2",-0.0103529808695709,-0.329131472455783,-0.327387578221419,-0.0925004092458447,-0.277263732828585,0.207936401986306,-0.276468828870994,0.220155469297619,-0.128075451865157,-0.258354503599655,0.276468828870994,-0.299963574375152,0.280352236730727,0.271053023963729,0.215557663474529
"miR200c",-0.00813603906540691,-0.224176464513665,-0.223773806042101,-0.0785657548267822,-0.0141261526931476,-0.0273350931361143,-0.116816062983738,-0.011848060529755,-0.00187907093699651,0.0145339033452325,0.116816062983738,0.0524835508748649,0.015035167588569,0.0526124965433771,0.198670359551147
"TWIST2",-0.00811370453609021,0.267269626716965,0.266610869823765,0.106009546721667,0.128171536171331,-0.0558126973819181,0.13288356784039,-0.174681289266452,-0.0507475083565565,0.282135084781843,-0.13288356784039,0.159143785208452,-0.129581214339145,-0.0802757401134032,-0.0899864729986281
"miR200b",-0.000776679147722849,-0.293182843705765,-0.292073913018561,-0.0145931983059318,-0.267547064370403,0.184736698638115,-0.149254496553893,0.157783567278879,-0.0885805242258166,-0.233589864086797,0.149254496553893,-0.285245600860837,0.269304174634746,0.175407396788806,0.117323290793673
"miR101",0.000101428987759398,-0.299102937126803,-0.298111042092416,-0.0389273155563785,-0.159325508483733,0.170215346646269,-0.153915265131339,0.283513107996723,0.0576378024367865,-0.297114372238645,0.153915265131339,-0.302923834169176,0.161280152302238,0.132131411854076,0.0748527944926367
"TWIST1",0.00177539350820221,0.141863216939894,0.14156167396289,-0.0633312248267941,0.091218457135896,-0.0210500445347514,0.0850802022796627,0.0713460387583324,0.13816389985408,-0.125713961198054,-0.0850802022796627,-0.12487378621506,-0.0916515658943175,-0.0852554935956821,-0.133326560988545
"ZEB1",0.0105475581748085,0.230256825225053,0.329131472455783,0.0923842069482084,0.280352236730727,-0.209724592110378,0.277535509428238,-0.222553865225744,0.128320670109395,0.261033875127225,-0.277535509428238,0.301676744739774,-0.282023488890174,-0.271797571330596,-0.215792683731037
"miR141",0.014575120574185,-0.246823564847589,-0.246305199918679,-0.0872095767628388,-0.0194479275165994,-0.0299659722225204,-0.117479361206726,-0.0125648311691035,-0.000914640460466653,0.0175949231409257,0.117479361206726,0.0568225011356777,0.0205934535149032,0.106174558506613,0.218085896335768
"SNAI1",0.112681840196436,0.206364662170778,0.205934336582481,0.00957815253874358,0.114512064199963,-0.131495779915272,0.16728286943361,-0.239935513240358,-0.0749089469806734,0.238280114037904,-0.16728286943361,0.139065820646646,-0.115479935319657,-0.0132841140066145,0.0438355433681124
